Estado;Código;Título;Descrição;Notas de aplicação;Exemplos NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;;;;;
;250.10.401;Nomeação para postos de trabalho;"Formalização e constituição do vínculo laboral sob a forma de nomeação definitiva ou provisória.
Inicia com a proposta de nomeação do candidato ou oferecimento do candidato e termina com a assinatura do termo de posse ou aceitação.
Inclui eventual negociação da posição remuneratória, termo de aceitação assinado pelas partes, designação do júri de estágio, análise do relatório e avaliação final do período experimental, proposta de conversão da nomeação e averbamento no respetivo termo de posse.";"Nomeação dos trabalhadores a quem compete, em função da sua integração nas carreiras adequadas para o efeito, o cumprimento ou a execução de atribuições#
Nomeação definitiva de trabalhadores das carreiras de Bombeiro Sapador e Municipal e da Polícia Municipal#";"Missões genéricas e específicas das Forças Armadas em quadros permanentes: adidos de defesa, adidos militares, adidos navais, adidos aeronáuticos, adjuntos de adidos de defesa)#
Representação externa do Estado#
Informações de segurança#
Investigação criminal#
Segurança pública, quer em meio livre quer em meio institucional#
Inspeção#";"A formalização da relação jurídica de emprego público por contrato de trabalho em funções públicas deve ser considerada em 250.10.600 – Contratação de trabalhadores#
A organização de cerimónias de tomada de posse deve ser considerada em 900.20.601 – Organização de cerimónias de tomada de posse e assinatura de documentos#";"Lei 35/2014#
DL 90/2015#
DL 30/2017#";;PC;N;AP#;;;"250.10.100#
250.10.101#
250.10.800#
250.20.001#
250.20.600#
250.20.604#
250.20.800#
350.10.509#
400.10.011#
400.10.012#
500.10.001#";"Procedimento concursal para preenchimento de cargos de direção, coordenação e controlo#
Procedimento para preenchimento de postos de trabalho#
Cessação da relação jurídica de emprego ou de funções#
Registo biográfico de trabalhadores#
Afetação transitória a postos de trabalho#
Processamento de pedidos de reclassificação profissional#
Avaliação individual do desempenho#
Processamento de remunerações#
Registo de trabalhadores no sistema da Segurança Social#
Registo de trabalhadores em subsistemas de saúde públicos#
Realização de auditorias#";"Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Suplementar#";Média;S;50;;"Conjugação dos critérios
-Legal:
Garantia de direitos e deveres dos trabalhadores durante a sua vida ativa e que são adquiridos com esta formalização.
- Utilidade administrativa
Definição de um prazo de vida ativa do trabalhador de 50 anos para processamento de PN decorrentes dos direitos e deveres adquiridos com a nomeação.
";Data de encerramento do processo; E;"Densidade informacional:
Informação síntese recuperável no
PN 250.20.001 - Registo biográfico de trabalhadores";;;;;;
;250.10.500;Designação para cargos ou funções de confiança ou de interesse público;"Escolha de elementos para desempenharem funções em lugares de confiança ou assumirem funções de interesse público.
Inicia com o despacho de designação da individualidade e termina com a publicitação ou empossamento do titular.
Inclui eventual negociação da posição remuneratória.";"Escolha de adjunto#
Escolha de adjunto de secretário-geral#
Escolha de capelão-chefe#
Escolha de chefe de consulado-geral#
Escolha de chefe de divisão#
Escolha de chefe de equipa multidisciplinar#
Escolha de chefe de gabinete#
Escolha de chefe de missão diplomática#
Escolha de chefe de representação permanente#
Escolha de coordenador#
Escolha de diretor adjunto#
Escolha de diretor de departamento#
Escolha de diretor-geral#
Escolha de diretor municipal#
Escolha de diretor de serviços#
Escolha de encarregado geral operacional#
Escolha de encarregado operacional#
Escolha de gestor público#
Escolha de inspetor-geral#
Escolha de inspetor-geral adjunto#
Escolha de membro da administração na comissão paritária#
Escolha de membro da comissão executiva#
Escolha de membro de grupo de trabalho#
Escolha de militar para comissão especial por interesse nacional#
Escolha de pessoal de apoio técnico administrativo e auxiliar em gabinete de membro do Governo#
Escolha de secretário-geral#
Escolha de secretário-geral adjunto#
Escolha de secretário pessoal#
Escolha de subdiretor-geral#
Escolha de técnico especialista em gabinete de membro do Governo#
Escolha de vogal da comissão de fiscalização#
Escolha de vogal do conselho de administração#
Escolha de vogal do conselho de administração executivo#
Escolha de vogal do conselho geral e de supervisão#
Escolha de vogal da mesa da assembleia geral#
Nomeação de Juízes sociais#";;;"RCM 39/2010#
Lei 62/2007#
Lei 169/99#
Lei 7/2009#
Lei 28/2016#";;PC;N;AP#;;;"250.10.300#
250.10.800#
250.20.001#
250.20.800#
350.10.509#
400.10.011#
400.10.012#
900.20.601#";"Seleção de cidadãos para a administração da justiça#
Cessação da relação jurídica de emprego ou de funções#
Registo biográfico de trabalhadores#
Avaliação individual do desempenho#
Processamento de remunerações#
Registo de trabalhadores no sistema da Segurança Social#
Registo de trabalhadores em subsistemas de saúde públicos#
Organização de cerimónias de tomada de posse e assinatura de documentos#";"Sucessão (sucessor)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#";Média;S;50;;"Conjugação dos critérios
-Legal:
Garantia de direitos e deveres adquiridos com esta formalização e que podem produzir efeitos durante a vida ativa como trabalhador (mesmo após a cessação).
- Utilidade administrativa
Definição de um prazo de vida ativa do trabalhador de 50 anos para processamento de PN decorrentes dos direitos e deveres adquiridos com a designação.
";Data de encerramento do processo;E;"Densidade informacional:
Informação síntese recuperável no
PN 250.20.001 - Registo biográfico de trabalhadores";;;;;;
;250.10.501;Designação para cargos de direção, coordenação e controlo;"Formalização ou provimento de cargos de direção intermédia e superior, por via concursal, em regime de comissão de serviço ou de mandato.
Inicia com a indicação de designação e termina com a aceitação. 
Inclui designação por competência própria ou por delegação, comunicação superior do termo da respetiva comissão de serviço, análise do relatório dos resultados obtidos durante o mandato, nos casos de recondução, e declaração de regime de exclusividade, se aplicável. 
";"Designação para cargos de direção superior#
Designação para cargos de direção intermédia#
Designação para cargos de coordenação ou controlo#
Renovação da comissão de serviço ou de mandato#";;"Os procedimentos concursais para cargos de direção intermédia e superior devem ser considerados em 250.10.100 – Procedimento concursal para preenchimento de cargos de direção, coordenação e controlo#
A organização de cerimónias de tomada de posse deve ser considerada em 900.20.601 – Organização de cerimónias de tomada de posse e assinatura de documentos#";"Lei 49/2012#
Lei 42/2016#
Lei 2/2004#
Lei 128/2015#
Lei 7/2009#
Lei 28/2016#";;PC;N;AP#;;;"250.10.100#
250.10.800#
250.20.001#
250.20.800#
350.10.509#
400.10.011#
400.10.012#
500.10.001#";"Procedimento concursal para preenchimento de cargos de direção, coordenação e controlo#
Cessação da relação jurídica de emprego ou de funções#
Registo biográfico de trabalhadores#
Avaliação individual do desempenho#
Processamento de remunerações#
Registo de trabalhadores no sistema da Segurança Social#
Registo de trabalhadores em subsistemas de saúde públicos#
Realização de auditorias#";"Sucessão (sucessor)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Suplementar#";Média;S;50;;"Conjugação dos critérios
-Legal:
Garantia de direitos e deveres adquiridos com esta formalização e que podem produzir efeitos durante a vida ativa como trabalhador (mesmo após a cessação).
- Utilidade administrativa
Definição de um prazo de vida ativa do trabalhador de 50 anos para processamento de PN decorrentes dos direitos e deveres adquiridos com a nomeação.
";Data de encerramento do processo;E;"Densidade informacional:
Informação síntese recuperável no
PN 250.20.001 - Registo biográfico de trabalhadores";;;;;;
;250.10.600;Contratação de trabalhadores;"Formalização e constituição da relação jurídica de emprego sob a forma de contrato de trabalho.
Inicia com a notificação do trabalhador a contratar e termina com homologação da deliberação do júri que determina a conclusão do período experimental.
Inclui eventual negociação da posição remuneratória, outorga do contrato, análise do relatório do período experimental, redação das atas do júri de estágio e deliberação final sobre a avaliação do período experimental.";"Aditamento ou adenda ao contrato#
Contratos com mediadores socioculturais#
Contratos no âmbito da esfera empresarial do Estado#
Consolidação de mobilidade#
Renovação de contrato de trabalho#
Suspensão de contrato de trabalho#
Transmissão de contrato#";;"O procedimento concursal para a contratação de trabalhadores deve ser considerado em 250.10.101 – Procedimento concursal para preenchimento de postos de trabalho#
A cessação do contrato deve ser considerada em 250.10.800 – Cessação da relação jurídica de emprego ou de funções#
A contratação sob a forma de contrato de prestação de serviços deve ser considerada em 300.10.005 – Transação e transmissão de bens móveis não culturais e contratação de serviços#";"Lei 35/2014#
Lei 7/2009#";;PC;N;AP#;;;"150.20.403#
250.10.101#
250.10.800#
250.20.001#
250.20.800#
350.10.509#
400.10.011#
400.10.012#
500.10.001#";"Caracterização de recursos humanos#
Procedimento concursal para preenchimento de postos de trabalho#
Cessação da relação jurídica de emprego ou de funções#
Registo biográfico de trabalhadores#
Avaliação individual do desempenho#
Processamento de remunerações#
Registo de trabalhadores no sistema da Segurança Social#
Registo de trabalhadores em subsistemas de saúde públicos#
Realização de auditorias#";"Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Suplementar#";Média;S;50;;"Conjugação dos critérios
-Legal:
Garantia de direitos e deveres dos trabalhadores durante a sua vida ativa e que são adquiridos com esta formalização.
- Utilidade administrativa
Definição de um prazo de vida ativa do trabalhador de 50 anos para processamento de PN decorrentes dos direitos e deveres adquiridos com a contratação.
";Data de encerramento do processo;E;"Densidade informacional:
Informação síntese recuperável em
PN 150.20.403 - Caracterização de recursos humanos
PN 250.20.001 - Registo biográfico de trabalhadores
";;;;;;
;250.10.601;Formalização de estágios profissionais;"Formalização e constituição da relação jurídica de estágio sob a forma de contrato de estágio.
Inicia com a celebração do contrato de estágio e termina com a conclusão do estágio.
Inclui o reconhecimento, validação e certificação de competências adquiridas, elaboração de programa de estágio, análise e aprovação do estágio pela entidade gestora e aceitação da decisão de aprovação por parte da entidade promotora.";Valorização de competências e aos instrumentos de promoção da empregabilidade#;;"A seleção de estagiários deve ser considerada no PN 250.10.103 – Seleção de candidatos para frequência de estágios profissionais e programas ocupacionais#
A contratualização de estágios profissionais decorrentes de medidas ou programas co-financiados deve ser considerada no PN 850.10.002 Formalização de candidaturas e acompanhamento de apoios regulares#";"DL 214/2012#
Portaria 20-A/2014#
Portaria 20-B/2014#
Portaria 149-B/2014#
Despacho 9841-A/2014#
Despacho 1573-A/2014#
Portaria 378-H/2013#
Portaria 375/2013#
Portaria 204-B/2013#
Portaria 164/2011#
Portaria 294/2010#
DL 18/2010#
Portaria 128/2009#";;PC;S;"IEFP#
INA#";AP#;Decidir#;"150.20.200#
250.10.103#
250.20.001#
250.20.400#
350.10.509#
450.30.002#";"Planeamento de necessidades de recursos humanos#
Seleção de candidatos para frequência de estágios profissionais e programas ocupacionais#
Registo biográfico de trabalhadores#
Controlo de assiduidade e pontualidade#
Processamento de remunerações#
Certificação de habilitações ou qualificações#";"Sucessão (sucessor)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (sucessor)#";Média;S;50;;"Conjugação dos critérios
-Legal:
Garantia de direitos e deveres adquiridos com esta formalização e que podem produzir efeitos durante a vida ativa como trabalhador (mesmo após a cessação).
- Utilidade administrativa
Definição de um prazo de vida ativa do trabalhador de 50 anos para processamento de PN decorrentes dos direitos e deveres adquiridos com a formalização.
(como a emissão de certificados de estágios profissionais)";Data de encerramento do processo;E;"Densidade informacional:
Informação síntese recuperável no
PN 250.20.001 - Registo biográfico de trabalhadores";;;;;;
;250.10.700;Provimento por eleição em cargos ou funções;"Formalização ou provimento de titulares eleitos para órgãos de gestão ou para cargos de representação.
Inicia com a designação ou com o despacho de nomeação e termina com a publicitação ou com o empossamento do titular.
Inclui a designação por competência própria ou por delegação.";"Tomada de posse ou indigitação de eleitos para órgãos autárquicos e outros órgãos colegiais#
Tomada de posse ou indigitação dos eleitos para órgãos de soberania#
Tomada de posse ou indigitação de gestores públicos de empresas do setor empresarial do Estado e local#
Tomada de posse ou indigitação de titulares eleitos para órgãos de gestão de empresas públicas#
Provimento dos representantes de trabalhadores na Comissão Paritária#";;A organização de cerimónias de tomada de posse deve ser considerada em 900.20.601 – Organização de cerimónias de tomada de posse e assinatura de documentos#;"Lei 66-B/2012#
DL 8/2012#
Lei 55-A/2010#
Lei 62/2007#
Lei 66-B/2007#
Lei 169/99#";Estatutos IES#;PC;N;AP#;;;"250.10.200#
250.20.001#
900.20.601#";"Eleição para cargos em órgãos sociais e estruturas internas#
Registo biográfico de trabalhadores#
Organização de cerimónias de tomada de posse e assinatura de documentos#";"Sucessão (sucessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#";Média;S;50;;"Conjugação dos critérios
-Legal:
Garantia de direitos e deveres adquiridos com esta formalização e que podem produzir efeitos durante a vida ativa como trabalhador (mesmo após a cessação).
- Utilidade administrativa
Definição de um prazo de vida ativa do trabalhador de 50 anos para processamento de PN decorrentes dos direitos e deveres adquiridos com o provimento.
";Data de encerramento do processo;E;"Densidade informacional:
Informação síntese recuperável no
PN 250.20.001 - Registo biográfico de trabalhadores";;;;;;
;250.10.800;Cessação da relação jurídica de emprego ou de funções;"Formalização do pedido ou proposta de cessação de funções ou de vínculo de trabalho.
Inicia com o pedido do trabalhador ou por iniciativa da entidade empregadora e termina com a formalização da cessaçãode funções ou da relação jurídica de emprego.
Inclui notificação prévia (quando devido), negociação e acordo das condições da cessação de funções ou da relação jurídica de emprego.";"Cessação de contrato#
Cessação de designação para cargo ou função#
Cessação por desligação do serviço para efeitos de aposentação, reforma ou jubilato#
Cessação ou exoneração de comissão de serviço#
Cessação de nomeação definitiva#";"Cessação de contrato: conclusão sem sucesso do período experimental; causas previstas na Lei do Trabalho em Funções Públicas; despedimento coletivo; extinção do posto de trabalho; caducidade por impossibilidade superveniente, absoluta e definitiva; despedimento por inadaptação#
Cessação de designação para cargo ou função: cessação a todo o tempo, por iniciativa da entidade empregadora pública ou do trabalhador#
Cessação ou exoneração de comissão de serviço: cessação a todo o tempo, por iniciativa da entidade empregadora pública ou do trabalhador#
Cessação de nomeação definitiva: conclusão sem sucesso do período experimental; exoneração a pedido do trabalhador; rescisão por mútuo acordo; aplicação de pena disciplinar expulsiva#";;"Lei 35/2014#
Lei 7/2009#";;PC;S;"CGA#
ISS#
INA#";AP#;Comunicar#;"150.20.200#
150.20.403#
250.10.501#
250.10.401#
250.10.500#
250.10.600#
250.20.001#
250.20.603#
250.20.605#
350.10.508#
400.10.010#
400.10.012#
500.30.004#";"Planeamento de necessidades de recursos humanos#
Caracterização de recursos humanos#
Designação para cargos de direção, coordenação e controlo#
Nomeação para postos de trabalho#
Designação para cargos ou funções de confiança ou de interesse público#
Contratação de trabalhadores#
Registo biográfico de trabalhadores#
Colocação de trabalhadores em situação de requalificação#
Acompanhamento dos trabalhadores em situação de requalificação#
Processamento de indemnizações e injunções#
Registo de trabalhadores no sistema da Caixa Geral de Aposentações#
Registo de trabalhadores em subsistemas de saúde públicos#
Aplicação de sanções disciplinares#";"Suplementar#
Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#";Elevada;S;10;;"Critério legal: 
Conjugação do determinado nas [Lei 35/2014], art.º 290, e [Lei 7/2009], art.º 341, relativo à obrigação de entrega ao trabalhador de um certificado de trabalho, indicando as datas de admissão e de saída, bem como o cargo ou cargos que desempenhou, após a extinção do vínculo; 
com a responsabilização prevista na [Lei 98/97], artº 70, nº 1.
";Data de encerramento do processo;E;"Densidade informacional:
Informação síntese recuperável em
PN 150.20.403 - Caracterização de recursos humanos
PN 250.20.001 - Registo biográfico de trabalhadores
";Nota: A eliminação apenas se pode processar se tiver sido emitido o certificado de trabalho e se este constar do registo biográfico do trabalhador – PN 250.20.001;;;;;
;250.20;Gestão de relações individuais de trabalho;Compreende as atividades de gestão da relação laboral estabelecida com cada trabalhador, funcionário público ou dirigente, no que se inclui, quando aplicável, os processos de progressão na carreia, de mobilidade, de suspensão temporária da relação laboral, de controlo de assiduidade, de autorizações para ausência ao serviço e para deslocações, de avaliação do desempenho individual, de atribuição de distinções pelo desempenho no exercício de funções - entre outros processos que possam ocorrer no quadro de cada relação individual de trabalho.;"Atribuição de cartões e outros meios de identificação#
Registo biográfico de trabalhadores#
Processos de afetação transitória a postos de trabalho#
Processos de requalificação#
Processos de progressão#
Processos de controlo de assiduidade/ ausências ao serviço;
Processos de marcação de férias;
Processos de acidente em trabalho#
Processos de reuniões do Conselho#
Atribuição de prémios de desempenho, de louvores ou medalhas no exercício de funções#";"Processos de afetação transitória a postos de trabalho: em mobilidade ou acordo de cedência de interesse público;
Processos de progressão: reclassificação/reconversão, mudanças de nível;
Processos de acidente em trabalho: apenas a participação e instrução base - caso haja lugar ao processamento de indemnizações, a ação disciplinar, ou se for acionada apólice de seguro, outros processos com diferente enquadramento funcional devem ser abertos#
Processos individuais de avaliação, de dirigentes e de trabalhadores: carta de missão e respetivos relatórios, definição de objetivos individuais de trabalhadores, monitorização do desempenho, autoavaliação, avaliação, homologação da avaliação, reclamação da avaliação e respetivo processamento#
";"As leis, normas, instruções e outras disposições regulamentares sobre gestão de recursos humanos, devem ser consideradas em ""Ordenamento jurídico e normativo/Elaboração de diplomas jurídico-normativos e de normas técnicas"" (100.10);
O processamento de remunerações, abonos e descontos deve ser considerado em ""Administração financeira/Execução orçamental"" (350.10);
A ação disciplinar, bem como os recursos hierárquicos e tutelares interpostos por trabalhadores, devem ser considerados em ""Supervisão, controlo e responsabilização"" (500);
Os pedidos de inscrições e alteração de dados de beneficiários da CGA, Segurança Social, ADSE e entidades similares, devem ser considerados em ""Prestação de serviços de identificação e registo /Registo de dados de identificação e caracterização de entidades ou atos"" (400.10);
Os pedidos de atribuição de prestações sociais devem ser considerados em ""Prestação de serviços de proteção e inclusão social/Atribuição de prestações sociais e auxílios económicos"" (650.10);
Os processos de organização e de inscrição em ações de formação devem ser considerados em ""Prestação de serviços de ensino e formação"" (750).";;;;;;;;;;;;;;;;;;;;;;;;
;250.20.001;Registo biográfico de trabalhadores;"Inscrição de todas as referências de identificação, de natureza jurídico-funcional, estatutária e disciplinar do trabalhador.
Inicia com o registo dos dados relativos à admissão do trabalhador e termina com o registo da cessação da relação de trabalho.
Inclui atualização de todos os dados relativos à carreira profissional do trabalhador, com verificação após a passagem à aposentação de modo a conservar a última atualização de: identificação, habilitações literárias, formação profissional, avaliação de desempenho, louvores, registo disciplinar, contagem de tempo de serviço, nota biográfica, certificado de trabalho. 
";"Registo biográfico de trabalhadores em regime de estágio#
Registo biográfico de trabalhadores em regime de voluntariado# 
Regime biográfico de trabalhadores com contrato a termo# 
Regime biográfico de trabalhadores do quadro#";;;"Lei 35/2014#
Lei 7/2009#";;PC;N;AP#;;;"150.20.403#
250.10.301#
250.10.501#
250.10.401#
250.10.500#
250.10.600#
250.10.601#
250.10.700#
250.10.800#
250.20.200#
250.20.201#
250.20.403#
250.20.404#
250.20.600#
250.20.601#
250.20.602#
250.20.603#
250.20.604#
250.20.605#
250.20.800#
250.20.801#
250.20.803#
350.10.503#
450.30.500#
500.20.300#
500.20.600#
500.30.004#
750.20.600#
";"Caracterização de recursos humanos#
Seleção de cidadãos para trabalho voluntário#
Designação para cargos de direção, coordenação e controlo#
Nomeação para postos de trabalho#
Designação para cargos ou funções de confiança ou de interesse público#
Contratação de trabalhadores#
Formalização de estágios profissionais#
Provimento por eleição em cargos ou funções#
Cessação da relação jurídica de emprego ou de funções#
Processamento de pedidos de horário de trabalho especial#
Processamento de pedidos de trabalho extraordinário#
Processamento de licenças de ausência ao serviço#
Processamento de pedidos de estatuto de bolseiro#
Afetação transitória a postos de trabalho#
Alteração de posicionamento remuneratório#
Autorização para o exercício de funções públicas em acumulação#
Colocação de trabalhadores em situação de requalificação#
Processamento de pedidos de reclassificação profissional#
Acompanhamento dos trabalhadores em situação de requalificação#
Avaliação individual do desempenho#
Harmonização e validação de avaliações de desempenho#
Atribuição de prémios de desempenho, louvores ou medalhas#
Liquidação de despesas decorrentes de acidentes de trabalho e doenças profissionais#
Certificação de doença, aptidão ou incapacidade#
Procedimento disciplinar#
Reabilitação de infratores#
Aplicação de sanções disciplinares#
Realização de atividades de ensino ou formação#
";"Síntese (sintetizado)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Sucessão (antecessor)#
Síntese (sintetiza)#
Cruzada#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetiza)#
";Elevada;S;50;;"Conjugação dos critérios
-Legal:
Garantia de direitos e deveres adquiridos com a formalização da relação e que podem produzir efeitos durante a vida ativa como trabalhador.
- Utilidade administrativa
Definição de um prazo de vida ativa do trabalhador de 50 anos para processamento de PN decorrentes dos direitos e deveres adquiridos com o provimento.
Este prazo atende ao facto da cessação da relação da júridica poder ocorrer em momento inicial da vida ativa do trabalhador."; Data de encerramento do processo;C;"Densidade informacional:
Sintetiza informação em
PN 250.10.501 - Designação para cargos de direção, coordenação e controlo
PN 250.10.401 - Nomeação para postos de trabalho
PN 250.10.500 - Designação para cargos ou funções de confiança ou de interesse público
PN 250.10.600 - Contratação de trabalhadores
PN 250.10.700 - Provimento por eleição em cargos ou funções
PN 250.10.800 -Cessação da relação jurídica de emprego público
PN 250.20.200 - Processamento de pedidos de horário de trabalho especial
PN 250.20.403 - Processamento de licenças de ausência ao serviço
PN 250.20.601 - Alteração de posicionamento remuneratório
PN 500.20.300 - Procedimento disciplinar
PN 500.30.004 - Aplicação de sanções disciplinares
PN 750.20.600 - Realização de atividades de ensino ou formação";"O estagiário durante o estágio profissional é considerado um trabalhador.
";;;;;
;250.20.200;Processamento de pedidos de horário de trabalho especial;"Autorização para o cumprimento da jornada de trabalho em horário diferente do regime padrão em uso na organização.
Inicia com pedido do trabalhador e termina com comunicação da decisão ao interessado.
Inclui análise fundamentada do pedido, recolha de pareceres intermédios (quando devido) e decisão.";;;;"Lei 18/2016#
Lei 84/2015#
Lei 35/2014#
Lei 7/2009#
Lei 48/2006#";;PC;N;AP#;;;"250.20.001#
250.20.400#
350.10.509#
500.10.001#";"Registo biográfico de trabalhadores#
Controlo de assiduidade e pontualidade#
Processamento de remunerações#
Realização de auditorias#";"Síntese (sintetizado)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Suplementar#";Média;S;5;;" Conjugação dos critérios:
- Legal
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social - artº 27
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração)."; Data de encerramento do processo;E;"Densidade informacional:
Informação síntese recuperável em
PN 250.20.001 - Registo biográfico de trabalhadores
";;;;;;
;250.20.201;Processamento de pedidos de trabalho extraordinário;"Autorização para a prestação de trabalho fora do horário estabelecido.
Inicia com o pedido de autorização e termina com a comunicação da decisão.
Inclui análise da justificação ou fundamentação do pedido.";;;O processamento do trabalho extraordinário deve ser considerado em 350.10.509 – Processamento de remunerações#;"Lei 20/2015#
Lei 35/2014#
Portaria 609/2009#
Lei 7/2009#";;PC;N;AP#;;;"250.20.001#
250.20.400#
350.10.509#
500.10.001#";"Registo biográfico de trabalhadores#
Controlo de assiduidade e pontualidade#
Processamento de remunerações#
Realização de auditorias#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#";Média;S;5;;"Conjugação dos critérios:
- Legal
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social - artº 27.
Prazo previsto no artº 121, nº 1, da [Lei 35/2014].
Prazo previsto no artº 231º. nº 8 da [Lei 7/2009].
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).
"; Data de encerramento do processo;E;"Densidade informacional:
Informação síntese recuperável em
PN 250.20.001 - Registo biográfico de trabalhadores
";;;;;;
;250.20.400;Controlo de assiduidade e pontualidade;"Verificação do cumprimento do dever de assiduidade e pontualidade por parte do trabalhador.
Inicia com o registo de presença por parte do trabalhador e termina com a síntese de ocorrências relativas à assiduidade e pontualidade do trabalhador.
Inclui participação e justificação da falta ou ausência, despacho superior e apuramento do número de horas de trabalho prestadas pelo trabalhador.";"Deslocações em serviço#
Missões ao e no estrangeiro#
Serviço externo#
Justificação da falta ou ausência#
";"Justificação da falta ou ausência: inclui as licenças e dispensas de recolher, das formaturas ou para pernoita fora do quartel#
";;"Lei 35/2014#
Lei 7/2009#";;PC;N;AP#;;;"250.10.601#
250.20.200#
250.20.201#
250.20.401#
250.20.402#
250.20.403#
250.20.404#
250.30.300#
350.10.509#
400.10.033#
500.10.001#
";"Formalização de estágios profissionais#
Processamento de pedidos de horário de trabalho especial#
Processamento de pedidos de trabalho extraordinário#
Participação de acidentes de trabalho ou de doenças profissionais#
Processamento de férias#
Processamento de licenças de ausência ao serviço#
Processamento de pedidos de estatuto de bolseiro#
Ações coletivas de defesa e promoção de interesses socioprofissionais#
Processamento de remunerações#
Recenseamento nacional dos bombeiros portugueses#
Realização de auditorias#
";"Sucessão (sucessor)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetizado)#
Cruzada#
Suplementar#
";Elevada;S;5;;" Conjugação dos critérios:
- Legal
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social - artº 27
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração)."; Data de encerramento do processo;E;"Densidade informacional:
Informação síntese recuperável no
PN 350.10.509 - Processamento de remunerações";;;;;;
