Código;Título;Descrição;Notas de aplicação;Exemplos NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos Complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Forma contagem de prazo de cons. adm.;Destino final;Justificação DF;Notas;;;;
"600.30.050
";Ação abreviada;"O processo especial abreviado tem por objeto processos em que esteja em causa crime punível com pena de multa ou com pena de prisão não superior a 5 anos, havendo provas simples e evidentes de que resultem indícios suficientes de se ter verificado o crime e de quem foi o seu agente; são ainda julgados em processo abreviado os crimes puníveis com pena de prisão de limite máximo superior a 5 anos, mesmo em caso de concurso de infrações, quando o Ministério Público, na acusação, entender que não deve ser aplicada, em concreto, pena de prisão superior a 5 anos.
Inicia, no tribunal competente, com a receção dos autos contendo a acusação e termina com a decisão final sob a forma de sentença condenatória ou absolutória.
Inclui todos os atos e diligências processuais, nomeadamente, despachos do juiz e atos da secretaria, realização de audiências, produção de prova, notificações ao Ministério Público, arguido, testemunhas, assistente, peritos e consultores técnicos, tomada de declarações dentro e fora do tribunal, realização de atos urgentes, realização de relatório social ou de informação dos serviços de reinserção social, reenvio para outra forma de processo, depósito da sentença e elaboração de conta. Inclui eventual recurso.";;;O processo de inquérito deverá ser considerado em 600.10.500 – Processamento de inquérito-crime.;"DL 78/1987#
DL 48/95#";"Código de Processo Penal, art 391-A e 391-B#
Código Penal#";PC;S;Trb#;"DGRSP#
OPC#
MP#
INMLCF#
AP#";"Assessorar#
Assessorar#
Assessorar#
Assessorar#
Iniciar#";"150.40.001#
400.10.043#
400.10.048#
600.10.007#
600.10.500#
600.10.502#
800.10.603#";"Realização de operações estatísticas oficiais#
Identificação criminal#
Registo de perfis com fins de identificação criminal e civil#
Processamento de informação criminal#
Processamento de inquérito-crime#
Procedimento preliminar a processo sumário#
Realização de perícias#";"Síntese (sintetizado)#
Sucessão (antecessor)#
Cruzada#
Cruzada#
Sucessão (antecessor)#
Sucessão (antecessor)#
Cruzada#";Média;S;15;;"Critério legal:
Prazo máximo de prescrição do procedimento criminal ([DL 48/95], Código Penal, artº 118).";Data do do cancelamento definitivo do registo criminal;"CP
";"Enumeração e tipificação dos casos recuperável através das estatísticas.
Esta síntese não permite recuperar o particular e individual, mas apenas o geral.
A aplicação de um critério de amostragem aleatória sobre este PN permitirá conhecer em detalhe alguns casos e obter um subconjunto representativo de todas as características da população-alvo.
Toma ainda como base o facto da imprevisibilidade dos estudos nesta área e a impossibilidade atual de conservar toda a produção.
A constituição de uma amostra significativa do universo de onde é retirada, mediante a aplicação de métodos estatísticos com uma margem de erro controlada, será suficiente para representar o universo.
A grelha para seleção da amostragem encontra-se no final desta página.
Extra amostra poderão ser conservadas os fat files ou os processos referentes a casos com maior impacto social.";Portaria 368/2013, refª 52.;;;;
"600.30.051
";Ação sumária;"O processo especial sumário é aplicável nos casos de detenção em flagrante delito, nos termos dos art.ºs 255.º e 256.º do Código de Processo Penal, por crime punível com pena de prisão cujo limite máximo não seja superior a 5 anos, mesmo que em caso de concurso de infrações, quando à detenção tiver procedido qualquer autoridade judiciária ou entidade policial, ou quando a detenção tenha sido efetuada por pessoa e, num prazo que não exceda 2 horas, o detido tenha sido entregue a uma das entidades referidas, tendo esta redigido auto sumário da entrega; são ainda julgados em processo sumário os detidos em flagrante delito por crime punível com pena de prisão de limite máximo superior a 5 anos, mesmo em caso de concurso de infrações, quando o Ministério Público, na acusação, entender que não deve ser aplicada, em concreto, pena de prisão superior a 5 anos.
Inicia, no tribunal competente, com a receção dos autos contendo a acusação e termina com a decisão final sob a forma de sentença condenatória ou absolutória.
Inclui todos os atos e diligências processuais, nomeadamente, despachos do juiz e atos da secretaria, realização de audiências, notificações ao Ministério Público, arguido, testemunhas, assistente, peritos e consultores técnicos, tomada de declarações dentro e fora do tribunal, realização de atos urgentes, realização de relatório social ou de informação dos serviços de reinserção social, reenvio para outra forma de processo, depósito da sentença e elaboração de conta.
Inclui eventual recurso.";;;O processo de inquérito deverá ser considerado em 600.10.500 – Processamento de inquérito-crime.;"DL 78/1987#
DL 48/95#";"Código de Processo Penal, art 381 a 391#
Código Penal#";PC;S;Trb#;"DGRSP#
OPC#
MP#
INMLCF#
AP#";"Assessorar#
Assessorar#
Assessorar#
Assessorar#
Iniciar#";"150.40.001#
400.10.043#
600.10.007#
600.10.500#
600.10.502#
800.10.603#";"Realização de operações estatísticas oficiais#
Identificação criminal#
Processamento de informação criminal#
Processamento de inquérito-crime#
Procedimento preliminar a processo sumário#
Realização de perícias#";"Síntese (sintetizado)#
Sucessão (antecessor)#
Cruzada#
Sucessão (antecessor)#
Sucessão (antecessor)#
Cruzada#";Elevada;S;15;;"Critério legal:
Prazo máximo de prescrição do procedimento criminal ([DL 48/95], Código Penal, artº 118).";Data do cancelamento definitivo do registo criminal;"CP
";"Enumeração e tipificação dos casos recuperável através das estatísticas.
Esta síntese não permite recuperar o particular e individual, mas apenas o geral.
A aplicação de um critério de amostragem aleatória sobre este PN permitirá conhecer em detalhe alguns casos e obter um subconjunto representativo de todas as características da população-alvo.
Toma ainda como base o facto da imprevisibilidade dos estudos nesta área e a impossibilidade atual de conservar toda a produção.
A constituição de uma amostra significativa do universo de onde é retirada, mediante a aplicação de métodos estatísticos com uma margem de erro controlada, será suficiente para representar o universo.
A grelha para seleção da amostragem encontra-se no final desta página.
Extra amostra poderão ser conservadas os fat files ou os processos referentes a casos com maior impacto social.";Portaria 368/2013, refª 65.;;;;
"600.30.052
";Ação sumaríssima;"O processo especial sumaríssimo é aplicável em caso de crime punível com pena de prisão não superior a 5 anos ou só com pena de multa, quando o Ministério Público, por iniciativa do arguido ou depois de o ter ouvido e quando entender que ao caso deve ser concretamente aplicada pena ou medida de segurança não privativas da liberdade.
Inicia, no tribunal competente, com o auto de notícia ou no decurso do inquérito e termina com a decisão final.
Inclui todos os atos e diligências processuais, nomeadamente, a nomeação de defensor ao arguido, a notificação ao requerido e ao defensor do requerimento do Ministério Público e do despacho do juiz fixando sanção diferente, a (eventual) oposição à sanção proposta, por parte do arguido, a sentença e a elaboração de conta.";;;O processo de inquérito deverá ser considerado em 600.10.500 – Processamento de inquérito-crime.;"DL 78/1987#
DL 48/95#";"Código de Processo Penal, art 392#
Código Penal#";PC;S;Trb#;"DGRSP#
OPC#
MP#
INMLCF#
AP#";"Assessorar#
Assessorar#
Assessorar#
Assessorar#
Iniciar#";"150.40.001#
400.10.043#
400.10.048#
600.10.007#
600.10.500#
600.10.502#
800.10.603#";"Realização de operações estatísticas oficiais#
Identificação criminal#
Registo de perfis com fins de identificação criminal e civil#
Processamento de informação criminal#
Processamento de inquérito-crime#
Procedimento preliminar a processo sumário#
Realização de perícias#";"Síntese (sintetizado)#
Sucessão (antecessor)#
Cruzada#
Cruzada#
Sucessão (antecessor)#
Cruzada#
Cruzada#";Elevada;S;5;;"Critério legal:
Prazo de prescrição do procedimento criminal ([DL 48/95], Código Penal, artº 118).";Data do cancelamento definitivo do registo criminal;"CP
";"Enumeração e tipificação dos casos recuperável através das estatísticas.
Esta síntese não permite recuperar o particular e individual, mas apenas o geral.
A aplicação de um critério de amostragem aleatória sobre este PN permitirá conhecer em detalhe alguns casos e obter um subconjunto representativo de todas as características da população-alvo.
Toma ainda como base o facto da imprevisibilidade dos estudos nesta área e a impossibilidade atual de conservar toda a produção.
A constituição de uma amostra significativa do universo de onde é retirada, mediante a aplicação de métodos estatísticos com uma margem de erro controlada, será suficiente para representar o universo.
A grelha para seleção da amostragem encontra-se no final desta página.
Extra amostra poderão ser conservadas os fat files ou os processos referentes a casos com maior impacto social.";Portaria 368/2013, refª 66.;;;;
"600.30.101
";Internamento compulsivo;"Ação que ocorre nos casos em que o portador de anomalia psíquica grave crie, por força dela, uma situação de perigo para bens jurídicos, de relevante valor, próprios ou alheios, de natureza pessoal ou patrimonial, e recuse submeter-se ao necessário tratamento médico, ou nos casos em que o portador de anomalia psíquica grave não possua o discernimento necessário para avaliar o sentido e alcance do consentimento, quando a ausência de tratamento deteriore de forma acentuada o seu estado, determinando-se o internamento em estabelecimento adequado.
Inicia-se com um auto de notícia, uma queixa ou um requerimento e termina com uma sentença.
Inclui todos os atos e dilgências processuais, nomeadamente, nomeação de defensor, notificação do internando e familiar mais próximo, prática de atos instrutórios, avaliação clínico-psiquiátrica, sessão conjunta. Inclui eventual recurso.";Pode ter natureza urgente quando, verificando-se as condições do internamento, exista perigo iminente para os bens jurídicos tutelados pela lei, nomeadamente, por deterioração aguda do estado do internando#;;;Lei 36/98#;Lei 36/98, art 6 e ss#;PE;S;Trb#;"DGRSP#
OPC#
MP#
INMLCF#";"Assessorar#
Assessorar#
Assessorar#
Assessorar#";"150.40.001#
400.10.043#
800.10.603#";"Realização de operações estatísticas oficiais#
Identificação criminal#
Realização de perícias#";"Síntese (sintetizado)#
Sucessão (antecessor)#
Cruzada#";Reduzida;S;20;;"Critério legal:
Prazo ordinário de prescrição ([DL 47344/66], Código Civil, artº 309).";Data em que forem considerados findos para efeitos de arquivo;"CP
";"Enumeração e tipificação dos casos recuperável através das estatísticas.
Esta síntese não permite recuperar o particular e individual, mas apenas o geral.
A aplicação de um critério de amostragem aleatória sobre este PN permitirá conhecer em detalhe alguns casos e obter um subconjunto representativo de todas as características da população-alvo.
Toma ainda como base o facto da imprevisibilidade dos estudos nesta área e a impossibilidade atual de conservar toda a produção.
A constituição de uma amostra significativa do universo de onde é retirada, mediante a aplicação de métodos estatísticos com uma margem de erro controlada, será suficiente para representar o universo.
A grelha para seleção da amostragem encontra-se no final desta página.
Extra amostra poderão ser conservadas os fat files ou os processos referentes a casos com maior impacto social.";Portaria nº 368/2013, refª 61;;;;
"600.30.150


";Extradição passiva;"Transferência de indivíduo que se encontra em Portugal para outro Estado, a solicitação deste, por aí se encontrar arguido ou condenado pela prática de um crime, sendo entregue às autoridades desse Estado para efeitos de procedimento penal ou para cumprimento de pena ou medida de segurança privativas da liberdade.
Inicia com a receção do pedido pelo Procurador-Geral da República e sua submissão para apreciação pelo Ministro da Justiça e termina com a decisão do Tribunal da Relação, remoção do extraditando do território português ou arquivamento e comunicações ao tribunal e à PGR após a entrega da pessoa.
Inclui a fase administrativa (governo) e a fase judicial (tribunais); eventuais pedidos de entrega temporária, detenção provisória, detenção não diretamente solicitada, execução da detenção por entidade policial e apresentação da pessoa detida ao Ministério Público (MP) junto do Tribunal da Relação competente, audição do extraditando pelo juíz e eventual produção de prova, declaração de consentimento do extraditando e eventuais recursos.

SOFREU ALTERAÇÕES";"Pedidos de entrega temporária#
Detenções provisórias ou antecipadas#
Detenções não diretamente solicitadas e detenções com base nas indicações introduzidas no Sistema de Informação de Schengen (SIS)#";;"Os processos de extradição em que  o Estado português é entidade requerente deverão ser considerados no processo respetivo.
As extradições com origem num mandado de detenção europeu deverão ser consideradas no processamento em 600.30.151 – Mandado de Detenção Europeu.";"Lei 144/99#
Resolução da Assembleia da República 23/89#
Lei Constitucional 1/2005#
Acordo de Schengen#";"Lei 144/99, art 31 a 68#
Resolução da Assembleia da República 23/89#
Constituição da República Portuguesa, art 33#
Convenção de Aplicação do Acordo de Schengen#";PE;S; Trb#;"DGRSP#
GMG#
PJ#
MP#";"Assessorar#
Apreciar#
Executar#
Assessorar#";"150.20.300#
150.40.001#
600.10.007#";"Avaliação de atividades#
Realização de operações estatísticas oficiais#
Processamento de informação criminal#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#";Reduzida;S;5;;"Critério legal:
Prazo previsto para a realização de inspeções aos tribunais, aos magistrados e aos oficiais de justiça - Regulamentos das inspeções Judiciais, [Deliberação do Conselho Superior de Magistratura 1868/2012], artº  5º; Regulamento das inspeções do Ministério Público, [Regulamento 17/2002], artº  7º; Regulamento das inspeções dos Tribunais Administrativos e Fiscais, [Deliberação do Conselho Superior dos Tribunais Administrativos e Fiscais 825/2005], artº 4º; Estatuto dos Funcionários de Justiça, [DL 343/99], artº 71º .";Data em que forem considerados findos para efeitos de arquivo.;E;"Critério de densidade informacional:
informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (Relatório anual de atividades);
PN 150.40.001 - Realização de operações estatísticas oficiais.";;;;;
"600.30.151

";Mandado de detenção europeu;"Decisão judiciária proferida por uma autoridade judiciária dum Estado-membro da União Europeia com vista à detenção e entrega por Portugal de uma pessoa procurada para efeitos de procedimento criminal ou para cumprimento de uma pena ou medida de segurança privativas da liberdade.
Inicia com a comunicação do Mandado de Detenção Europeia (MDE) pela autoridade de emissão e termina com a recusa ou execução do pedido pela autoridade judiciária de execução portuguesa.
Inclui eventuais colaborações com o Sistema de Informação de Schegen (SIS) (inserção de indicação da pessoa procurada), com a Interpol ou Rede Judiciária Europeia, audição do detido e produção de prova e eventuais e procedimentos de execução, nomeadamente a detenção da pessoa procurada.
";Apreensão e entrega de bens no âmbito de um Mandado de Detenção Europeia (MDE)#;;Os mandados de detenção europeus emitidos em Portugal devem ser considerados no processo respetivo.;"Lei 65/2003#
Decisão-Quadro (UE) 584/JAI/2002#";"Lei 65/2003#
Decisão-quadro 2002/584/JAI#";PE;S;MP#;PJ#;Assessorar#;"150.20.300#
150.40.001#
600.10.007#";"Avaliação de atividades#
Realização de operações estatísticas oficiais#
Processamento de informação criminal#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#";Reduzida;S;5;;"Critério legal:
Prazo previsto para a realização de inspeções aos tribunais, aos magistrados e aos oficiais de justiça - Regulamentos das inspeções Judiciais, [Deliberação do Conselho Superior de Magistratura 1868/2012], artº  5º; Regulamento das inspeções do Ministério Público, [Regulamento 17/2002], artº  7º; Regulamento das inspeções dos Tribunais Administrativos e Fiscais, [Deliberação do Conselho Superior dos Tribunais Administrativos e Fiscais 825/2005], artº 4º; Estatuto dos Funcionários de Justiça, [DL 343/99], artº 71º .";Data em que forem considerados findos para efeitos de arquivo.;E;"Critério de densidade informacional:
informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (Relatório anual de atividades);
PN 150.40.001- Realização de operações estatísticas oficiais.";;;;;
"600.30.152


";Transferência de pessoa condenada;"Transferência internacional para Portugal ou de Portugal para o estrangeiro de pessoa condenada a pena ou medida privativa de liberdade no âmbito da execução de sentença penal.
Inicia com o pedido pelo Estado estrangeiro ou por Portugal, em qualquer dos casos a requerimento ou com consentimento expresso da pessoa interessada e termina com a decisão e execução.
Inclui todas as informações e documentos de apoio ao processo, os procedimentos de apreciação da admissibilidade do pedido, bem como a informação dos serviços prisionais às pessoas condenadas que possam beneficiar da medida da faculdade de solicitarem a sua transferência.";;;;Lei 144/99#;Lei 144/99, art 114 a 125#;PE;S;Trb#;;;"150.40.001#
600.10.007#";"Realização de operações estatísticas oficiais#
Processamento de informação criminal#";"Síntese (sintetizado)#
Cruzada#";Média;S;15;;"Critério legal:
Prazo máximo de prescrição do procedimento criminal ([DL 48/95], Código Penal, artº 118).";Data em que forem considerados findos para efeitos de arquivo.;E;"Critério de densidade informacional:
informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (Relatório anual de atividades);
PN 150.40.001- Realização de operações estatísticas oficiais.";;;;;
"600.30.153


";Transmissão de processo penal;"Instauração, ou continuação em Portugal, de procedimento penal por facto praticado fora do território português a pedido de estado estrangeiro.
Inicia com o pedido formulado pelo Estado estrangeiro e sua submissão pelo Procurador-Geral da República (PGR) a apreciação do Ministro da Justiça e termina com a decisão e remessa do processo ao Estado estrangeiro que formulou o pedido.
Inclui notificações, diligências e decisões judiciais.

Inclui todos os atos e diligências processuais, nomeadamente, despachos do juiz e atos da secretaria, realização de audiências, produção de prova, notificações ao Ministério Público, arguido, testemunhas, assistente, peritos e consultores técnicos, tomada de declarações dentro e fora do tribunal, realização de atos urgentes, realização de relatório social ou de informação dos serviços de reinserção social, depósito da sentença e elaboração de conta. Inclui eventual recurso.";Delegação num Estado estrangeiro da instauração ou continuação de procedimento penal instaurado em Portugal#;;;Lei 144/99#;Lei 144/99, art 79 a 94#;PE;S;Trb#;;;"150.40.001#
600.10.007#";"Realização de operações estatísticas oficiais#
Processamento de informação criminal#";"Síntese (sintetizado)#
Cruzada#";Média;S;15;;"Critério legal:
Prazo máximo de prescrição do procedimento criminal ([DL 48/95], Código Penal, artº 118).";Data do cancelamento definitivo do registo criminal.;C;"Critério densidade informacional:
Enumeração e tipificação dos casos recuperável através das estatísticas.
Esta síntese não permite recuperar o particular e individual, mas apenas o geral, o qual não permite a reconstituição do caso.
";Em regra são comuns coletivos. São processos raríssimos.;;;;
"600.30.154


";Execução de sentença penal estrangeira;"Execução em Portugal de sentença penal estrangeira transitada em julgado.
Inicia com a formulação do pedido de delegação pelo Estado da condenação e sua submissão, pela Autoridade Central, a apreciação do Ministro da Justiça e termina com execução da sentença e condução a estabelecimento prisional.
Inclui revisão e confirmação da sentença estrangeira pelo Tribunal da Relação e eventuais recursos. Na execução da sentença seguem-se as regras/trâmites gerais.
";;;A execução no estrangeiro de sentença penal portuguesa deverá ser considerada no processo respetivo.;Lei 144/99#;Lei 144/99, art 95 a 103#;PE;S;Trb#;"DGRSP#
GMG#";"Assessorar#
Apreciar#";"150.40.001#
600.10.007#";"Realização de operações estatísticas oficiais#
Processamento de informação criminal#";"Síntese (sintetizado)#
Cruzada#";Média;S;15;;"Critério legal:
Prazo máximo de prescrição do procedimento criminal ([DL 48/95], Código Penal, artº 118).";Data do cancelamento definitivo do registo criminal.;C;"Critério densidade informacional:
Enumeração e tipificação dos casos recuperável através das estatísticas.
Esta síntese não permite recuperar o particular e individual, mas apenas o geral, o qual não permite a reconstituição do caso.
";;;;;
"600.30.156


";Vigilância de pessoa condenada ou libertada condicionalmente;"Cooperação para vigilância de pessoa condenada ou libertada condicionalmente que resida habitualmente em território do Estado a quem essa cooperação é pedida. 
Inicia com o envio de pedido formulado por Portugal ou com a submissão do pedido formulado a Portugal, através da Autoridade Central, a apreciação do Ministro da Justiça e termina, após a cessação do período de vigilância, com o fornecimento ao Estado requerente das informações necessárias ou de documento certificativo da execução.
Inclui pedidos de informações relacionados e decisão  do Tribunal da Relação da área da residência da pessoa visada.";Pedidos formulados a Portugal por estados estrangeiros#;;Os pedidos de vigilância por Portugal a estados estrangeiros a pessoa condenada ou libertada condicionalmente deverão ser considerados no processo respetivo.;Lei 144/99#;Lei 144/99, art 126 a 144#;PE;S;TR#;MP#;Apreciar#;"150.40.001#
600.10.007#";"Realização de operações estatísticas oficiais#
Processamento de informação criminal#";"Síntese (sintetizado)#
Cruzada#";Média;S;5;;"Critério legal:
Prazo previsto para a realização de inspeções aos tribunais, aos magistrados e aos oficiais de justiça - Regulamentos das inspeções Judiciais, [Deliberação do Conselho Superior de Magistratura 1868/2012], artº  5º; Regulamento das inspeções do Ministério Público, [Regulamento 17/2002], artº  7º; Regulamento das inspeções dos Tribunais Administrativos e Fiscais, [Deliberação do Conselho Superior dos Tribunais Administrativos e Fiscais 825/2005], artº 4º; Estatuto dos Funcionários de Justiça, [DL 343/99], artº 71º .";Data em que forem considerados findos para efeitos de arquivo.;E;"Critério densidade informacional:
Informação síntese recuperável no
PN 150.40.001- Realização de operações estatísticas oficiais e pelo facto dos direitos associados ao PN se extinguirem com o cumprimento da obrigação.";;;;;
"600.30.157


";Atos particulares de auxílio internacional em matéria penal;"Execução de atos particulares de auxílio internacional, em matéria penal.
Inicia com a notificação pela autoridade portuguesa de atos processuais e de decisões que lhe foram enviados pela autoridade estrangeira e termina com o envio dos autos e outros documentos à autoridade estrangeira que formulou o pedido de auxílio.
Inclui eventual decisões do tribunal competente e do MºP.
";Fase de produção de prova e de decisão judiciária#;"Entrega temporária de detidos ou presos#
Salvo-conduto#
Trânsito#
Informações sobre o direito aplicável#
Informações constantes do registo criminal#
Informações sobre sentenças#";"Excluem-se do âmbito desta classe os seguintes atos, que deverão ser considerados em 600.10.507 – Diligências de investigação decorrentes de pedido de cooperação internacional: envio de objetos, valores, documentos ou processos; produtos, objetos e instrumentos do crime; entregas controladas ou vigiadas; ações encobertas; interceção de telecomunicações;
Excluir as que ocorrem na fase de investigação e de prevenção as quais deverão ser classificadas em 600.10.507 – Diligências de investigação decorrentes de pedido de cooperação internacional;
As rogatórias ou outros pedidos internacionais dirigidos às autoridades estrangeiras, emitidas pelas autoridades judiciárias e policiais portuguesas, deverão ser consideradas no respetivo inquérito ou processo.";Lei 144/99#;;PE;S;"TR#
MP#";;;"150.40.001#
600.10.007#";"Realização de operações estatísticas oficiais#
Processamento de informação criminal#";"Síntese (sintetizado)#
Cruzada#";Média;S;5;;"Critério legal:
Prazo previsto para a realização de inspeções aos tribunais, aos magistrados e aos oficiais de justiça - Regulamentos das inspeções Judiciais, [Deliberação do Conselho Superior de Magistratura 1868/2012], artº  5º; Regulamento das inspeções do Ministério Público, [Regulamento 17/2002], artº  7º; Regulamento das inspeções dos Tribunais Administrativos e Fiscais, [Deliberação do Conselho Superior dos Tribunais Administrativos e Fiscais 825/2005], artº 4º; Estatuto dos Funcionários de Justiça, [DL 343/99], artº 71º .";Data em que forem considerados findos para efeitos de arquivo.;E;"Critério densidade informacional:
Informação síntese recuperável no PN 150.40.001- Realização de operações estatísticas oficiais e pelo facto dos direitos associados ao PN se extinguirem com o cumprimento da obrigação.";"""Aplica-se aos atos a que se referem os seguintes artigos da Lei 144/99, de 31 de agosto: 155.º, 157.º, 158.º, 161.º, 162.º e 163.º, nomeadamente: entrega temporária de detidos ou presos; salvo-conduto; trânsito; informações sobre o direito aplicável; informações constantes do registo criminal; informações sobre sentenças.
Excluem-se os atos consignados nos art.os  159.º, 160.º, 161.º-A, 161.º-B e 161.º-C, da Lei 144/99, de 31 de agosto, relativos a: envio de objectos, valores, documentos ou processos; produtos, objectos e instrumentos do crime; entregas controladas ou vigiadas; ações encobertas; intercepção de telecomunicações.
""";;;;
"600.30.200
";"Ação declarativa comum

";"Abarca todas as providências que podem ser solicitadas nos tribunais cíveis e às quais não corresponde, na lei processual civil, uma forma especial do processo.
Inicia com o articulado de uma das partes civis ou do Ministério Público e  termina com a prolação de sentença e a elaboração da conta.
Inclui todos as fases processuais previstas no Código do Processo Civil. Inclui eventual recurso.";;;;Lei 41/2013#;Código do Processo Civil#;PC;S;Trb#;"GMG#
MP#
AP#";"Apreciar#
Apreciar#
Iniciar#";"150.40.001#
400.30.602#
600.20.303#";"Realização de operações estatísticas oficiais#
Registo de Cláusulas Contratuais Abusivas#
Ação em serviço de mediação do Julgado de Paz#";"Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (sucessor)#";Reduzida;S;;;;;;;"Aplica-se às antigas ações ""Ordinárias"", ""Sumárias"" , ""Sumaríssimas"" da Tabela Cível,  ""Ordinárias"" e ""Sumárias"" da Tabela de Família e Menores, ""Comuns"", ""Ordinárias"" e  ""Sumárias"" da Tabela dos Tribunais do Trabalho.
Portaria 368/2013,  refªs 111, 127, 128, 175, 186, 195, 199 e 201.";;;;
600.30.200.01;Ação declarativa comum: articulados, gestão processual e audiência;Inicia com a entrega da petição inicial e termina com a realização da audiência. Inclui todos os articulados, incluindo os da fase de recurso, audiências e demais decisões que não sejam sentenças ou acórdãos bem como todos os atos e diligências da secretaria.;;;;;;;;;;;;;;;;20;;"Critério legal:
Prazo ordinário de prescrição ([DL 47344/66], Código Civil, artº 309).";Data em que forem considerados findos para efeitos de arquivo.;E;"Critério densidade informacional:
Informação síntese recuperável no PN 600.30.200.02 - Ação declarativa comum: decisão.";;;;;
600.30.200.02;Ação declarativa comum: decisão;Prolação da sentença ou acórdão em caso de tribunal de 1ª instância ou decisão singular ou acórdão em caso de tribunais de recurso.;Sentença ou acórdão#;;;;;;;;;;;;;;;20;;"Critério legal:
Prazo ordinário de prescrição ([DL 47344/66], Código Civil, artº 309).";Data em que forem considerados findos para efeitos de arquivo.;C;"Critério legal:
Para salvaguarda de direitos imprescritíveis decorrentes da sentença e garante do exercício de direitos reais de propriedade.";;;;;
"600.30.250
";Tutela da personalidade;"Processo especial por intermédio do qual poderão ser decretadas providências concretamente adequadas a evitar a consumação de qualquer ameaça ilícita e direta à personalidade física ou moral de ser humano ou a atenuar/fazer cessar os efeitos de ofensa já cometida.
Inicia com um articulado de uma das partes civis ou do Ministério Público e termina com a prolação de sentença  e elaboração da conta. Inclui a audiência na qual é apresentada contestação, tentativa de conciliação e audiência de julgamento com produção de prova.  Inclui eventual recurso.";;;;Lei 41/2013#;Código do Processo Civil, art 878 e ss#;PE;S;Trb#;"DGAJ#
DGPJ#
DGRSP#
PJ#
";"Apreciar#
Apreciar#
Apreciar#
Apreciar#";150.40.001#;Realização de operações estatísticas oficiais#;Síntese (sintetizado)#;;S;;;;;;;Portaria 368/2013, refª 130;;;;
600.30.250.01;Tutela da personalidade: articulados, gestão processual e audiência;Inicia com a entrega da petição inicial e termina com a realização da audiência. Inclui todos os articulados, incluindo os da fase de recurso, audiências e demais decisões que não sejam sentenças ou acórdãos bem como todos os atos e diligências da secretaria.;;;;;;;;;;;;;;Elevada;;20;;"Critério legal:
Prazo ordinário de prescrição ([DL 47344/66], Código Civil, artº 309).";Data em que forem considerados findos para efeitos de arquivo.;E;"Critério densidade informacional:
Informação síntese recuperável no PN 600.30.250.02 - Tutela da personalidade: decisão.";;;;;
600.30.250.02;Tutela da personalidade: decisão;Prolação da sentença ou acórdão em caso de tribunal de 1ª instância ou decisão singular ou acórdão em caso de tribunais de recurso.;Sentença ou acórdã#;;;;;;;;;;;;;;;20;;"Critério legal:
Prazo ordinário de prescrição ([DL 47344/66], Código Civil, artº 309).";Data em que forem considerados findos para efeitos de arquivo.;C;"Critério legal:
Para salvaguarda de outros direitos imprescritíveis decorrentes da sentença.";;;;;
"600.30.251
";Processamento de justificação judicial de ausência para instituição da curadoria definitiva de bens ;Processo especial destinado a instituir a curadoria definitiva dos bens do ausente. Pode ser requerida quando hajam decorrido dois anos sem se saber daquele e este não tiver deixado representante legal nem procurador bastante ou cinco anos no caso contrário. Este processo inicia-se com um articulado de uma das partes civis ou do Ministério Público e termina com a prolação de sentença e elaboração da conta. Inclui a citação do ausente por editais, eventual contestação e  audiência com produção de prova. Inclui eventual recurso.;;;A curadoria provisória dos bens do ausente deve ser considerada em 600.30.264 - Curadoria provisória dos bens do ausente.;"Lei 41/2013#
DL 47344/66#";"Código do Processo Civil, art 881 a 890#
Código Civil, art 99#";PE;S;Trb#;MP#;Apreciar#;150.40.001#;Realização de operações estatísticas oficiais#;Síntese (sintetizado)#;Elevada;S;20;;"Critério legal:
Prazo ordinário de prescrição ([DL 47344/66], Código Civil, artº 309).";Data em que forem considerados findos para efeitos de arquivo.;C;"Critério legal:
Para salvaguarda de outros  direitos imprescritíveis decorrentes da sentença e porque contém potenciais elementos de estudo para o conhecimento da realidade social que inexistem noutras séries documentais";Portaria 368/2013, refª 102;;;;
