Código;Título;Descrição;Notas de aplicação;Exemplos NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;
710.20.001;Inumação e cremação de restos mortais;"Colocação de cadáver em sepultura, jazigo ou local de consumpção aeróbia ou redução de cadáver ou ossadas a cinzas.
Inicia com o pedido e termina com a inumação ou com a entrega de cinzas.
Inclui identificação de cadáver, ossadas, cinzas e de óbito, análise do pedido, cálculo do valor da taxa, comprovativo de pagamento e cremação, quando devido.

";"Cremação de cadáveres e ossadas#
Cremação de fetos mortos e peças anatómicas#
Inumação de cinzas#
Inumação em local de consumpção aeróbia#
Inumação em sepultura ou jazigo#



";;"Os pagamentos devem ser classificados em 350.30.001 – Cobrança de receitas e pagamento de despesas#
A entrega de cinzas inumadas deve ser considerada em 710.20.002 – Entrega de cinzas inumadas#";"DL 138/2000#
DL 109/2010#
DL 5/2000#
DL 411/98#
";;PE;N;AL#;INMLCF#;Iniciar#;"150.20.300#
300.30.008#
450.30.504#
500.10.001#
710.20.004#
710.20.600#";"Avaliação de atividades#
Registo de documentos e informação#
Certificação de óbito#
Realização de auditorias#
Entrega de restos mortais#
Depósito de urnas#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (sucede)#
Suplementar#
Sucessão (sucessor)#
Sucessão (sucessor)#";Elevada;S;;;;;;;;
710.20.001.01;Inumação e cremação de restos mortais: identificação de restos mortais;Receção, registo e guarda dos elementos de identificação do cadáver e de certificação do óbito.;;;;;;;;;;;500.10.001#;Realização de auditorias#;Suplementar#;;;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração)
";Data de encerramento do processo;C;"Critério legal: [DL 411/98], art.º 9, n.º 7 ""...entidade responsável pela administração do cemitério procede ao arquivamento do boletim de óbito""";;
710.20.001.02;Inumação e cremação de restos mortais: execução;"Receção e análise do pedido, cálculo do valor da taxa, comprovativo de pagamento e execução da inumação ou cremação.
";;;;;;;;;;;"150.20.300#
300.30.008#
500.10.001#";"Avaliação de atividades#
Registo de documento e informação#
Realização de auditorias#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#";;;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração)
";Data de encerramento do processo;E;"Critério: Densidade informacional
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade)
PN 300.30.008 - Registo de documentos (registo dos casos tratados, intervenientes e etapas)";;
710.20.002;"Entrega de cinzas inumadas

";"Saída de cinzas inumadas em qualquer construção funerária, salvo cendrário.
Inicia com o pedido e termina com a entrega das cinzas.
Inclui verificação dos elementos instrutórios e dos requisitos legais.";;;A entrega de cinzas imediatamente após cremação deve ser considerada em 710.20.001 – Inumação e cremação de restos mortais#;"DL 138/2000#
DL 5/2000#
DL 411/98#
";;PE;N;AL#;;;"150.20.300#
300.30.008#
500.10.001#";"Avaliação de atividades#
Registo de documentos e informação#
Realização de auditorias#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#";"Reduzida
";S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração)
";Data de encerramento do processo;E;"Critério: Densidade informacional
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade)
PN 300.30.008 - Registo de documentos (registo dos casos tratados, intervenientes e etapas)";;
710.20.003;Identificação de restos mortais abandonados em cemitérios;"Reconhecimento da condição de abandono de restos mortais.
Inicia com a verificação das condições de abandono e termina com o registo.
Inclui elaboração e envio de notificação aos interessados e para publicitação e definição do destino a dar aos restos mortais, quando devido.";"Identificação de restos mortais em compartimentos municipais por falta de pagamento#
Identificação de restos mortais em jazigos particulares e sepulturas perpétuas na sequência de prescrição ou renúncia da concessão#
Identificação de restos mortais em sepulturas temporárias cuja exumação não foi agendada#
Renúncia a direitos sobre restos mortais por parte dos interessados#";;Os pedidos de informação sobre localização de restos mortais devem ser considerados em 900.20.604 – Processamento de pedidos de informação e de esclarecimento#;"DL 138/2000#
DL 5/2000#
DL 411/98#
";;PE;N;AL#;;;"150.20.300#
300.30.008#
500.10.001#
800.10.603#
800.10.609#";"Avaliação de atividades#
Registo de documentos e informação#
Realização de auditorias#
Realização de perícias #
Realização de técnicas de conservação artificial#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#
Cruzada#
Cruzada#";"Média
";S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração)
";Data de encerramento do processo;E;"Critério: Densidade informacional
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade)
PN 300.30.008 - Registo de documentos (registo dos casos tratados, intervenientes e etapas)";"Publicitação num único Edital da ""Renúncia à Concessão do Jazigo Particular"" e em simultâneo ""restos mortais nele inumados"".
Problema:
A renúncia à concessão do jazigo particular está previsto em 300.10.003 - Transação e transmissão de bens imóveis.
A renúncia dos direitos sobre os restos mortais inumados no jazigo particular está prevista neste PN.

Tratam-se de dois procedimentos que se materializam num mesmo ato, sendo necessário alterar práticas administrativas.";
710.20.004;Entrega de restos mortais ;"Transferência da responsabilidade sobre os restos mortais a fim de se proceder à autópsia, inumação, cremação ou uso para investigação. 
Inicia com o aviso de óbito ou com o pedido de levantamento de cadáver e termina com a entrega dos restos mortais. 
Inclui verificação da legitimidade. 


";"Entrega de restos mortais a agencias funerárias# 
Entrega de restos mortais a centros de investigação# 
Entrega de restos mortais para autópsia# 
Entrega de restos mortais para investigação forense# 
Reclamação de restos mortais#  ";;"A trasladação de deve ser considerada em 710.20.601 – Trasladação de cadáveres e ossadas# 
A autorização para realização de trabalhos de investigação que tenham por base o estudo de restos mortais, deve ser considerada em 450.10.073 – Licenciamento ou autorização de atividades de investigação científica e de desenvolvimento#";"Lei 12/99#
Portaria 165/2014#
DL 411/98#";;PE;S;"INMLCFl#
FA#
DGACCP#
HH#";"AL#
Cns#";"Assessorar#
Assessorar#";"150.20.300#
300.30.008#
500.10.001#
710.20.001#
800.10.603#
800.10.609#
710.20.300#";"Avaliação de atividades#
Registo de documentos e informação#
Realização de auditorias#
Inumação e cremação de restos mortais#
Realização de perícias #
Realização de técnicas de conservação artificial#
Exumação de cadáveres e ossadas#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#
Sucessão (antecessor)#
Cruzada#
Cruzada#
Sucessão (antecessor)#";Elevada;S;15;;"Critério legal
Prazo prescricional do procedimento criminal ([DL 48/95], artº 118)";Data de encerramento do processo;E;"Critério: Densidade informacional
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade)
PN 300.30.008 - Registo de documentos (registo dos casos tratados, intervenientes e etapas)";;
710.20.300;Exumação de cadáveres e ossadas;"Abertura e recolha de restos mortais inumados em sepultura, local de consumpção aeróbia ou caixão de metal.
Inicia com o pedido e termina com a exumação de restos mortais.
Inclui verificação de elementos instrutórios, análise do pedido, verificação dos requisitos legais aplicáveis, cálculo do valor da taxa devida e comprovativo do seu pagamento, abertura de urna e recolha de restos mortais e relato de ocorrências.

";"Abertura de caixão de metal ou de madeira#
Abertura de local de consumpção aeróbia#
Abertura de sepultura#
Exumação de cadáver por decisão judicial#

";;"Os pagamentos devem ser classificados em 350.30.001 – Cobrança de receitas e pagamento de despesas#
As escavações e tratamento científico das ossadas encontradas em contextos arqueológicos / antropológicos no âmbito de projetos de investigação arqueológica devem ser consideradas em 800.20.500 – Desenvolvimento experimental e aplicacional# ";"DL 138/2000#
DL 5/2000#
DL 411/98#
";;PE;S;AL#;"Trb#
";Iniciar#;"150.20.300#
300.30.008#
500.10.001#
600.10#
600.30#
800.10.603#
800.10.609#";"Avaliação de atividades#
Registo de documentos e informação#
Realização de auditorias#
Prevenção e investigação criminal#
Produção de prova e decisão judicial#
Realização de pericias#
Realização de técnicas de conservação artificial#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#
Cruzada#
Cruzada#
Cruzada#
Cruzada#";Elevada;S;15;;"Critério legal
Prazo prescricional do procedimento criminal ([DL 48/95], artº 118)
";Data de encerramento do processo;E;"Critério: Densidade informacional
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade)
PN 300.30.008 - Registo de documentos (registo dos casos tratados, intervenientes e etapas)";;
710.20.600;Depósito de urnas;"Guarda temporária de urnas com restos mortais em cemitérios e em outros espaços autorizados.
Inicia com o pedido e termina com o levantamento da urna.
Inclui verificação de elementos instrutórios, análise do pedido, cálculo da taxa devida e comprovativo do seu pagamento.

";"Depósito de ossadas a aguardar cremação#
Depósito de urnas em câmara frigoríficas#
Depósito de urnas provenientes de construções funerárias em obras#
";;Os pagamentos devem ser classificados em 350.30.001 – Cobrança de receitas e pagamento de despesas#;"DL 138/2000#
DL 109/2010#
DL 5/2000#
DL 411/98#
";;PE;N;"AL#
FA#
HH#
DGS#
DGACCP#
";Cns#;"Assessorar#
";"150.20.300#
300.30.008#
500.10.001#
710.20.001#
710.20.601#";"Avaliação de atividades#
Registo de documentos e informação#
Realização de auditorias#
Inumação e cremação de restos mortais# 
Trasladação de cadáveres e de ossadas#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#
Sucessão (antecessor)#
Sucessão (antecessor)#";"Média
";S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([DL 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração)
";Data de encerramento do processo;E;"Critério: Densidade informacional
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade)
PN 300.30.008 - Registo de documentos (registo dos casos tratados, intervenientes e etapas)";;
710.20.601;Trasladação de cadáveres e ossadas;"Transporte de cadáver ou de ossadas para local diferente daquele em que se encontram a fim de serem de novo inumados, cremados ou colocados em ossário.
Inicia com o pedido e termina com a entrega dos restos mortais.
Inclui verificação dos elementos instrutórios, verificação dos requisitos legais, cálculo da taxa devida e comprovativo do seu pagamento.

";;;Os pagamentos devem ser classificados em 350.30.001 – Cobrança de receitas e pagamento de despesas#;"DL 138/2000#
DL 5/2000#
DL 411/98#
";;PE;N;"AL#
HH#
FA#
DGS#
DGACCP#
";Cns#;"Assessorar#
";"150.20.300#
300.30.008#
500.10.001#
710.20.600#
800.10.609#";"Avaliação de atividades#
Registo de documentos e informação#
Realização de auditorias#
Depósito de urnas#
Realização de técnicas de conservação artificial#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#
Sucessão(sucessor)#
Cruzada#";Elevada;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([DL 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração)
";Data de encerramento do processo;E;"Critério: Densidade informacional
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade)
PN 300.30.008 - Registo de documentos (registo dos casos tratados, intervenientes e etapas)";;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
