Título da classe de terceiro nível / quarto nível;Código;Termo
Produção e comunicação de regras institucionais;100.10.600;Despacho de delegação de competências
Produção e comunicação de regras institucionais;100.10.600;Despacho interno
Produção e comunicação de regras institucionais;100.10.600;Despacho normativo 
Produção e comunicação de regras institucionais;100.10.600;Documento normativo, produção e comunicação de 
Produção e comunicação de regras institucionais;100.10.600;Estatutos, produção e comunicação de regras institucionais a aplicar em
Produção e comunicação de regras institucionais;100.10.600;Funcionamento, regras de 
Produção e comunicação de regras institucionais;100.10.600;Instrução, produção e comunicação de 
Produção e comunicação de regras institucionais;100.10.600;Manual de procedimentos 
Produção e comunicação de regras institucionais;100.10.600;NEP - Norma de Execução Permanente 
Produção e comunicação de regras institucionais;100.10.600;Nota de serviço 
Produção e comunicação de regras institucionais;100.10.600;Ordem de serviço
Produção e comunicação de regras institucionais;100.10.600;Plano de classificação, produção do 
Produção e comunicação de regras institucionais;100.10.600;Produção e comunicação de regras institucionais
Produção e comunicação de regras institucionais;100.10.600;Protocolo institucional
Produção e comunicação de regras institucionais;100.10.600;Referencial 
Produção e comunicação de regras institucionais;100.10.600;Regimento
Produção e comunicação de regras institucionais;100.10.600;Regulamento Interno
Produção e comunicação de regras institucionais;100.10.600;Tabela de seleção, submissão para aprovação de
Produção e comunicação de normas técnicas;100.10.800;Acordo de normalização NATO - North Atlantic Treaty Organization, STANAG - Standardization Agreement 
Produção e comunicação de normas técnicas;100.10.800;Documentação de segurança, produção e comunicação de
Produção e comunicação de normas técnicas;100.10.800;Instrução normativa
Produção e comunicação de normas técnicas;100.10.800;Manual de arquivo 
Produção e comunicação de normas técnicas;100.10.800;Norma técnica portuguesa 
Produção e comunicação de normas técnicas;100.10.800;NP - Norma Portuguesa
Produção e comunicação de normas técnicas;100.10.800;NP EN - Norma Portuguesa com versão Europeia
Produção e comunicação de normas técnicas;100.10.800;NP ISO - Norma Portuguesa com versão Internacional
Produção e comunicação de normas técnicas;100.10.800;Orientação técnica 
Produção e comunicação de normas técnicas;100.10.800;Produção e comunicação norma técnica
Produção e comunicação de normas técnicas;100.10.800;Segurança contra incêndios 
Produção e comunicação de normas técnicas;100.10.800;Sinalização rodoviária, produção e comunicação de
Produção e comunicação de normas técnicas;100.10.800;STANAG 
Produção de pareceres técnico-jurídicos de interpretação de diplomas jurídico-normativos;100.20.001;CADA - Comissão de Acesso aos Documentos Administrativos, parecer da
Produção de pareceres técnico-jurídicos de interpretação de diplomas jurídico-normativos;100.20.001;CNPD - Comissão Nacional de Proteção de Dados, parecer da
Produção de pareceres técnico-jurídicos de interpretação de diplomas jurídico-normativos;100.20.001;Comissão Nacional de Proteção de Dados 
Produção de pareceres técnico-jurídicos de interpretação de diplomas jurídico-normativos;100.20.001;Informação vinculativa 
Produção de pareceres técnico-jurídicos de interpretação de diplomas jurídico-normativos;100.20.001;IPV - Informação pautal vinculativa 
Produção de pareceres técnico-jurídicos de interpretação de diplomas jurídico-normativos;100.20.001;Parecer técnico-jurídico de interpretação de diploma jurídico-normativo
Produção e comunicação de instruções para aplicação de diplomas jurídico-normativos;100.20.200;CADA - Comissão de Acesso aos Documentos Administrativos, produção e comunicação de instrução pela
Produção e comunicação de instruções para aplicação de diplomas jurídico-normativos;100.20.200;Circular interpretativa
Produção e comunicação de instruções para aplicação de diplomas jurídico-normativos;100.20.200;CNPD - Comissão Nacional de Proteção de Dados 
Produção e comunicação de instruções para aplicação de diplomas jurídico-normativos;100.20.200;Instrução administrativa, produção ou comunicação de 
Produção e comunicação de instruções para aplicação de diplomas jurídico-normativos;100.20.200;Pauta de serviço, produção ou comunicação de 
Produção de orientações e pareceres para a interpretação da norma técnica;100.20.400;FAQ - Frequently Asked Question, produção de orientação ou parecer para 
Produção de orientações e pareceres para a interpretação da norma técnica;100.20.400;Interpretação da norma técnica, produção de orientação ou parecer para 
Produção de orientações e pareceres para a interpretação da norma técnica;100.20.400;Orientação para a Interpretação da norma técnica, produção de
Produção de orientações e pareceres para a interpretação da norma técnica;100.20.400;Parecer para a Interpretação da norma técnica, produção de
Produção e comunicação de decisões de uniformização de jurisprudência;100.20.600;Acórdão de uniformização de jurisprudência 
Produção e comunicação de decisões de uniformização de jurisprudência;100.20.600;Jurisprudência 
Produção e comunicação de decisões de uniformização de jurisprudência;100.20.600;Uniformização de jurisprudência, acórdão de
Definição de políticas globais;150.10.001;Definição de políticas globais
Definição de políticas globais;150.10.001;Documento previsional, definição de politica global
Definição de políticas globais;150.10.001;Estratégia municipal, definição de políticas globais de 
Definição de políticas globais;150.10.001;GOP - Grandes Opções do Plano
Definição de políticas globais;150.10.001;Plano plurianual de investimentos, definição de
Definição de políticas globais;150.10.001;Política global, definição de
Definição de políticas setoriais;150.10.100;Estratégia municipal para a cultura
Definição de políticas setoriais;150.10.100;Estratégia nacional de adaptação às alterações climáticas
Definição de políticas setoriais;150.10.100;Estratégia nacional de desenvolvimento sustentável
Definição de políticas setoriais;150.10.100;Estratégia nacional de educação para o desenvolvimento
Definição de políticas setoriais;150.10.100;Estratégia nacional de igualdade de género
Definição de políticas setoriais;150.10.100;Estratégia nacional de segurança rodoviária
Definição de políticas setoriais;150.10.100;Estratégia nacional para a conservação da natureza e biodiversidade
Definição de políticas setoriais;150.10.100;Estratégia nacional para a cultura
Definição de políticas setoriais;150.10.100;Estratégia temática sobre poluição atmosférica
"Definição de políticas setoriais
";150.10.100;Observatório de políticas públicas
Definição de políticas setoriais;150.10.100;Plano estratégico da aeronáutica
Definição de políticas setoriais;150.10.100;Plano estratégico de resíduos agrícolas
Definição de políticas setoriais;150.10.100;Plano estratégico de resíduos hospitalares
Definição de políticas setoriais;150.10.100;Plano estratégico de resíduos industriais
Definição de políticas setoriais;150.10.100;Plano estratégico de resíduos urbanos
Definição de políticas setoriais;150.10.100;Plano estratégico de transportes e infraestruturas
Definição de políticas setoriais;150.10.100;Plano estratégico do setor de energia
Definição de políticas setoriais;150.10.100;Plano estratégico municipal setorial
Definição de políticas setoriais;150.10.100;Plano nacional da água
Definição de políticas setoriais;150.10.100;Plano nacional de ação ambiente e saúde
Definição de políticas setoriais;150.10.100;Plano nacional de ação para a eficiência energética
Definição de políticas setoriais;150.10.100;Plano nacional de emergência de proteção civil de âmbito setorial
Definição de políticas setoriais;150.10.100;Plano nacional de gestão de riscos dos grupos sociais mais vulneráveis
Definição de políticas setoriais;150.10.100;Plano nacional de igualdade de género
Definição de políticas setoriais;150.10.100;Plano nacional de prevenção da criminalidade
Definição de políticas setoriais;150.10.100;Plano nacional de redução das emissões
Definição de políticas setoriais;150.10.100;Plano nacional de redução do ruído
Definição de políticas setoriais;150.10.100;Plano nacional de saúde
Definição de políticas setoriais;150.10.100;Plano nacional de segurança rodoviária
Definição de políticas setoriais;150.10.100;Plano nacional estratégico do turismo
Definição de políticas setoriais;150.10.100;Plano nacional para as alterações climáticas
Definição de políticas setoriais;150.10.100;Plano nacional para o uso eficiente da água
Definição de políticas setoriais;150.10.100;Plano setorial de baixo carbono
Definição de políticas setoriais;150.10.100;Política da responsabilidade por danos ambientais
Definição de políticas setoriais;150.10.100;Política de prevenção da contaminação e remediação de solos
Definição de políticas setoriais;150.10.100;Política de segurança dos cidadãos
Definição de políticas setoriais;150.10.100;Programa Nacional de Política de Ordenamento do Território
Definição de políticas setoriais;150.10.100;Programa nacional para as alterações climáticas
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional;150.10.200;Agenda 21 
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional;150.10.200;Elaboração de instrumento de promoção do desenvolvimento de âmbito nacional
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional;150.10.200;Instrumento de promoção do desenvolvimento de âmbito nacional, elaboração de
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional;150.10.200;Ordenamento territorial de âmbito nacional, elaboração de instrumento de
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional;150.10.200;Plano de ação para a eficiência energética
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional;150.10.200;Plano de ação para a qualidade do ar
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional;150.10.200;Plano de promoção da eficiência no consumo de energia elétrica
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional;150.10.200;Plano de redução do ruído
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional;150.10.200;Plano de segurança nacional
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional;150.10.200;Plano de segurança, elaboração de
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional;150.10.200;Plano nacional de ambiente e saúde
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional;150.10.200;Plano nacional de emergência de proteção civil 
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional;150.10.200;Plano nacional de redução de emissões
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional;150.10.200;Programa da orla costeira
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional;150.10.200;Programa de ordenamento de albufeiras de águas públicas
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional;150.10.200;Programa de ordenamento de áreas protegidas
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional;150.10.200;Programa de ordenamento de estuários
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional;150.10.200;Programa especial de ordenamento do território
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional;150.10.200;Sistema de preços de referência de medicamentos 
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito regional;150.10.300;Elaboração de instrumento de promoção do desenvolvimento de âmbito regional
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito regional;150.10.300;Instrumento de promoção do desenvolvimento de âmbito regional, elaboração de
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito regional;150.10.300;Ordenamento territorial de âmbito regional, elaboração de instrumento de
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito regional;150.10.300;Plano de bacia hidrográfica
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito regional;150.10.300;Plano de gestão de região hidrográfica
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito regional;150.10.300;Plano regional de ordenamento florestal
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito regional;150.10.300;PROT - Programa regional de ordenamento do território
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito municipal e intermunicipal;150.10.400;Área crítica de recuperação e reabilitação urbana
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito municipal e intermunicipal;150.10.400;Instrumento de promoção do desenvolvimento de âmbito municipal e intermunicipal, elaboração de
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito municipal e intermunicipal;150.10.400;Mapa de ruído
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito municipal e intermunicipal;150.10.400;Ordenamento territorial de âmbito municipal, elaboração de instrumento de
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito municipal e intermunicipal;150.10.400;PDM - Plano diretor municipal
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito municipal e intermunicipal;150.10.400;Plano de melhoria da qualidade do ar
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito municipal e intermunicipal;150.10.400;Plano de pormenor intermunicipal
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito regional;150.10.400;Plano de urbanização intermunicipal
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito municipal e intermunicipal;150.10.400;Plano diretor intermunicipal
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito municipal e intermunicipal ;150.10.400;Plano diretor intermunicipal de ordenamento do território
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito municipal e intermunicipal;150.10.400;Plano municipal de defesa da floresta contra incêndios
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito municipal e intermunicipal;150.10.400;Plano municipal de emergência
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito municipal e intermunicipal;150.10.400;Plano municipal de emergência e proteção civil
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito municipal e intermunicipal;150.10.400;PP - Plano de pormenor
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito municipal e intermunicipal;150.10.400;PU - Plano de urbanização
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito municipal e intermunicipal;150.10.400;Rede de serviços de emprego e formação profissional 
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito municipal e intermunicipal;150.10.400;Referenciação de rede de serviços
Elaboração de instrumentos de cooperação interinstitucional;150.10.500;Acordo interinstitucional de âmbito nacional
Elaboração de instrumentos de cooperação interinstitucional;150.10.500;Base Nacional de Dados Bibliográficos 
Elaboração de instrumentos de cooperação interinstitucional;150.10.500;Celebração de protocolo 
Elaboração de instrumentos de cooperação interinstitucional;150.10.500;Comissão de Acompanhamento de Planos Especiais 
Elaboração de instrumentos de cooperação interinstitucional;150.10.500;Comissão Permanente de Acompanhamento para a Responsabilidade Ambiental 
Elaboração de instrumentos de cooperação interinstitucional;150.10.500;Conselho Nacional, reunião de
Elaboração de instrumentos de cooperação interinstitucional;150.10.500;Convenção de colaboração 
Elaboração de instrumentos de cooperação interinstitucional;150.10.500;Geminação, acordo interinstitucional de
Elaboração de instrumentos de cooperação interinstitucional;150.10.500;Instrumento de cooperação interinstitucional, elaboração de
Elaboração de instrumentos de cooperação interinstitucional;150.10.500;Memorando de entendimento, elaboração de 
Elaboração de instrumentos de cooperação interinstitucional;150.10.500;Protocolo APETro - Associação Portuguesa de Empresas Petrolíferas
Elaboração de instrumentos de cooperação interinstitucional;150.10.500;Protocolo com associação
Elaboração de instrumentos de cooperação interinstitucional;150.10.500;Protocolo com Autarquia 
Elaboração de instrumentos de cooperação interinstitucional;150.10.500;Protocolo com ONG - Organização não governamental
Elaboração de instrumentos de cooperação interinstitucional;150.10.500;Protocolo de cooperação interinstitucional, elaboração de
Elaboração de instrumentos de cooperação interinstitucional;150.10.500;Protocolo de fiscalização com a GNR/SEPNA 
Elaboração de instrumentos de cooperação interinstitucional;150.10.500;Protocolo no âmbito do Projeto SARA.E 
Elaboração de instrumentos de cooperação interinstitucional;150.10.500;Rede nacional de bibliotecas 
Elaboração de instrumentos de cooperação interinstitucional;150.10.500;Rede Portuguesa de Cidades Saudáveis 
Elaboração de instrumentos de cooperação interinstitucional;150.10.500;Rede Territorial das Cidades Educadoras 
Elaboração de instrumentos de cooperação interinstitucional;150.10.500;Reunião do Conselho Nacional da Água 
Negociação e celebração de acordos de concertação social;150.10.501;Acordo de concertação social
Negociação e celebração de acordos de concertação social;150.10.501;Audiência de parceiros sociais
Negociação e celebração de acordos de concertação social;150.10.501;Compromisso de concertação social
Negociação e celebração de acordos de concertação social;150.10.501;Concertação social, negociação e celebração de acordos de
Negociação e celebração de acordos de concertação social;150.10.501;Diálogo social tripartido 
Avaliação de políticas e instrumentos de operacionalização;150.10.600;Avaliação de instrumento de operacionalização
Avaliação de políticas e instrumentos de operacionalização;150.10.600;Avaliação de políticas
Avaliação de políticas e instrumentos de operacionalização;150.10.600;Instrumento de operacionalização, avaliação de
Avaliação de políticas e instrumentos de operacionalização;150.10.600;Monitorização da estratégia de segurança rodoviária 
Avaliação de políticas e instrumentos de operacionalização;150.10.600;Ordenamento do território 
Avaliação de políticas e instrumentos de operacionalização;150.10.600;Políticas, avaliação de
Avaliação de políticas e instrumentos de operacionalização;150.10.600;Programa operacional 
Avaliação de políticas e instrumentos de operacionalização;150.10.600;Relatório anual de segurança interna 
Avaliação de políticas e instrumentos de operacionalização;150.10.600;Relatório da participação pública 
Avaliação de políticas e instrumentos de operacionalização;150.10.600;Relatório de acompanhamento 
Avaliação de políticas e instrumentos de operacionalização;150.10.600;Relatório de avaliação das emissões atmosféricas 
Avaliação de políticas e instrumentos de operacionalização;150.10.600;Relatório de avaliação de políticas e instrumentos de operacionalização
Avaliação de políticas e instrumentos de operacionalização;150.10.600;Relatório de execução de planos do município
Avaliação de políticas e instrumentos de operacionalização;150.10.600;Relatório de execução de políticas e instrumentos de operacionalização
Avaliação de políticas e instrumentos de operacionalização;150.10.600;Relatório de execução de programa operacional
Avaliação de políticas e instrumentos de operacionalização;150.10.600;Relatório do estado do ambiente
Avaliação de políticas e instrumentos de operacionalização;150.10.600;Relatório do plano de região hidrográfica
Avaliação de políticas e instrumentos de operacionalização;150.10.600;Relatório sobre o estado do ordenamento do território
Avaliação de políticas e instrumentos de operacionalização;150.10.600;Relatório sobre o estado do ordenamento do território local
Avaliação de políticas e instrumentos de operacionalização;150.10.600;Relatório sobre o estado do ordenamento do território regional
Caracterização de entidades para apoio à definição de políticas;150.10.601;Caracterização de entidade
Caracterização de entidades para apoio à definição de políticas;150.10.601;Entidade pública, caracterização de
Caracterização de entidades para apoio à definição de políticas;150.10.601;Registo de entidade pública
Caracterização de entidades para apoio à definição de políticas;150.10.601;SIOE - Sistema de informação da organização do Estado, inscrição de entidades públicas no 
Reunião de órgãos deliberativos: preparação;150.10.700.01;Assembleia Municipal, reunião da (preparação)
Reunião de órgãos deliberativos: preparação;150.10.700.01;Ata em minuta no âmbito de reunião de órgãos deliberativos (preparação)
Reunião de órgãos deliberativos: preparação;150.10.700.01;Conselho de Ministros (preparação)
Reunião de órgãos deliberativos: preparação;150.10.700.01;Debate específico (preparação)
Reunião de órgãos deliberativos: preparação;150.10.700.01;Debate para declaração política (preparação)
Reunião de órgãos deliberativos: preparação;150.10.700.01;Moção, reunião de órgão deliberativo para apresentação de (preparação)
Reunião de órgãos deliberativos: preparação;150.10.700.01;Ordem de trabalhos de reunião de órgãos deliberativos (preparação)
Reunião de órgãos deliberativos: preparação;150.10.700.01;Órgão deliberativo, reunião do (preparação)
Reunião de órgãos deliberativos: preparação;150.10.700.01;Reunião da Assembleia Geral (preparação)
Reunião de órgãos deliberativos: preparação;150.10.700.01;Reunião de órgão deliberativo (preparação)
Reunião de órgãos deliberativos: preparação;150.10.700.01;Reunião descentralizada de orgão deliberativo (preparação)
Reunião de órgãos deliberativos: preparação;150.10.700.01;Reunião ordinária de órgão deliberativo (preparação)
Reunião de órgãos deliberativos: preparação;150.10.700.01;Reunião pública de órgão deliberativo (preparação)
Reunião de órgãos deliberativos: preparação;150.10.700.01;Secretários de Estado, reunião de (preparação) 
Reunião de órgãos deliberativos: preparação;150.10.700.01;Sessão de Assembleia de Freguesia (preparação)
Reunião de órgãos deliberativos: preparação;150.10.700.01;Sessão de Assembleia Intermunicipal (preparação)
Reunião de órgãos deliberativos: preparação;150.10.700.01;Sessão de Assembleia Municipal (preparação)
Reunião de órgãos deliberativos: realização;150.10.700.02;Assembleia Municipal, reunião da (realização)
Reunião de órgãos deliberativos: realização;150.10.700.02;Ata da reunião de órgãos deliberativos (realização)
Reunião de órgãos deliberativos: realização;150.10.700.02;Conselho de Ministros (realização)
Reunião de órgãos deliberativos: realização;150.10.700.02;Debate específico (realização)
Reunião de órgãos deliberativos: realização;150.10.700.02;Debate sobre o estado da cidade (realização)
Reunião de órgãos deliberativos: realização;150.10.700.02;Debate temático (realização)
Reunião de órgãos deliberativos: realização;150.10.700.02;Órgão deliberativo, reunião do (realização)
Reunião de órgãos deliberativos: realização;150.10.700.02;Reunião da Assembleia Geral (realização)
Reunião de órgãos deliberativos: realização;150.10.700.02;Reunião de órgão deliberativo (realização)
Reunião de órgãos deliberativos: realização;150.10.700.02;Reunião extraordinária de órgão deliberativo (realização)
Reunião de órgãos deliberativos: realização;150.10.700.02;Reunião ordinária de órgão deliberativo (realização)
Reunião de órgãos deliberativos: realização;150.10.700.02;Reunião pública de órgão deliberativo (realização)
Reunião de órgãos deliberativos: realização;150.10.700.02;Secretários de Estado, reunião de (realização)
Reunião de órgãos deliberativos: realização;150.10.700.02;Sessão de Assembleia de Freguesia (realização)
Reunião de órgãos deliberativos: realização;150.10.700.02;Sessão de Assembleia Intermunicipal (realização)
Reunião de órgãos deliberativos: realização;150.10.700.02;Sessão de Assembleia Municipal (realização)
Reunião de órgãos executivos: preparação;150.10.701.01;Executivo, reunião de órgão (preparação)
Reunião de órgãos executivos: preparação;150.10.701.01;Ordem de trabalhos de reunião de órgão executivo (preparação)
Reunião de órgãos executivos: preparação;150.10.701.01;Órgão executivo, reunião de (preparação)
Reunião de órgãos executivos: preparação;150.10.701.01;Reunião da Mesa Administrativa (preparação) 
Reunião de órgãos executivos: preparação;150.10.701.01;Reunião de Câmara Municipal (preparação)
Reunião de órgãos executivos: preparação;150.10.701.01;Reunião de Conselho de Administração (preparação)
Reunião de órgãos executivos: preparação;150.10.701.01;Reunião de Conselho Executivo (preparação)
Reunião de órgãos executivos: preparação;150.10.701.01;Reunião de Junta de Freguesia (preparação)
Reunião de órgãos executivos: preparação;150.10.701.01;Reunião descentralizada de órgão executivo (preparação)
Reunião de órgãos executivos: preparação;150.10.701.01;Reunião extraordinária de órgão executivo (preparação)
Reunião de órgãos executivos: preparação;150.10.701.01;Reunião pública de órgão executivo (preparação)
Reunião de órgãos executivos: preparação;150.10.701.01;Voto de pesar, reunião de órgão executivo (preparação)
Reunião de órgãos executivos: realização;150.10.701.02;Ata da reunião de órgão executivo (realização)
Reunião de órgãos executivos: realização;150.10.701.02;Ata em minuta da reunião de órgão executivo (realização)
Reunião de órgãos executivos: realização;150.10.701.02;Executivo, reunião de órgão (realização)
Reunião de órgãos executivos: realização;150.10.701.02;Moção, reunião de órgão executivo (realização)
Reunião de órgãos executivos: realização;150.10.701.02;Órgão executivo, reunião de (realização)
Reunião de órgãos executivos: realização;150.10.701.02;Reunião da Mesa Administrativa (realização) 
Reunião de órgãos executivos: realização;150.10.701.02;Reunião de Câmara Municipal (realização)
Reunião de órgãos executivos: realização;150.10.701.02;Reunião de Conselho de Administração (realização)
Reunião de órgãos executivos: realização;150.10.701.02;Reunião de Conselho Executivo (realização)
Reunião de órgãos executivos: realização;150.10.701.02;Reunião de Junta de Freguesia (realização)
Reunião de órgãos executivos: realização;150.10.701.02;Reunião descentralizada de órgão executivo (realização)
Reunião de órgãos executivos: realização;150.10.701.02;Reunião extraordinária de órgão executivo (realização)
Reunião de órgãos executivos: realização;150.10.701.02;Reunião pública de órgão executivo (realização)
Reunião de órgãos executivos: realização;150.10.701.02;Voto de louvor, reunião de órgão deliberativo (realização)
Reunião de órgãos executivos: realização;150.10.701.02;Voto de pesar, reunião de órgão deliberativo (realização)
Reunião de órgãos e estruturas operacionais e de aconselhamento: preparação;150.10.702.01;Comissão de acompanhamento (preparação)
Reunião de órgãos e estruturas operacionais e de aconselhamento: preparação;150.10.702.01;Comissão permanente, reunião da (preparação) 
Reunião de órgãos e estruturas operacionais e de aconselhamento: preparação;150.10.702.01;Conselho consultivo, reunião do (preparação) 
Reunião de órgãos e estruturas operacionais e de aconselhamento: preparação;150.10.702.01;Estrutura operacional de aconselhamento, reunião de (preparação)
Reunião de órgãos e estruturas operacionais e de aconselhamento: preparação;150.10.702.01;Ordem de trabalhos da reunião de estrutura operacional e de aconselhamento (preparação)
Reunião de órgãos e estruturas operacionais e de aconselhamento: preparação;150.10.702.01;Órgão e estrutura operacional de aconselhamento, reunião de (preparação)
Reunião de órgãos e estruturas operacionais e de aconselhamento: preparação;150.10.702.01;Reunião de grupo de trabalho (preparação)
Reunião de órgãos e estruturas operacionais e de aconselhamento: preparação;150.10.702.01;Reunião de grupo setorial (preparação)
Reunião de órgãos e estruturas operacionais e de aconselhamento: preparação;150.10.702.01;Reunião descentralizada de órgão de aconselhamento (preparação)
Reunião de órgãos e estruturas operacionais e de aconselhamento: preparação;150.10.702.01;Reunião setorial (preparação) 
