Código;Título;Descrição;Notas de aplicação;Exemplos NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400.10.037;Registo nacional de dador de sangue;"Inscrição ou atualização de dados de identificação da condição de dador benévolo de sangue.
Inicia com a manifestação de vontade do cidadão e termina com o registo de dádivas.
Incluí a atribuição do cartão de dador benévolo de sangue processado pela entidade nacional competente.
";;;;"Portaria 124-A/2013#
DL 267/2007#
DL 185/2015#";;PE;N;IPST#;"ACES#
HH#
CS#";"Comunicar#
Comunicar#
Comunicar#";"700.20.200#
700.20.300#
700.20.400#
700.20.403#";"Prestação de cuidados de saúde personalizados#
Prestação de cuidados de emergência médica#
Internamento de doentes agudos e crónicos#
Atendimentos urgentes#";"Cruzada#
Cruzada#
Cruzada#
Cruzada#";Elevada;N;30;;"Critério legal:
[DL 185/2015]  – Transpõe a [Diretiva (UE) 110/2014], da Comissão, de 17 de dezembro de 2014
Artigo 14.º, Rastreabilidade
7 — Os dados necessários para assegurar a rastreabilidade
integral, previstos no anexo IX ao presente decreto -lei,
que dele faz parte integrante, são conservados pelo prazo
mínimo de 30 anos.
";"Data do encerramento do registo
";E;"Critério legal:
[DL 267/2007], artº 26, Proteção de dados e confidencialidade
[Lei 67/98], artº 5, nº 1 ""Os dados pessoais devem ser: (…) e) Conservados de forma a permitir a identificação dos seus titulares apenas durante o período necessário para a prossecução das finalidades da recolha ou do tratamento posterior. """;Podem doar sangue todas as pessoas com bom estado de saúde, com hábitos de vida saudáveis, peso igual ou superior a 50 kg e idade compreendida entre os 18 e 65 anos.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400.10.038;Registo nacional de não dador de órgãos;"Inscrição ou atualização de dados de identificação de cidadão nacional, apátrida ou estrangeiro residente em Portugal, que se opõe à dádiva de órgãos.
Inicia com o preenchimento online do formulário e termina com a inserção dos dados do cidadão no  registo  nacional.
Inclui a emissão de cartão individual de não dador.
";;;;DL 244/94;;PE;N;SPMS#;"ACES#
HH#
CS#";"Executar#
Executar#
Executar#";"700.20.200#
700.20.300#
700.20.400#
700.20.403#";"Prestação de cuidados de saúde personalizados#
Prestação de cuidados de emergência médica#
Internamento de doentes agudos e crónicos#
Atendimentos urgentes#";"Cruzada#
Cruzada#
Cruzada#
Cruzada#";Reduzida;S;10;;"Critério legal:
[DL 244/94],   artº 9, Conservação dos dados
""Os dados pessoais são conservados durante os 10 anos subsequentes ao falecimento do titular do registo"".";Data do falecimento do titular do registo;E;"Critério legal:
[DL 244/94], artº 9, Conservação dos dados
""Os dados pessoais são conservados durante os 10 anos subsequentes ao falecimento do titular do registo"".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400.10.039;Registo nacional do testamento vital;"Inscrição ou atualização do registo de diretivas antecipadas de vontade e procurações de cuidados de saúde de cidadão nacional, apátrida ou estrangeiro residente em Portugal.
Inicia com  o preenchimento do modelo aprovado legalmente e termina com a informação ao outorgante e ao seu procurador de cuidados de saúde da conclusão do processo de registo da diretiva.
Inclui a entrega no agrupamento de centros de saúde, ou na unidade local de saúde, da área de residência do cidadão, validação dos dados e verificação da sua conformidade com os requisitos constantes na lei e aditamentos ou correções.
";;;;"Portaria 104/2014#
Portaria 96/2014#
Lei 25/2012#";;PE;S;SPMS#;"ACES#
CS#";"Comunicar#
Iniciar (explicação: recolhem formulários em papel;verifica documentação identificação; remete formulário para ser inserido na BD)#";"700.20.200#
700.20.300#
700.20.400#
700.20.403#";"Prestação de cuidados de saúde personalizados#
Prestação de cuidados de emergência médica#
Internamento de doentes agudos e crónicos#
Atendimentos urgentes#";"Cruzada#
Cruzada#
Cruzada#
Cruzada#";Reduzida;S;5;;"Critério legal:
[Portaria 96/2014], artº 7.º, Validade e caducidade do registo ""1 - O registo no RENTEV é válido por cinco anos,
correspondente ao prazo de eficácia das diretivas antecipadas de vontade e de procurações de cuidados de saúde.""";Data de encerramento do processo;E;"Critério legal:
[Lei 67/98], artº 5, nº 1 ""Os dados pessoais devem ser: (…) e) Conservados de forma a permitir a identificação dos seus titulares apenas durante o período necessário para a prossecução das finalidades da recolha ou do tratamento posterior. """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400.10.040;Registo nacional de utentes;"Identificação dos utentes do Serviço Nacional de Saúde.
Inicia com o pedido do utente ou notícia do nascimento,  e termina com a atribuição do número de utente.
Inclui o registo dos seus elementos de identificação, do médico de família e a Unidade de Saúde em que está registado, de  informação sobre a entidade financeira responsável pelo pagamento dos cuidados de saúde do utente, dos benefícios financeiros especiais que tenha direito. ";;;O registo dos utentes de um serviço de saúde do trabalho, serviço de saúde de entidades privadas devem ser considerados em 700.10.004 – Registo de utilizadores de unidades de saúde#;DL 198/95#;"#
Autorização da CNPD 2674/2012#";PE;S;"ACSS#
SPMS#";"HH#
CS#
ARS";"Iniciar#
Iniciar#
Apreciar#";"450.30.504#
400.10.041#
700.10.001#
700.10.002#
700.10.003#
700.10.004#
700.10.005#
700.20.001#
700.20.101#
700.20.200#
700.20.300#
700.20.402#
700.20.403#
700.20.404#
700.20.405#
700.20.406#
700.20.407#
700.20.500#
700.20.600#






";"Certificação de óbito#
Identificação civil#
Referenciação de utentes para consultas#
Referenciação para a rede de cuidados continuados integrados#
Referenciação de utentes para cirurgias#
Registo de utilizadores de unidades de saúde#
Registos de utilizadores expostos a agentes biológicos perigosos#
Imunização#
Realização de ações de promoção da saúde#
Prestação de cuidados de saúde personalizados#
Prestação de cuidados de emergência médica#
Realização de consultas externas#
Atendimentos urgentes#
Realização de cuidados de saúde de ambulatório médico#
Prestação de assistência médica no estrangeiro#
Apoio ao diagnóstico e terapêutica#
Prestação de cuidados de convalescença#
Prestação de cuidados de reabilitação#
Prestação de cuidados paliativos#";"Complementar#
Complementar#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#";Elevada;S;5;;"Critério legal:
[Autorização CNPD 2674/2012]
""Após o falecimento do utente os dados pessoais (…) são conservados durante 5 anos para eventuais efeitos legais""
";Data do falecimento do utente;C;"Densidade informacional:
A informação não é recuperável noutro PN de conservação permanente.
Sintese de PN da classe 700.
Complementaridade informacional com o
PN 400.10.041 - Identificação civil.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400.10.041;Identificação civil;"Registo dos dados pessoais individualizadores de cada cidadão.
Inicia com o pedido do interessado e termina com a entrega do Cartão de Cidadão.
Inclui a validação dos dados biográficos declarados pelo requerente, com os dados constantes no assento de nascimento, a confirmação da morada, a medição da altura do cidadão, a recolha da assinatura e dos dados biométricos do cidadão, que após validação são integrados no processo de registo, a atribuição ou validação do Número de Identificação Civil (NIC), remessa dos dados para a Imprensa Nacional-Casa da Moeda, para a emissão automática do Cartão de Cidadão, a entrega com verificação de legitimidade para o levantamento.
Inclui, ainda, a organização, manutenção e atualização da Base de Dados de Identificação Civil (BDIC) e da Base de Dados das Impressões Digitais (AFIS).
";"Pedido inicial de Cartão de Cidadão#
Renovação de cartão do cidadão#
Não entrega do cartão do cidadão#
Cancelamento do cartão de cidadão#
Alteração de morada do cidadão#
";;"O  registo de pessoas singulares, em que se inclui o registo de nascimento, o registo de casamento, o registo de óbito deve ser considerado em 400.10.001 – Registo civil#
O apuramento emolumentar devido pela prática do ato por parte da Administração, bem como a cobrança coerciva da conta do ato (certificado de conta), não voluntariamente liquidada deve ser considerada em 350.30.001 – Cobrança de receitas e pagamento de despesas#
Os pedidos de emissão de 2.ª via dos códigos pessoais de ativação e utilização do cartão de cidadão e os pedidos de certificado de autenticação devem ser considerados em 450.10.648 – Reconhecimento das  características e origem de bens, produtos e serviços#
A emissão de cópias não certificadas de instrumentos públicos, de registos ou de outros documentos arquivados deve ser considerada em 450.30.503 – Confirmação, conferência ou emissão de cópias não certificadas#
A emissão de certidões de instrumentos públicos, de registos ou de outros documentos arquivados deve ser considerada em 450.30.003 – Emissão de certidões#
A instauração e instrução dos processos de contraordenação, no âmbito da Identificação Civil deve ser considerado em 500.30.001 – Processamento de contraordenações#
A impugnação hierárquica das decisões dos conservadores, deve ser considerada em 500.40.500 – Processamento de recursos hierárquicos#
A impugnação contenciosa das decisões dos conservadores deve ser considerada em 600.30.751 – Recurso das decisões das Autoridades Administrativas#
Os pedidos de informação que não se integram em nenhum processo específico devem considerados em 900.20.604 – Processamento de pedidos de informação e de esclarecimento#";"Portaria 203/2007#
Portaria 202/2007#
Lei 7/2007#
Lei 33/99#";;PE;N;IRN#;;;"350.30.001#
400.10.001#
400.10.025#
400.10.026#
400.10.027#
400.10.040#
400.10.048#
";"Cobrança de receitas e pagamento de despesas#
Registo civil#
Aquisição de nacionalidade#
Atribuição e registo de estatuto de igualdade#
Emissão de passaportes#
Registo nacional de utentes#
Registo de perfis com fins de identificação criminal e civil#
";"Cruzada#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Complementar#
Sucessão (antecessor)#
";Elevada;S;20;;"Critério legal:
[Lei 33/99], artº 31, Conservação dos dados pessoais
""2 - Os dados pessoais podem ser conservados em ficheiro histórico durante 20 anos a partir da data do óbito do seu titular.""
[Decreto Regulamentar 25/2004], art.º 17.º n.º 6 ""A entidade certificadora mantém o registo dos certificados emitidos, desde a data da respetiva emissão e durante o seu período de validade, e conserva-os por um período não inferior a 20 anos a partir da data em que termina aquele prazo"".";"Data de encerramento do processo

";C;"Densidade informacional:
A informação não é recuperável noutro PN de conservação permanente, nomeadamente a relativa às impressões digitais e fotografia.
Complementaridade informacional com
PN 400.10.001 Registo de contribuintes;
PN 400.10.011 Registo de trabalhadores no sistema da Segurança Social;
PN 400.10.040 Registo nacional de utentes.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400.10.042;Identificação de estrangeiros;"Registo nacional de dados de cidadãos estrangeiros para efeitos de gestão do controlo da entrada, permanência e saída de cidadãos estrangeiros, prevenção de perigo ou repressão de infração penal.
Inicia com a inscrição no registo e termina com a notícia da saída do estrangeiro ou de aquisição de nacionalidade.
Inclui a atualização da situação.";;;;"Lei 27/2008#
Lei 26/2014#
Lei 23/2007#
Lei 29/2012#
Portaria 415/2008#
Portaria 287/2007#
Lei 37/2006#
DL 252/2000#";"Lei 27/2008, alterada pela lei 26/2014#
Lei 23/2007, alterada pela Lei 29/2012 (art 212 - Sistema Integrado de Informação SEF)#
Portaria 415/2008 (SIBA)#
Portaria 287/2007 (SIBA)#
Lei 37/2006#
DL 252/2000 - Estrutura orgânica e atribuições do SEF#";PE;S;SEF#;AL#;Iniciar (Registo de Cidadãos Nacionais de Países da União Europeia)#;400.10.029#;Emissão de título de residente#;Síntese (sintetiza)#;Elevada;S;10;;"Critério legal:
[Lei 23/2007], artº 212, Identificação de estrangeiros
""5 — Os dados pessoais são conservados pelo período
estritamente necessário à finalidade que fundamentou o
registo no SII/SEF, e de acordo com tal finalidade, sendo
o registo objeto de verificação da necessidade de conservação,
10 anos após a última emissão dos documentos
respeitantes ao seu titular""";"Data da última emissão dos documentos
respeitantes ao seu titular";C;"Critério legal
Garante de direitos
A eliminação dos registos de dados pessoais pode implicar que cidadãos estrangeiros e seus descendentes não consigam prova irrefutável da permanência legal em território nacional.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"400.10.043
";Identificação criminal;"Recolha, o tratamento e conservação de extratos de decisões judiciais e demais elementos a elas respeitantes sujeitos a inscrição no registo criminal, no registo de contumazes, no registo de identificação criminal de condenados pela prática de crimes contra a autodeterminação sexual e a liberdade sexual de menor e no registo de decisões estrangeiras, promovendo a identificação dos titulares dessa informação, a fim de permitir o conhecimento dos antecedentes criminais das pessoas condenadas e das decisões de contumácia vigentes.
Inicia com a comunicação do tribunal, através de boletim do registo criminal ou de contumácia, aos serviços competentes e termina com o cancelamento definitivo do registo criminal ou de contumácia.
Inclui a constituição e gestão do ficheiro dactiloscópico (impressões digitais dos arguidos, registadas no boletim de registo criminal) e a emissão do recibo de receção dos boletins. Inclui, ainda, a eventual devolução dos boletins incompletos ou incorretos e a análise e decisão sobre reclamações respeitantes ao acesso à informação em matéria de identificação criminal e seu conteúdo.
";Documentação que contenha informação de identificação criminal ou contumaz comprovativa de alterações da informação em registo ou da respetiva veracidade#;;A emissão de certificado de registo de criminal ou de contumaz deve ser considerada em 450.30.003 – Emissão de certidões#;"DL 171/2015#
Lei 103/205#
Lei 37/2015#";;PE;N;IRN#;;;"600.30#
600.30.001#
600.30.002#
600.30.050#
600.30.051#
600.30.052#
600.30.101#";"Produção de prova e decisão judicial#
Comum com intervenção de tribunal coletivo ou de júri#
Comum com intervenção de tribunal singular#
Abreviado#
Sumários#
Sumaríssimos#
Internamento compulsivo#";"Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#";Elevada;S;3;;"Critério legal:
[Lei 37/2015], artº 11, n.º 6 ""As decisões cuja vigência haja cessado são mantidas em ficheiro informático próprio durante um período máximo de 3 anos, o qual apenas pode ser acedido pelos serviços de identificação criminal para efeito de reposição de registo indevidamente cancelado ou retirado, e findo aquele prazo máximo são canceladas de forma irrevogável.""";"Data da cessação da vigência das decisões.

Nota: As decisões que constem do registo especial de decisões estrangeiras mantêm-se vigentes neste registo em conformidade com as comunicações recebidas do Estado membro da condenação e até ser recebida a informação da respetiva supressão ou cancelamento no registo criminal desse Estado membro (nº 1, do artº 27º, da [Lei 37/2015]).";E;"Critério legal:
[Lei 37/2015], art. 11.º, n.º 6 ""As decisões cuja vigência haja cessado são mantidas em ficheiro informático próprio durante um período máximo de 3 anos, o qual apenas pode ser acedido pelos serviços de identificação criminal para efeito de reposição de registo indevidamente cancelado ou retirado, e findo aquele prazo máximo são canceladas de forma irrevogável.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"400.10.044
";Registo de medidas tutelares educativas;"Registo de medidas tutelares aplicadas pelos Tribunais competentes aos menores com idade compreendida entre os 12 e os 16 anos pela prática de facto qualificado pela lei como crime, de forma a possibilitar o seu conhecimento.
Inicia com a comunicação do tribunal, através do boletim de registo de medidas tutelares educativas, aos serviços responsáveis pelo registo da decisão criminal condenatória, e termina com o cancelamento definitivo do registo.
Inclui a emissão do recibo de receção dos boletins. Pode ainda incluir a devolução dos boletins incompletos ou incorretos, e a análise e decisão sobre reclamações respeitantes ao acesso à informação em matéria de identificação criminal e seu conteúdo.
";Documentação que contenha informação de identificação criminal ou contumaz comprovativa de alterações da informação em registo ou da respetiva veracidade#;;A emissão de certificado de registo de medidas tutelares educativas deve ser considerada em 450.30.003 – Emissão de certidões#;"DL 171/2015#
Lei 37/2015#
Lei 166/99#
Lei 4/2015#";"DL 171/2015#
Lei 37/2015#
Lei 166/99, alterada pela Lei 4/2015#";PE;S;DGAJ#;Trb#;Iniciar#;600.30.358#;Ação tutelar educativa#;Sucessão (antecessor)#;Média;S;2;;"Critério legal:
[Lei 166/99], artº 220
Cancelamento
1 - A informação constante do registo é cancelada no ficheiro informático ou retirada do ficheiro manual decorridos dois anos a contar da data de cessação ou extinção da medida tutelar educativa.
2 - A informação em registo é cancelada na data em que o respetivo titular completar 21 anos.";Data de cessação ou extinção da medida tutelar educativa  ;E;"Critério Legal
[DL 171/2015], artº 37
Conservação e destruição de informação e de documentos
1 - A informação cancelada dos registos que não possa ser mantida em ficheiro, nos termos da [Lei 37/2015], de 5 de maio, e da Lei Tutelar Educativa, aprovada pela [Lei 166/99], de 14 de setembro, alterada pela [Lei 4/2015], de 15 de janeiro, é eliminada, de forma segura e com impossibilidade de reconstituição.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400.10.045;Registo de Pessoas Coletivas Religiosas;"Registo e identificação de entidades religiosas, designadamente das igrejas e demais comunidades religiosas de âmbito nacional, regional ou local ou organizações representativas dos crentes residentes em território nacional.
Inicia com o pedido de certificado de firma ou denominação, e termina com a inscrição de constituição no Registo de Pessoas Coletivas Religiosas (RPCR) e consequente inscrição automática no Ficheiro Central de Pessoas Coletivas (FCPC).
Inclui a instrução do processo, apreciação e qualificação do ato, podendo, caso se suscitem dúvidas de admissibilidade, o RNPC solicitar parecer à Comissão da Liberdade Religiosa.
";"Identificação da pessoa coletiva religiosa não ereta canonicamente#
Inscrição de constituição#
Registo de igrejas e demais comunidades religiosas de âmbito nacional#
Registo de organizações representativas dos crentes residentes em território nacional#
Registo de igrejas e demais comunidades religiosas de âmbito regional ou local#
Registo dos institutos de vida consagrada, federações ou as associações, fundados ou reconhecidos para a prossecução de fins religiosos#
";;"O apuramento emolumentar devido pela prática do ato por parte da Administração, bem como a cobrança coerciva da conta do ato (certificado de conta), não voluntariamente liquidada deve ser considerada em 350.30.001 – Cobrança de receitas e pagamento de despesas#
O registo de pessoas jurídicas canónicas deve ser considerado em 400.10.046 – Registo de Pessoas Jurídicas Canónicas# 
A emissão de cópias não certificadas de instrumentos públicos, de registos ou de outros documentos arquivados deve ser considerada em 450.30.503 – Confirmação, conferência ou emissão de cópias não certificadas#
A emissão de certidões de instrumentos públicos, de registos ou de outros documentos arquivados deve ser considerada em 450.30.003 – Emissão de certidões#
A impugnação hierárquica das decisões dos conservadores, deve ser considerada em 500.40.500 – Processamento de recursos hierárquicos#
A impugnação contenciosa das decisões dos conservadores deve ser considerada em 600.30.751 – Recurso das decisões das Autoridades Administrativas#
Os pedidos de informação que não se integram em nenhum processo específico devem considerados em 900.20.604 – Processamento de pedidos de informação e de esclarecimento#";"DL 134/2003#
Lei 16/2001#";;PE;N;IRN#;GMG#;Decidir;400.10.009#;Registo Nacional de Pessoas Coletivas#;Sucessão (antecessor)#;Média;S;1;;"Critério Legal:
Por analogia com o RNPC
[DL 129/98], artº 27, Conservação dos dados
""Os dados pessoais podem ser conservados no FCPC:
a) Até um ano após a inscrição da cessação da actividade de empresário individual;
b) Até um ano após a caducidade do certificado de admissibilidade ou, no caso de recurso hierárquico ou impugnação judicial, até um ano após o trânsito em julgado da decisão final"".";"Data de cessação da atividade, dissolução ou extinção da entidade.
";C;"Densidade informacional:
A informação não é recuperável em nenhum outro PN.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400.10.046;Registo de Pessoas Jurídicas Canónicas;"Registo e identificação das entidades canónicas, designadamente aos institutos de vida consagrada, sociedade de vida apostólica e restantes pessoas jurídicas canónicas reconhecidas como tal pela autoridade eclesiástica competente e à publicitação da sua situação jurídica.
Inicia com o pedido de certificado de firma ou denominação, e termina com a inscrição no RPJC e consequente inscrição automática no FCPC.
Inclui a instrução do processo, apreciação e qualificação do ato e termina com o registo de inscrição ou recusa no RPJC.
Inclui a formalização por escrito do processo, pela autoridade eclesiástica competente.
O pedido é instruído com documento autêntico que comprove a constituição da pessoa jurídica canónica, a denominação, a sede, os fins, os órgãos representativos e suas respetivas competências, bem como a indicação da autoridade eclesiástica proponente.  
";"Identificação da pessoa coletiva religiosa ereta canonicamente#
Inscrição de constituição#
Registo dos Institutos#
Institutos de Vida Consagrada, Sociedades de Vida Apostólica e as restantes Pessoas Jurídicas Canónicas reconhecidas pela autoridade eclesiástica competente#";;"O apuramento emolumentar devido pela prática do ato por parte da Administração, bem como a cobrança coerciva da conta do ato (certificado de conta), não voluntariamente liquidada deve ser considerada em 350.30.001 – Cobrança de receitas e pagamento de despesas#
A emissão de cópias não certificadas de instrumentos públicos, de registos ou de outros documentos arquivados deve ser considerada em 450.30.503 – Confirmação, conferência ou emissão de cópias não certificadas#
A emissão de certidões de instrumentos públicos, de registos ou de outros documentos arquivados deve ser considerada em 450.30.003 – Emissão de certidões#
A impugnação hierárquica das decisões dos conservadores, deve ser considerada em 500.40.500 – Processamento de recursos hierárquicos#
A impugnação contenciosa das decisões dos conservadores deve ser considerada em 600.30.751 – Recurso das decisões das Autoridades Administrativas#
Os pedidos de informação que não se integram em nenhum processo específico devem considerados em 900.20.604 – Processamento de pedidos de informação e de esclarecimento#";"DL 19/2015#
DL 129/98#";Concordata 2004#;PE;N;IRN#;GMG#;Decidir;400.10.009#;Registo Nacional de Pessoas Coletivas#;Sucessão (antecessor)#;Reduzida;S;1;;"Critério Legal:
[DL 19/2015], artº 16.º, Proteção e comunicação de dados 1 — Sem prejuízo do disposto nos números seguintes, os dados constantes do RPJC ficam sujeitos, com as necessárias adaptações, aos artigos 21.º a 31.º do regime do RNPC""

[DL 129/98], artº 27, Conservação dos dados
""Os dados pessoais podem ser conservados no FCPC:
a) Até um ano após a inscrição da cessação da actividade de empresário individual;
b) Até um ano após a caducidade do certificado de admissibilidade ou, no caso de recurso hierárquico ou impugnação judicial, até um ano após o trânsito em julgado da decisão final"".
";"Data de cessação da atividade, dissolução ou extinção da entidade.
";C;"Densidade informacional:
A informação não é recuperável em nenhum outro PN.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
