Código;Título;Descrição;Notas de aplicação;Exemplos de NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;
200.10.400;Definição conjunta das opções estratégicas da União Europeia ;"Preparação e apresentação da posição de Portugal no âmbito das diretrizes políticas gerais da União Europeia.
Inicia com a proposta e termina com a aprovação.
Inclui os contributos setoriais, demonstrativos da posição assumida por Portugal e do processo negocial preparatório das reuniões. ";Coordenação da participação portuguesa no Conselho Europeu#;;;"Decreto do Presidente da República 31/2008#
DL 121/2011#";;PE;S;DGAE#;ACE#;"Apreciar#
Assessorar#
Decidir#";;;;;;;;;;;;;
200.10.501;Definição e coordenação das políticas setoriais pelos Estados Membros da União Europeia;"Preparação e apresentação da posição de Portugal no âmbito das negociações desenvolvidas nos conselhos de ministros da União Europeia.
Inicia com a proposta e termina com a produção de uma versão final.
Inclui a compilação de contributos demonstrativos da posição assumida por Portugal e do processo negocial empreendido nos vários grupos de trabalho preparatórios das reuniões.";Coordenação da participação portuguesa nas  diversas formações do Conselho da União Europeia#;;;"Decreto do Presidente da República 31/2008#
DL 121/2011#";;PE;S;DGAE#;ACE#;"Apreciar#
Assessorar#
Decidir#";;;;;;;;;;;;;
200.10.600;"Preparação e implementação de políticas e atos da União Europeia
";"Processo legislativo ordinário ou especial, de iniciativa da Comissão Europeia.
Inicia com uma proposta da Comissão e termina com a sua rejeição (e consequente não adoção) ou com a  assinatura conjunta pelos presidentes e secretários gerais do Parlamento e do Conselho.
Inclui a complilação de contributos para a preparação das reuniões, provenientes de embaixadas e de ministérios setoriais, documentos técnicos, apontamentos, pontos de situação, notas e memorandos e expediente e relatos da COREPER.

";"Reuniões de diretores políticos e de diretores da política de segurança#
Atos delegados, no âmbito do trabalho desenvolvido pelos grupos de peritos#
Atos de execução, no âmbito do trabalho desenvolvido pelos Comités#";;;"Decreto do Presidente da República 31/2008#
DL 121/2011#";;PE;S;DGAE#;ACE#;"Apreciar#
Assessorar#
Decidir#";;;;;;;;;;;;;
200.10.700;Preparação e negociação do Quadro Plurianual e dos instrumentos financeiros da União Europeia;"Coordenação da posição nacional na negociação de atos legislativos e outras iniciativas da UE, bem como acompanhamento das decisões da Comissão Europeia na área do Quadro Plurianual e dos instrumentos financeiros da UE.
Inclui a complilação dos contributos de ministérios setoriais, dos contributos de e para as Embaixadas, documentos técnicos, apontamentos, pontos de situação, notas, memorandos, relatos, informações, expediente e qualquer outra documentação de apoio considerada útil à tomada de decisão.";"Definição de fundos europeus estruturais e de investimento#
Definição de instrumentos e programas de apoio dirigidos a Estados-Membros# 
Definição de Instrumentos de Cooperação Externa (ICE) destinados a países terceiros#
";"Definição do Quadro Financeiro Plurianual (QFP)#
Fundo Europeu Agrícola de Desenvolvimento Rural (FEADER)#
Fundo Social Europeu (FSE)#
Fundo Europeu dos Assuntos Marítimos e das Pescas (FEAMP)#
Fundo Europeu de Desenvolvimento Regional (FEDER)# Fundo de Coesão (FC)#";;"Decreto do Presidente da República 31/2008#
DL 121/2011#";;PE;S;DGAE#;ACE#;"Apreciar#
Assessorar#
Decidir#";;;;;;;;;;;;;
200.10.800;Celebração de acordos e outros atos internacionais;"Concretização de ações que traduzem a convergência das vontades das partes num acordo ou contrato para a realização de um  programa, projeto ou ação comum com entidades internacionais, estados-membros da União Europeia ou  de países terceiros.
Inicia com a proposta e termina com a assinatura que formaliza o acordo.
Inclui negociação e elaboração do protocolo ou acordo.";"Acordos no âmbito do desenvolvimento de projetos ou ações#
Acordos no âmbito do financiamento#
Acordos expressos apenas por troca de notas#
Acordos em que Portugal ou as instâncias setoriais nacionais são parte#
Acordos entre regiões transfronteiriças, transnacionais e interregionais#";;"A aprovação de convenções internacionais (tratados e acordos aprovados por Resolução da Assembleia da República ou por Decreto do Governo), respetiva ratificação ou assinatura pelo Presidente da República, referenda, publicação, avisos de depósito dos instrumentos de vinculação e demais avisos a eles respeitantes devem ser considerados em 100.10.002 – Aprovação e comunicação de convenções internacionais#
Os acordos e protocolos realizados com entidades nacionais devem ser considerados em 150.10.500 – Elaboração de instrumentos de cooperação interinstitucional#
Os projetos decorrentes dos acordos, protocolos e outros atos internacionais devem ser considerados em 200.30.302 – Execução de projetos de cooperação e de ajuda pública ao desenvolvimento#";"Lei 11/2003#
RCM 43/1999#
Resolução da Assembleia da República 28/90#";;PC;S;AP#;AP#;Decidir#;"100.10.002#
150.10.100#
150.10.700#
150.10.701#
200.10.001#

200.10.002#
200.20.001#
200.20.002#
200.30.001#
200.30.301#
200.30.302#
550.30.005#
550.30.006#
550.30.200#
550.30.600#
550.30.601#
800.10.301#
800.10.302#
850.10.002#
850.10.003#
850.10.005#
900.20.601#";"Aprovação e comunicação de convenções internacionais#
Definição de políticas setoriais#
Reunião de órgãos deliberativos#
Reunião de órgãos executivos#
Definição e acompanhamento de posições nacionais no âmbito das relações bilaterais e multilaterais entre países#
Representação e participação em organizações internacionais#
Acompanhamento da situação internacional#
Organização de missões internacionais#
Coordenação e execução de ações de ajuda humanitária e de emergência#
Conceção de programas de cooperação e ajuda pública ao desenvolvimento#
Execução de projetos de cooperação para o desenvolvimento#
Organização de cerimónias de tomada de posse e assinatura de documentos#
Realização de exercícios militares#
Defesa do território das nações aliadas#
Participação em operações de resposta a crises#
Participação em missões de apoio à paz#
Monitorização de índices da qualidade ambiental#
Monitorização de recursos naturais, espécies e paisagens#
Formalização de candidaturas e acompanhamento de apoios regulares#
Formalização de candidaturas e acompanhamento de apoios pontuais#
Formalização de candidaturas a ajudas diretas#
Organização de cerimónias de tomada de posse e assinatura de documentos#";"Sucessão (antecessor)#
Sucessão (sucessor)#
Cruzada#
Cruzada#
Sucessão (antecessor)#

Cruzada#
Cruzada#
Cruzada#
Sucessão (antecessor)#
Cruzada#
Cruzada#
Cruzada#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Cruzada#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Cruzada#";Reduzida;N;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
- Utilidade administrativa
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data do término da vigência dos acordos e outros atos internacionais.;C;"Densidade informacional:
A informação não é recuperável noutro PN.";;
200.20;Coordenação e acompanhamento político e diplomático;Compreende as atividades de coordenação da ação do Estado no domínio das relações internacionais bilaterais e multilaterais, bem como as atividades de acompanhamento da situação internacional (podendo a coordenação e o acompanhamento incidirem sobre relações políticas, comerciais, culturais, consulares ou outras).;"Acompanhamento das relações bilaterais e multilaterais do país, realizado centralmente e através das missões diplomáticas em países estrangeiros e em organismos internacionais#
Processamento de privilégios e imunidades diplomáticas e consulares#
Organização de visitas de Estado#
Acompanhamento das relações externas da União Europeia e do funcionamento das instituições e organismos da União Europeia#
Apoio e/ou acompanhamento ao recrutamento de portugueses para organismos internacionais, bem como para instituições e agências EU no que se inclui o registo de portugueses em instituições da EU#";"Acompanhamento do funcionamento do Parlamento Europeu#
Acompanhamento do funcionamento da Comissão Europeia#
Acompanhamento do funcionamento do Tribunal de Justiça da EU#
Acompanhamento do funcionamento do Banco Central Europeu#
Acompanhamento do funcionamento do Tribunal de Contas Europeu#
Acompanhamento do funcionamento do Provedor de Justiça Europeu#
Acompanhamento do funcionamento do Comité das Regiões#
Acompanhamento do funcionamento do Comité Económico e Social Europeu#
Apoio e/ou acompanhamento ao recrutamento de portugueses para a ONU#
Apoio e/ou acompanhamento ao recrutamento de portugueses para a UNESCO#";"Os despachos de nomeação para cargos diplomáticos ou outros cargos de representação nacional em organismos internacionais devem ser considerados em ""Administração de relações de trabalho/ Estabelecimento e cessação de relações de trabalho"" (250.10)#
As funções específicas dos consulados devem ser consideradas nas classes correspondentes por exemplo, o registo civil deve ser considerado em ""Prestação de serviços de identificação e registo/ Registo de dados de identificação e caracterização de entidades ou atos"" (400.10)#";;;;;;;;;;;;;;;;;;;;
200.20.001;Acompanhamento da situação internacional;"Análise da situação internacional no âmbito das relações políticas, comerciais, culturais, consulares ou outras, por solicitação da tutela, de outros departamentos governamentais, de outros países, da União Europeia ou de organizações internacionais.
Inicia com o pedido e termina com o envio da informação.
Inclui recolha de informação, análise e tratamento de dados, produção de informação classificada, se necessário.  
";Acompanhamento das relações bilaterais e multilaterais do país, realizado centralmente ou através das missões diplomáticas em países estrangeiros e em organismos internacionais#;;O intercâmbio de informação estratégica para combate ao terrorismo e agitações sociais e políticas deve ser considerada em 150.30.001 – Produção e intercâmbio de informação estratégica para segurança interna e defesa#;;;PE;N;"Embaixadas#
DGACCP#
DGAE#
DGPE#";;;"200.10.001#

200.10.800#
200.20.500#
200.30.301#";"Definição e acompanhamento de posições nacionais no âmbito das relações bilaterais e multilaterais entre países#
Celebração de acordos e outros atos internacionais#
Organização de visitas de Estado ou equiparadas#
Conceção de programas de cooperação e ajuda pública ao desenvolvimento#";"Síntese (sintetizado)#
Cruzada#
Cruzada#
Cruzada#";Média;N;5;;"Critério Gestionário:
Prazo para imputação de responsabilidade pela gestão, decorrente de escrutínio público (eleições) ou da não recondução no mandato.
Considerou-se para a definição do prazo o tempo do mandato de maior duração: 5 anos.";Data de encerramento do processo;E;"Densidade informacional:
A informação está sintetizada complementarmente nos
PN 200.10.001 - Negociação e definição de posições nacionais;
PN 200.10.800 - Celebração de acordos e outros atos internacionais;
PN 200.30.301 - Conceção de programas de cooperação e ajuda pública ao desenvolvimento.";;
200.20.002;Organização de missões internacionais;"Preparação e execução de deslocações no âmbito do acompanhamento político e diplomático, nomeadamente no âmbito da participação em eventos, das relações institucionais ou da cooperação para o desenvolvimento, desde que não enquadrado em processo específico.
Inicia com a solicitação e termina com o relatório de missão.
Inclui preparação de deslocações, recolha de informação, programação e contactos institucionais.
";"Missões em países terceiros, tanto no âmbito diplomático, como económico, como no quadro da cooperação para o desenvolvimento#
Missões de observação eleitoral#



";;"As missões de ajuda humanitária devem ser consideradas em 200.30.001 – Coordenação e execução de ações de ajuda humanitária e de emergência#
As missões de ajuda ao desenvolvimento devem ser consideradas em 200.30.302 – Execução de projetos de cooperação e de ajuda pública ao desenvolvimento, quando são realizadas no quadro desses projetos#";RCM 123/99#;;PC;S;DGPE#;AP#;"Assessorar#
";"200.10.800#


";"Celebração de acordos e outros atos internacionais#
";Cruzada#;Reduzida;S;10;;"Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).";Data de encerramento do processo;C;"Densidade informacional:
Ausência de relações de síntese com outros PN.
A informação não é recuperável noutro PN.";;
200.20.500;Organização de visitas de Estado ou equiparadas;"Preparação de deslocações e visitas de Chefes de Estado e de governo, membros de governo ou equiparados, representantes e dirigentes de organizações internacionais e Presidentes de Câmara ou altos representantes da Administração Central, Local ou Regional.
Inicia com convite e termina com elaboração de relatório final.
Inclui identificação do país visitado ou visitante, do objeto da visita e das respetivas delegações, realização de pontos de situação relativos ao objeto da visita e sistematização de toda a informação pertinente e disponível sobre o âmbito da visita, complilação da informação trocada com as entidades envolvidas, elaboração das versões provisórias e finais do programa e da lista de participantes, compilação dos relatos das reuniões realizadas com diferentes entidades, a recolha de dados e elementos informativos necessários à realização da visita e à sua organização técnica e logística.";"Deslocação de representantes e dirigentes de países estrangeiros a Portugal#
Deslocação de representantes do Estado português a países estrangeiros#
Organização de cerimónias protocolares e de homenagem no âmbito das visitas de Estado ou equiparadas#
Visitas de Chefes de Estado e Primeiros-Ministros (de e ao estrangeiro)#
Visitas de Presidentes de Câmara e de outros membros de executivos municipais (de e ao estrangeiro)#";;"As visitas institucionais de âmbito nacional devem ser consideradas em 900.20.602 – Organização de visitas institucionais#
";Lei 40/2006#;;PC;S;AP#;AP#;"Assessorar#
";"150.10.700#
150.10.701#
200.10.001#

200.10.002#
200.20.001#
200.30.600#
";"Reunião de órgãos deliberativos#
Reunião de órgãos executivos#
Definição e acompanhamento de posições nacionais no âmbito das relações bilaterais e multilaterais entre países#
Representação e participação em organizações internacionais#
Acompanhamento da situação internacional#
Apoio à internacionalização e à promoção do país #
";"Sucessão (sucessor)#
Sucessão (sucessor)#
Cruzada#

Cruzada#
Cruzada#
Complementar#";Média;S;10;;"Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).";Data de encerramento do processo;C;"Complementaridade informacional:
É complementar dos
PN 200.30.600 - Apoio à internacionalização e à promoção do país;
PN 200.30.601 - Organização e apoio a ações de promoção do país.";;
200.20.501;Concessão de imunidades, dispensas e privilégios;"Atribuição de regime de proteção e de isenção especiais a membros do corpo consular e diplomático, enquadrada no disposto pela Convenção de Viena sobre as relações diplomáticas e consulares.
Inicia com o pedido e termina com a concessão de imunidade e privilégio.
Inclui a análise e processamento do pedido de imunidade e privilégio e a proposta de decisão.
";"Concessão de imunidades, dispensas e privilégios ao corpo diplomático acreditado em Portugal#
Concessão de imunidades, dispensas e privilégios às representações nacionais no estrangeiro#

";;;"Regulamento (CE) 562/2006# 
DL 48295/68#";"Regulamento (CE) 562/2006 do Parlamento Europeu e do Conselho#
Regime especial previsto para pessoal diplomático e consular decorre do disposto nos artºs 29 e segs. da Convenção de Viena (Decreto-Lei n.º 48295/68) sobre relações diplomáticas e dos arts. 46 e 47 da Convenção de Viena sobre relações consulares#";PE;S;SGMNE#;;;;;;;;;;;;;;Fase de harmonização;
