Estado;Código;Título;Descrição;Notas de aplicação;Exemplos de NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;;
;350.10.203;Liquidação de Imposto Único de Circulação (IUC);"Apuramento do Imposto Único de Circulação (IUC), que incide sobre os veículos das diversas categorias previstas no Código do Imposto Único de Circulação (CIUC).
Inicia com o preenchimento da declaração eletrónica no portal da AT pelos sujeitos passivos ou mediante iniciativa da Administração Tributária e termina com a emissão do documento único de cobrança (DUC) para efeitos de pagamento.
Inclui todos os procedimentos para liquidação do imposto, nomeadamente a validação dos dados e o cálculo do imposto.";"Tributação de veículos matriculados ou registados em território nacional#
Veículos não sujeitos a matrícula em Portugal e que não sejam veículos de mercadorias com certas características, desde que permaneçam em território nacional por determinado período de tempo#";;"O pagamento do imposto deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#
A revisão oficiosa da liquidação deve ser considerada em 350.10.515 – Revisão de atos tributários#";Lei 22-A/2007#;;PE;N;AT#;;;"150.20.404#
350.10.504#
350.10.515#
350.10.600#
350.30.001#
500.10.001#
600.30.551#
850.30.002#";"Prestação de contas#
Processamento de benefícios e incentivos fiscais e aduaneiros não contratuais#
Revisão de atos tributários#
Lançamento de receitas e de despesas#
Cobrança de receitas e pagamento de despesas#
Realização de auditorias#
Impugnação judicial tributária#
Processamento de benefícios e incentivos contratuais ao investimento#";"Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Suplementar#
Sucessão (antecessor)#
Sucessão (antecessor)#";Média;S;10;;"Critério legal:
[DL 433/99], CPPT, artº 27º, nº 2 ""Os arquivos [procedimentos administrativos e processos judiciais tributários instaurados] são obrigatoriamente mantidos durante 10 anos (...)"".

";A contar da data da conclusão do processo ou do trânsito em julgado da decisão judicial (impugnação da liquidação).;E;"Densidade informacional:
Informação síntese recuperável no PN 150.20.404 - Prestação de contas.";;;
;350.10.204;Liquidação de Imposto Sobre Veículos (ISV);"Apuramento do Imposto Sobre Veículos (ISV).
Inicia com a apresentação da declaração aduaneira de veículos (DAV), por transmissão eletrónica de dados, pelos operadores registados, pelos operadores reconhecidos e pelos particulares que procedam à introdução no consumo dos veículos tributáveis, bem como pelos sujeitos passivos do imposto que, de modo irregular, introduzam no consumo os referidos veículos, pelos sujeitos passivos ou mediante iniciativa da Administração Tributária e termina com a emissão do documento único de cobrança (DUC) para efeitos de pagamento.
Inclui todos os procedimentos para liquidação do imposto, nomeadamente a validação dos dados e o cálculo do imposto.

";Procedimento para atribuição de matrículas da época#;;"O pagamento do imposto deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#
A revisão oficiosa da liquidação deve ser considerada em 350.10.515 – Revisão de atos tributários#";Lei 22-A/2007#;;PE;N;AT#;;;"150.20.404#
350.10.504#
350.10.515#
350.10.600#
350.30.001#
500.10.001#
600.30.551#
850.30.002#
";"Prestação de contas#
Processamento de benefícios e incentivos fiscais e aduaneiros não contratuais#
Revisão de atos tributários#
Lançamento de receitas e de despesas#
Cobrança de receitas e pagamento de despesas#
Realização de auditorias#
Impugnação judicial tributária#
Processamento de benefícios e incentivos contratuais ao investimento#";"Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Suplementar#
Sucessão (antecessor)#
Sucessão (antecessor)#";Média;S;10;;"Critério legal:
[DL 433/99], CPPT, artº 27º, nº 2 ""Os arquivos [procedimentos administrativos e processos judiciais tributários instaurados] são obrigatoriamente mantidos durante 10 anos (...)"".

";A contar da data da conclusão do processo ou do trânsito em julgado da decisão judicial (impugnação da liquidação).;E;"Densidade informacional:
Informação síntese recuperável no PN 150.20.404 - Prestação de contas.";;;
;350.10.205;Liquidação de Imposto de Selo (IS);"Apuramento do Imposto de Selo devido nos termos da Tabela anexa ao Regulamento Geral de Imposto de Selo, anexa ao respetivo código, que incide sobre atos, contratos, documentos, títulos, papéis e outros factos ou situações jurídicas previstas na referida tabela.
Inicia com o cálculo de imposto na guia entregue pelos sujeitos passivos ou mediante iniciativa da Administração Tributária, e termina, nos casos aplicáveis, com a notificação da liquidação.
Inclui todos os procedimentos para liquidação do imposto, nomeadamente a validação dos dados.
";"Escrituras de compra e venda de imóveis#
Contratos de arrendamento e subarrendamento#
Contratos de empréstimos#
Anúncios#
Prémios de bingo, de rifas e de quaisquer sorteios ou concursos#
Prémios de jogos sociais do Estado#
Concessão de garantias#
Operações financeiras#
Apólices de seguros#
Títulos de crédito#";;"A liquidação do imposto de selo que incide sobre o valor das transmissões gratuitas de bens deve ser considerado em 350.10.206 – Liquidação de Imposto de Selo sobre Transmissões Gratuitas de Bens#
O pagamento do imposto deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#
A revisão oficiosa da liquidação deve ser considerada em 350.10.515 – Revisão de atos tributários#";DL 287/2003#;;PC;S;AT#;AP#;Iniciar#;"150.20.404#
350.10.504#
350.10.515#
350.10.600#
350.30.001#
400.30.001#
500.10.001#
600.30.551#
850.30.002#";"Prestação de contas#
Processamento de benefícios e incentivos fiscais e aduaneiros não contratuais#
Revisão de atos tributários#
Lançamento de receitas e de despesas#
Cobrança de receitas e pagamento de despesas#
Celebração de contratos, escrituras, títulos equivalentes e testamentos#
Realização de auditorias#
Impugnação judicial tributária#
Processamento de benefícios e incentivos contratuais ao investimento#";"Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Cruzada#
Suplementar#
Sucessão (antecessor)#
Sucessão (antecessor)#";Média;S;10;;"Critério legal:
[DL 433/99], CPPT, artº 27º, nº 2 ""Os arquivos [procedimentos administrativos e processos judiciais tributários instaurados] são obrigatoriamente mantidos durante 10 anos (...)"".

";A contar da data da conclusão do processo ou do trânsito em julgado da decisão judicial (impugnação da liquidação).;E;"Densidade informacional:
Informação síntese recuperável no PN 150.20.404 - Prestação de contas.";;;
;350.10.206;Liquidação de Imposto de Selo Sobre Transmissões Gratuitas de Bens;"Apuramento do Imposto de Selo sobre Transmissões Gratuitas de Bens.
Inicia com a apresentação da participação de transmissões gratuitas de bens sujeitas a imposto de selo pelos sujeitos passivos ou mediante iniciativa da Administração Tributária, e termina com a notificação do resultado da liquidação.
Inclui todos os procedimentos para liquidação do imposto, nomeadamente a validação da declaração, a verificação dos atos ou factos sujeitos a imposto e o cálculo do imposto.";;;"O pagamento do imposto deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#
A revisão oficiosa da liquidação deve ser considerada em 350.10.515 – Revisão de atos tributários#";DL 287/2003#;;PE;N;AT#;;;"150.20.404#
350.10.504#
350.10.515#
350.10.600#
350.30.001#
400.10.407#
500.10.001#
600.30.551#
850.30.002#";"Prestação de contas#
Processamento de benefícios e incentivos fiscais e aduaneiros não contratuais#
Revisão de atos tributários#
Lançamento de receitas e de despesas#
Cobrança de receitas e pagamento de despesas#
Registo de prédios nas matrizes prediais#
Realização de auditorias#
Impugnação judicial tributária#
Processamento de benefícios e incentivos contratuais ao investimento#";"Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Suplementar#
Sucessão (antecessor)#
Sucessão (antecessor)#";Média;S;10;;"Critério legal:
[DL 433/99], CPPT, artº 27º, nº 2 ""Os arquivos [procedimentos administrativos e processos judiciais tributários instaurados] são obrigatoriamente mantidos durante 10 anos (...)"".

";A contar da data da conclusão do processo ou do trânsito em julgado da decisão judicial (impugnação da liquidação).;C;"Critério legal:
Informação que comprova direitos reais que não prescrevem com o tempo, implicando a conservação de toda a informação do processo e não apenas uma síntese da liquidação noutro processo de negócio.
Constitui prova das transmissões de bens com tradição/posse.";;;
;350.10.300;Liquidação de Imposto Sobre o Valor Acrescentado (IVA);"Apuramento do Imposto Sobre o Valor Acrescentado (IVA).
Inicia com a apresentação de uma declaração periódica (DP) por transmissão eletrónica de dados, efetuada pelos sujeitos passivos ou mediante iniciativa da Administração Tributária, e termina com a notificação aos sujeitos passivos para efeitos de pagamento ou com a submissão da declaração periódica do imposto.
Inclui todos os procedimentos para liquidação do imposto, nomeadamente a validação da declaração e o cálculo do imposto.";Apreciação de pedidos de renúncia à isenção do imposto#;;"O pagamento do imposto deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#
A revisão oficiosa da liquidação deve ser considerada em 350.10.515 – Revisão de atos tributários#";DL 394-B/84#;;PC;S;AT#;AP#;Iniciar#;"150.20.404#
350.10.504#
350.10.515#
350.10.600#
350.30.001#
500.10.001#
600.30.551#
850.30.002#
";"Prestação de contas#
Processamento de benefícios e incentivos fiscais e aduaneiros não contratuais#
Revisão de atos tributários#
Lançamento de receitas e de despesas#
Cobrança de receitas e pagamento de despesas#
Realização de auditorias#
Impugnação judicial tributária#
Processamento de benefícios e incentivos contratuais ao investimento#";"Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Suplementar#
Sucessão (antecessor)#
Sucessão (antecessor)#
";Média;S;"10







";;"Critério legal:
[DL 433/99], CPPT, artº 27º, nº 2 ""Os arquivos [procedimentos administrativos e processos judiciais tributários instaurados] são obrigatoriamente mantidos durante 10 anos (...)"".

";A contar da data da conclusão do processo ou do trânsito em julgado da decisão judicial (impugnação da liquidação).;E;"Densidade informacional:
Informação síntese recuperável no PN 150.20.404 - Prestação de contas.";;;
;"350.10.301

";Liquidação dos Impostos Especiais Sobre o Consumo;"Apuramento dos impostos especiais sobre o consumo, tendo por base os elementos declarados pelos sujeitos passivos.
Inicia com o preenchimento de uma declaração de introdução no consumo (DIC), ou, no caso de importação, de uma declaração aduaneira (DA), pelos sujeitos passivos ou mediante iniciativa da Administração Tributária e termina com a notificação do resultado da liquidação e do prazo para efetuar o pagamento.
Inclui todos os procedimentos para liquidação de imposto, nomeadamente a validação da declaração e o cálculo do imposto.

";"Liquidação do Imposto sobre o Álcool e as Bebidas Alcoólicas (IABA)#
Liquidação do Imposto sobre os Produtos Petrolíferos e Energéticos (ISPPE)#
Liquidação do Imposto Sobre o Tabaco (IT)#
Liquidação do Imposto Sobre Sacos de Plástico Leves# 
Liquidação do Imposto Especial Sobre Bebidas Açucaradas#";;"O pagamento do imposto deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#
A revisão oficiosa da liquidação deve ser considerada em 350.10.515 – Revisão de atos tributários#";"Lei 82-D/2014#
DL 73/2010#";Lei 82-D/2014, art 30#;PE;N;AT#;;;"150.20.404#
350.10.504#
350.10.515#
350.10.600#
350.30.001#
450.10.640#
500.10.001#
600.30.551#
850.30.002#";"Prestação de contas#
Processamento de benefícios e incentivos fiscais e aduaneiros não contratuais#
Revisão de atos tributários#
Lançamento de receitas e de despesas#
Cobrança de receitas e pagamento de despesas#
Autorização de introdução de produtos e substâncias no mercado#
Realização de auditorias#
Impugnação judicial tributária#
Processamento de benefícios e incentivos contratuais ao investimento#";"Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (sucessor)#
Suplementar#
Sucessão (antecessor)#
Sucessão (antecessor)#";Média;S;"10







";;"Critério legal:
[DL 433/99], CPPT, artº 27º, nº 2 ""Os arquivos [procedimentos administrativos e processos judiciais tributários instaurados] são obrigatoriamente mantidos durante 10 anos (...)"".

";A contar da data da conclusão do processo ou do trânsito em julgado da decisão judicial (impugnação da liquidação).;E;"Densidade informacional:
Informação síntese recuperável no PN 150.20.404 - Prestação de contas.";;;
;350.10.400;Liquidação dos direitos e demais imposições aduaneiras;"Apuramento dos direitos e demais imposições aduaneiras, tendo por base os elementos declarados pelos sujeitos passivos/operadores económicos.
Inicia com o preenchimento de uma declaração aduaneira de importação (DAI) e um impresso de liquidação (IL) e termina com a notificação ao operador económico do resultado da liquidação e do prazo para efetuar o pagamento.
Inclui todos os procedimentos para liquidação de imposto, nomeadamente a validação da declaração e o cálculo do imposto.

";;;;Regulamento (CEE) 2913/92#;Regulamento (CEE) 2913/92 do Conselho#;PE;N;AT#;;;"150.20.404#
350.10.516#
350.10.517#
350.10.600#
350.30.001#
450.10.650#
450.10.441#
500.10.001#
600.30.551#
850.30.003#";"Prestação de contas#
Apuramento dos recursos próprios tradicionais da União Europeia#
Dispensa de colocação à disposição da União Europeia de recursos próprios tradicionais#
Lançamento de receitas e de despesas#
Cobrança de receitas e pagamento de despesas#
Autorização de regimes especiais aduaneiros para as mercadorias#
Reconhecimento de títulos de profissões regulamentadas#
Realização de auditorias#
Impugnação judicial tributária#
Gestão de suspensões e de contingentes pautais#";"Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (sucessor)#
Suplementar#
Suplementar#
Sucessão (antecessor)#
Sucessão (sucessor)#
";Média;S;"10







";;"Critério legal:
[DL 433/99], CPPT, artº 27º, nº 2 ""Os arquivos [procedimentos administrativos e processos judiciais tributários instaurados] são obrigatoriamente mantidos durante 10 anos (...)"".

";A contar da data da conclusão do processo ou do trânsito em julgado da decisão judicial (impugnação da liquidação).;E;"Densidade informacional:
Informação síntese recuperável no PN 150.20.404 - Prestação de contas.
";;;
;350.10.500;Apuramento da transferência de verbas entre entidades;"Cálculo e lançamento das verbas entre administrações ou entre a Administração Pública e entidades privadas (associações, empresas e particulares).
Inicia com a verificação do orçamento da verba a transferir e da entidade de destino ou com o pedido da entidade para transferência da verba e termina com o lançamento da verba.
Inclui o cálculo da verba a transferir, o registo da entrada (receita) ou  a deliberação da verba a transferir (despesa).";"Transferências de verbas para sistemas sociais e de saúde, associações e empresas e particulares#
Transferência para as Regiões Autónomas do Imposto sobre o Álcool e as Bebidas Alcoólicas (IABA) pago no Continente#
Transferências do IGFSS para as entidades utilizadoras e beneficiárias de fundos do Orçamento da Segurança Social#";;;;"Lei do Orçamento do Estado#
Decreto Lei de Execução Orçamental#
Lei de Enquadramento Orçamental#";PC;S;AP#;AP#;Comunicar#;"150.20.202#
150.20.400#
150.20.404#
350.10.001#
350.10.600#
350.30.001#
350.30.004#
500.10.001#
850.10.001#";"Preparação do orçamento#
Acompanhamento da execução orçamental#
Prestação de contas#
Alteração orçamental#
Lançamento de receitas e de despesas#
Cobrança de receitas e pagamento de despesas#
Movimentação de contas bancárias#
Realização de auditorias#
Atribuição de subsídios à exploração de serviços públicos#";"Sucessão (sucessor)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Suplementar#
Sucessão (sucessor)#";Reduzida;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 (no que diz respeito à atuação da Administração).

";Data de encerramento do processo.;E;"Densidade informacional:
Informação síntese recuperável no PN 150.20.404 - Prestação de contas.
";;;
;350.10.501;Liquidação de contribuições para o sistema de proteção da saúde;"Apuramento dos montantes devidos pelos trabalhadores e pelas entidades para a proteção da saúde.
Inicia com o cálculo e termina com a comunicação do montante às entidades competentes.
Inclui registo.";"Liquidação de contribuições para os subsistemas de proteção social no âmbito dos cuidados de saúde, concretamente da Direção-Geral de Proteção Social aos Trabalhadores em Funções Públicas (ADSE), da Assistência na Doença aos Militares (ADM) e da Divisão de Assistência na Doença (SAD)#
No âmbito da Administração Local, receção pelos municípios da comunicação dos montantes dos serviços municipalizados e das empresas locais para o Sistema Nacional de Saúde#";;;"Lei 83-A/2013#
DL 29-A/2011#
DL 26/2002#
DL 118/83#
Lei 30/2014#";"DL 29-A/2011, art 67, 3)#
DL 118/83 (com a redação dada pela Lei 30/2014)#";PC;S;ESPS#;AP#;Iniciar#;"150.20.404#
350.10.509#
500.10.001#";"Prestação de contas#
Processamento de remunerações#
Realização de auditorias#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#";Elevada;S;"10

";;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 (no que diz respeito à atuação da Administração).

";Data de encerramento do processo.;E;"Densidade informacional:
Informação sintetizada no PN 150.20.404 - Prestação de contas.";;;
;350.10.502;Liquidação de contribuições para a segurança social e aposentação;"Apuramento dos montantes devidos pelos trabalhadores e pelas entidades para o Sistema de Segurança Social.
Inicia com o cálculo da retenção e termina com a comunicação do montante às entidades competentes.
Inclui o registo.";"Apuramento de montantes para a Segurança Social#
Apuramento dos montantes para a Caixa Geral de Aposentações#";;;"Lei 83-A/2013#
DL 26/2002#";;PC;S;IGFSS#;AP#;Iniciar#;"150.20.404#
350.10.509#
500.10.001#
650.10.001#
650.10.002#
650.10.003#
650.10.004#
650.10.005#
650.10.006#
650.10.007#
650.10.008#
650.10.009#
650.10.010#
650.10.011#
650.10.012#
650.10.013#
650.10.108#
";"Prestação de contas#
Processamento de remunerações#
Realização de auditorias#
Concessão de pensões de invalidez#
Concessão de pensões de sobrevivência#
Concessão de pensões de velhice#
Concessão de prestações por parentalidade#
Concessão de prestações compensatórias de subsídio de férias e de natal por motivo de doença e de parentalidade#
Concessão de subsídios por adoção#
Concessão de subsídios para assistência a filho ou a neto#
Concessão de subsídios para assistência a filho com deficiência ou doença crónica#
Concessão de subsídios de desemprego#
Concessão de subsídios de doença#
Concessão de subsídios por interrupção de gravidez#
Concessão de subsídios por risco clínico durante a gravidez#
Concessão de subsídios por riscos específicos#
Concessão de pensões de preço de sangue#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#";Elevada;S;"10

";;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 (no que diz respeito à atuação da Administração).

";Data de encerramento do processo.;E;"Densidade informacional:
Informação sintetizada no PN 150.20.404 - Prestação de contas.";;;
;350.10.503;Liquidação de despesas decorrentes de acidentes de trabalho e doenças profissionais;"Processamento da despesa relativa a acidentes de trabalho e doenças profissionais.
Inicia com a receção do pedido de pagamento das despesas e termina com a decisão sobre o mesmo.
Inclui a a análise e qualificação do acidente de trabalho ou da doença profissional, verificação dos documentos comprovativos, nomeadamente do boletim de acompanhamento médico, da declaração de formalidades, da relação de despesas e respetivos documentos de despesa.";Liquidação de despesas por assistência a terceira pessoa, decorrentes de acidentes de trabalho e doenças profissionais#;;A participação do acidente de trabalho ou de doença profissional deve ser considerada em 250.20.401 – Participação de acidentes de trabalho ou de doenças profissionais#;"Lei 35/2014#
Lei 98/2009#
DL 503/99#

";"DL 503/99, art 24#

";PC;S;"SGMF#
EAARPNC#";AP#;Iniciar#;"150.20.404#
250.20.001#
250.20.401#
450.30.500#
700#
";"Prestação de contas#
Registo biográfico de trabalhadores#
Participação de acidentes de trabalho ou de doenças profissionais#
Certificação de doença, aptidão ou incapacidade#
Prestação de cuidados de saúde#
";"Síntese (sintetizado)#
Cruzada#
Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#

";Média;S;40;;"Conjugação dos critérios:
- Legal
[DL 503/99], artº 24 (Após 10 anos da data da alta o processo não pode ser reaberto por recidiva, agravamento ou recaída) e artº 29- 2.º (O processo pode ser reaberto enquanto doença profissional de caráter evolutivo, resultante do acidente de trabalho).
Por o Dl 503/99 não indicar um prazo para a reabertura do processo, tomou-se em consideração por analogia o [DL 84/97] (transposição da Diretiva 2000/54/CE), artº 19º, nº 4 (prazo de conservação dos registos nos casos de exposição a agentes biológicos).
- Utilidade administrativa
Tempo para a reabertura do processo.";Data de encerramento do processo.;E;"Densidade informacional:
Informação sintetizada no PN 150.20.404 - Prestação de contas.";;;
;"350.10.504

";Processamento de benefícios e incentivos fiscais e aduaneiros não contratuais;"Concessão de benefícios e incentivos fiscais e aduaneiros não contratuais, dependentes de reconhecimento.
Inicia com o pedido de benefício ou incentivo fiscal e aduaneiro e termina com a notificação da decisão final.
Inclui todos os procedimentos para a análise e cálculo dos benefícios e incentivos.
";"Processos de isenção, de redução de taxa e de suspensão do benefício ou incentivo fiscal#
Benefícios fiscais associados à Lei de Liberdade Religiosa#
Benefícios fiscais previstos na fiscalidade verde#";;O processamento de benefícios e incentivos fiscais e aduaneiros contratuais deve ser considerado em 850.30.002 – Processamento de benefícios e incentivos contratuais ao investimento#;"DL 162/2014#
Lei 82-D/2014#
DL 215/1989#";;PE;N;AT#;;;"150.20.404#
350.10.100#
350.10.101#
350.10.200#
350.10.201#
350.10.202#
350.10.203#
350.10.204#
350.10.205#
350.10.206#
350.10.300#
350.10.301#
500.10.001#";"Prestação de contas#
Liquidação de Imposto Sobre o Rendimento de Pessoas Singulares (IRS)#
Liquidação de Imposto Sobre o Rendimento de Pessoas Coletivas (IRC)#
Liquidação de Imposto Municipal Sobre Imóveis (IMI)#
Liquidação de Imposto Municipal Sobre Transmissões Onerosas de Imóveis (IMT)#
Liquidação de Contribuição Especial#
Liquidação de Imposto Único de Circulação (IUC)#
Liquidação de Imposto Sobre Veículos (ISV)#
Liquidação de Imposto de Selo (IS)#
Liquidação de Imposto de Selo Sobre Transmissões Gratuitas de Bens#
Liquidação de Imposto Sobre o Valor Acrescentado (IVA)#
Liquidação dos Impostos Especiais Sobre o Consumo#
Realização de auditorias#";"Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Suplementar#
";Média;S;"10







";;"Critério legal:
[DL 433/99], CPPT, artº 27º, nº 2 ""Os arquivos [procedimentos administrativos e processos judiciais tributários instaurados] são obrigatoriamente mantidos durante 10 anos (...)"".

";Data de encerramento do processo.;E;"Densidade informacional:
Informação síntese recuperável no PN 150.20.404 - Prestação de contas.
";;;
;350.10.505;Processamento de cauções;"Prestação ou recebimento de garantia, entre administrações públicas ou entre a administração pública e privados.
Inicia com a apresentação do direito ou dever garantido e termina com a sua liberação.
Inclui o registo do direito ou dever garantido, pode incluir o acionamento da caução.";"Precaução de eventual falta de cumprimento de alguma obrigação#
Pedido de liberação de caução#
Garantias prestadas pelos operadores económicos quando as suas mercadorias são suscetíveis de dívida aduaneira#
";;;"DL 190/2012#
DL 18/2008#";;PC;N;AP#;;;"150.20.404#
300.10.001#
300.10.005#
350.10.600#
350.30.004#
500.10.001#

";"Prestação de contas#
Contratação de empreitadas de obras públicas#
Transação e transmissão de bens móveis não culturais e contratação de serviços#
Lançamento de receitas e de despesas#
Movimentação de contas bancárias#
Realização de auditorias#";"Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Suplementar#

";Reduzida;S;"10

";;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 (no que diz respeito à atuação da Administração).

";Data de encerramento do processo.;E;"Densidade informacional:
Informação síntese recuperável no PN 150.20.404 - Prestação de contas.
";;;
;350.10.506;Comparticipação em despesas de saúde ao beneficiário;"Apuramento de montantes de reembolso a beneficiários de um sistema de saúde despendidos com encargos relativos a cuidados de saúde comparticipado em regime livre.
Inicia com a apresentação de documentos de despesa por parte do trabalhador e termina com o crédito em conta calculado nos termos da respetiva tabela.
Inclui a codificação e a validação das despesas.";Beneficiários de subsistemas de saúde, como a Direção-Geral de Proteção Social aos Trabalhadores em Funções Públicas (ADSE) e a Assistência na Doença aos Militares (ADM)#;;;"DL 118/83#
DL 234/2005#";DL 118/83 (atualizado pelo DL 234/2005)#;PC;S;ESPS#;AP#;Iniciar#;"150.20.404#
350.10.600#
350.30.001#
350.30.003#
350.30.004#
500.10.001#
700#";"Prestação de contas#
Lançamento de receitas e de despesas#
Cobrança de receitas e pagamento de despesas#
Controlo sistemático de numerário e valores#
Movimentação de contas bancárias#
Realização de auditorias#
Prestação de cuidados de saúde#
";"Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Suplementar#
Sucessão (sucessor)#
";Reduzida;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 (no que diz respeito à atuação da Administração).

";Data de encerramento do processo.;E;"Densidade informacional:
Informação sintetizada no PN 150.20.404 - Prestação de contas.";;;
;350.10.507;Processamento de despesas de saúde a prestadores de serviços e farmácias;"Processamento de despesas de saúde com entidades prestadoras de cuidados de saúde e farmácias por força de acordos estabelecidos entre estas e os diversos subsistemas de saúde ou entidades públicas comparticipantes.
Inicia com a receção da comunicação da despesa (faturação) e termina com a comunicação dos montantes a pagar.
Inclui conferência e validação das despesas realizadas em prestadores convencionados e farmácias, e o apuramento dos montantes a reembolsar, assim como o apuramento dos montantes a pagar pelo subsistema de saúde às entidades prestadoras de cuidados de saúde e farmácias.";"Despesas com entidades prestadoras de cuidados de saúde como hospitais, clínicas, médicos e outros prestadores particulares que tenham acordo/convenção com a Direção-Geral de Proteção Social aos Trabalhadores em Funções Públicas (ADSE)#
Despesas na comparticipação em medicamentos em farmácias#";;A comparticipação em despesas de saúde aos beneficiários de subsistemas de saúde deve ser considerada em 350.10.506 – Comparticipação em despesas de saúde ao beneficiário#;"DL 118/83#
DL 234/2005#";DL 118/83 (atualizado pelo DL 234/2005)#;PE;N;"ESPS#
AL#";;;"150.20.404#
300.10.008#
350.10.600#
350.30.001#
350.30.003#
350.30.004#
500.10.001#
700#";"Prestação de contas#
Estabelecimento de convenções com operadores privados#
Lançamento de receitas e de despesas#
Cobrança de receitas e pagamento de despesas#
Controlo sistemático de numerário e valores#
Movimentação de contas bancárias#
Realização de auditorias#
Prestação de cuidados de saúde#";"Síntese (sintetizado)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Suplementar#
Sucessão (sucessor)#";Reduzida;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 (no que diz respeito à atuação da Administração).

";Data de encerramento do processo.;E;"Densidade informacional:
Informação sintetizada no PN 150.20.404 - Prestação de contas.";;;
