Estado;Código;Título;PN que aglutina;Descrição;Notas de aplicação;Exemplos NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;;;;;;;;;;
;450.10.207;Licenciamento ou autorização de instalações agropecuárias;;"Permissão para executar projeto de instalação de explorações agropecuárias.
Inicia com o pedido e termina com a emissão de licença.
Inclui  apreciação de pedido, consulta e concertação de entidades, comunicação da decisão ao requerente, cálculo da taxa devida e apresentação do comprovativo do seu pagamento.
";"Instalação de suinicultura#
Instalação de avicultura#
Instalação de coelheiras#
Instalação de estábulos#
Instalação de anexos à exploração pecuária#
Instalação de equipamentos para produção animal#
Instalação de infraestruturas à exploração pecuária#";;"A autorização para desenvolver atividades de exploração pecuária extensiva e de pastoreio devem ser consideradas em 450.10.066 – Licenciamento ou autorização de atividades agrícolas, pecuárias, florestais, de caça e de pesca#
A fiscalização deve ser considerada em 500.10.301 – Realização de fiscalização#
O pagamento da taxa devida deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#
Avaliação ambiental deve ser em 450.10.229 – Procedimento de avaliação de impactos ambientais#
A construção das instalações pecuárias deve ser considerada em 450.10.204 – Licenciamento ou autorização de edificações#
A autorização para a recolha e tratamento de resíduos deve ser considerada em 450.10.068 – Licenciamento de atividade de gestão de resíduos#";"Diretiva (UE) 75/2010#
DL 127/2013#
Portaria 1047/2001#
DL 169/2012#
DL 81/2013#
DL 173/2008#
Declaração de Retificação 3/2013#
Portaria 631/2009#
Portaria 634/2009#
Portaria 635/2009#
Portaria 636/2009#
Portaria 637/2009#
Portaria 638/2009#
DL 165/2014#";;PE;S;DRAP#;"APA#
CCDR#
AL#
ICNF#
ARS#
ACT#";"Apreciar#
Apreciar#
Apreciar#
Apreciar#
Apreciar#
Apreciar#";"150.20.300#
150.40.500#
300.30.008#
350.30.001#
450.10.200#
450.10.204#
450.10.223#
450.10.229#
500.10.001#
500.10.300#
500.10.301#
800.10.301#
500.10.600#
300.30.001#";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Processamento de pedidos de informação prévia#
Licenciamento ou autorização de edificações#
Licenciamento para a rejeição de águas residuais#
Procedimentos de avaliação de impactos ambientais#
Realização de auditorias#
Realização de inspeção#
Realização de fiscalização#
Monitorização de índices da qualidade ambiental#
Monitorização sistemática da conformidade#
Compilação técnica da obra#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Sucessão (antecessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Suplementar#
Suplementar#
Suplementar#
Cruzada#
Síntese (sintetizado)#
Síntese (sintetizado)#";Elevada;S;30;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade por danos ambientais
[DL 147/2008], Artigo 33.º
""Consideram-se prescritos os danos causados por quaisquer emissões, acontecimentos ou incidentes que hajam decorrido há mais de 30 anos sobre a efectivação do mesmo.""";data da caducidade da licença (sendo que no caso da licenças permanentes, deve considerar-se a data de encerramento da instalação);E;"Critério: Densidade informacional
Informação sintetizada e recuperável complementarmente em:
PN 150.20.300 - Avaliação de atividades,
PN 300.30.001 - Compilação técnica de obra
PN 300.30.008 - Registo de documentos,
PN 450.10.204 - Licenciamento ou autorização de edificações,
PN 450.10.223 - Licenciamento para a rejeição de águas residuais,
PN 450.10.229 - Procedimentos de avaliação de impactos ambientais,
PN 500.10.600 - Monitorização sistemática da conformidade.";;;;;;;;;;;
;450.10.208;Licenciamento ou autorização de instalações industriais;;"Permissão para execução de projeto de instalação de estabelecimento industrial.
Inicia com a apresentação do pedido à entidade coordenadora e termina com a comunicação da decisão final integrada ao requerente, à Câmara Municipal territorialmente competente, bem como às entidades públicas cuja consulta tenha sido dispensada.
Inclui convite ao aperfeiçoamento, quando devido, consulta e concertação de entidades, vistoria à instalação, cálculo da taxa devida e comprovativo do seu pagamento e decisão final.
";"Alterações à instalação industrial#
Autorização prévia individualizada (para industrias de tipo 1)#
Autorização prévia padronizada (para industrias de tipo 1)#
Comunicação prévia com prazo (para industrias de tipo 2)#
Mera comunicação prévia (para industrias de tipo 3)#";;"O licenciamento da atividade e exploração industrial deve ser considerado em 450.10.070 – Licenciamento ou autorização de atividades industriais#
A fiscalização deve ser considerada em 500.10.301 – Realização de fiscalização#
O pagamento da taxa devida deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#
Avaliação ambiental deve ser em 450.10.229 – Procedimento de avaliação de impactos ambientais#
A construção das instalações pecuárias deve ser considerada em 450.10.204 – Licenciamento ou autorização de edificações#
A autorização para a recolha e tratamento de resíduos deve ser considerada em 450.10.068 – Licenciamento de atividade de gestão de resíduos#
A captação de água para a atividade industrial deve ser considerada em 450.10.232 – Licenciamento de pesquisa e captação de água#";"DL 73/2015#
DL 169/2012#";;PE;S;IAPMEI#;"APA#
CCDR#
AL#
ACT#
DGS#
INFARMED#
ICNF#
DGEG#
DRAP#";"Apreciar#
Apreciar#
Apreciar#
Apreciar#
Apreciar#
Apreciar#
Apreciar#
Apreciar#
Apreciar#";"150.20.300#
150.40.500#
300.30.008#
350.30.001#
450.10.200#
450.10.204#
450.10.223#
450.10.229#
500.10.001#
500.10.300#
500.10.301#
800.10.301#
500.10.600#
300.30.001#";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Processamento de pedidos de informação prévia#
Licenciamento ou autorização de edificações#
Licenciamento para a rejeição de águas residuais#
Procedimentos de avaliação de impactos ambientais#
Realização de auditorias#
Realização de inspeção#
Realização de fiscalização#
Monitorização de índices da qualidade ambiental#
Monitorização sistemática da conformidade#
Compilação técnica da obra#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Sucessão (antecessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Suplementar#
Suplementar#
Suplementar#
Cruzada#
Síntese (sintetizado)#
Síntese (sintetizado)#";Elevada;S;30;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade por danos ambientais
[DL 147/2008], Artigo 33.º
""Consideram-se prescritos os danos causados por quaisquer emissões, acontecimentos ou incidentes que hajam decorrido há mais de 30 anos sobre a efectivação do mesmo.""";data da caducidade da licença (sendo que no caso da licenças permanentes, deve considerar-se a data de encerramento da instalação);E;"Critério: Densidade informacional
Informação sintetizada e recuperável complementarmente em:
PN 150.20.300 - Avaliação de atividades,
PN 300.30.001 - Compilação técnica de obra
PN 300.30.008 - Registo de documentos,
PN 450.10.204 - Licenciamento ou autorização de edificações,
PN 450.10.223 - Licenciamento para a rejeição de águas residuais,
PN 450.10.229 - Procedimentos de avaliação de impactos ambientais,
PN 500.20.600 - Monitorização sistemática da conformidade.";https://www.iapmei.pt/getattachment/PRODUTOS-E-SERVICOS/Licenciamento-Industrial/Sistema-da-Industria-Responsavel-(SIR)/SIRGuia2015.pdf.aspx;;;;;;;;;;
;450.10.209;Autorização para instalação de infraestruturas emissoras de radiação;;"Permissão para execução de projeto de instalação de infraestruturas para equipamentos emissores de radiações ionizantes e não ionizantes.
Inicia com o pedido e termina com a emissão da licença.
Inclui apreciação liminar do pedido, consulta de entidades, definição de condicionantes, quando devido, cálculo da taxa devida e apresentação do comprovativo do seu pagamento e notificação ao requerente da decisão.";"Radiações eletromagnéticas#
Radiações ionizantes#
Emissões radiológicas#";;;"DL 151-A/2000#
DL 264/2009#
Declaração de Retificação 90/2009# 

";;PE;S;"ANACOM#
MD#
APA#";"DGS#
IST#
DGEG#
AL#
";"Apreciar#
Apreciar#
Apreciar#
Apreciar#";"150.20.300#
150.40.500#
300.30.008#
350.30.001#
450.10.200#
450.10.204#
450.10.229#
500.10.001#
500.10.301#
";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Processamento de pedidos de informação prévia#
Licenciamento ou autorização de edificações#
Procedimentos de avaliação de impactos ambientais#
Realização de auditorias#
Realização de fiscalização#";"Sintese (sintetizado)#
Sintese (sintetizado)#
Sintese (sintetizado)#
Cruzada#
Sucessão (sucessor)#
Sucessão (antecessor)#
Cruzada#
Suplementar#
Suplementar#";Média;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], art. 70º, n.º1)
Prazo prescricional do procedimento contraordenacional
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 (no que diz respeito à atuação da Administração) e dos PN 500.10.300 e  500.10.301 (no que diz respeito à atuação da entidade licenciada)";data da caducidade da licença (sendo que no caso da licenças permanentes, deve considerar-se a data de encerramento da instalação);C;"Critério: Densidade informacional
Embora a informação relativa à atuação da entidade licenciadora e aos casos licenciados se encontre sintetizada em
PN 150.20.300 - Avaliação de atividades e PN 300.30.008 - Registo de documentos, não se dispõe de PN sintetizador sobre o uso da instalação  licenciada e suas condições, pelo que aplicando a escala de risco se opta pela conservação.";;;;;;;;;;;
;450.10.210;Autorização para ligação à rede de efluentes industriais;;"Permissão para lançamento de efluentes industriais na rede de coletores, na sequência de um licenciamento de atividade.
Inicia com o pedido e termina com a autorização.
inclui apresentação de resultado de análises, definição de programas de autocontrolo da qualidade de águas residuais e de medidas preventivas, consulta de entidades, quando devido, cálculo da taxa devida e apresentação do comprovativo do seu pagamento.

";;;"O licenciamento da atividade industrial deve ser considerado em 450.10.070 – Licenciamento ou autorização de atividades industriais#
O controlo da rejeição das águas residuais deve ser considerado em 500.10.301 – Realização de fiscalização#
A análise  aos afluentes deve ser considerada em 800.10.601 – Realização de ensaios laboratoriais#";"Decreto Regulamentar 23/95#
DL 152/97#
DL 348/98#
DL 194/2004#
DL 226-A/2007#
Lei 58/2005#";;PE;S;AL#;ERSAR#;Apreciar#;"150.20.300#
150.40.500#
300.30.008#
350.30.001#
450.10.070#
500.10.001#
500.10.300#
500.10.301#

";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Licenciamento ou autorização de atividades industriais#
Realização de auditorias#
Realização de inspeção#
Realização de fiscalização#
";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Sucessão (sucessor)#
Suplementar#
Suplementar#
Suplementar#";Média;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e dos PN 500.10.300 - Realização de inspeção e 500.10.301 - Realização de fiscalização (no que diz respeito à atuação da entidade licenciada)";data do encerramento do processo;E;"Critério: Densidade informacional
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade licenciadora);
PN 300.30.008 - Registo de documentos (casos licenciados).
";;;;;;;;;;;
;450.10.212;Licenciamento ou autorização de obras no subsolo e na via pública;;"Controlo prévio de obras e trabalhos a realizar no solo e subsolo do domínio público.
Inicia com o pedido ou apresentação de comunicação prévia e termina com a emissão da licença ou a autorização.
Inclui apresentação de planta de localização, análise do projeto de intervenção, preenchimento da declaração e do termo de responsabilidade, apresentação de plano de segurança e condicionantes ao trânsito, consulta de entidades, comunicação aos interessados, cálculo da taxa devida e apresentação do comprovativo do seu pagamento.";"Intervenções em redes subterrâneas de abastecimento de água#
Intervenções em redes subterrâneas de abastecimento de gás#
Intervenções em redes elétricas subterrâneas#
Intervenções em redes eletrónicas subterrâneas#
Obras com vista à instalação, construção, alteração, substituição, manutenção ou reparação de redes subterrâneas#
Intervenções na rede de saneamento básico#";;"O licenciamento de ocupação na via pública deve ser considerado em 450.10.213 – Licenciamento ou comunicação de ocupação de espaços públicos#
A autorização para intervenção na via pública no âmbito arqueológico deve ser considerada em PN 450.10.230 – Autorização de trabalhos arqueológicos#";DL 26/2010#;;PE;S;AL#;APA#;Apreciar#;"150.20.300#
150.40.500#
300.30.008#
350.30.001#
500.10.001#
500.10.300#
500.10.301#";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Realização de auditorias#
Realização de inspeção#
Realização de fiscalização#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Suplementar#
Suplementar#
Suplementar#";Média;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e dos PN 500.10.300 - Realização de inspeção e 500.10.301 - Realização de fiscalização (no que diz respeito à atuação da entidade licenciada)";data da conclusão do processo documental;C;"Critério: Densidade informacional
Embora a informação relativa à atuação da entidade licenciadora e aos casos licenciados se encontre sintetizada em
PN 150.20.300 - Avaliação de atividades;
PN 150.40.500 - Recolha e tratamento de dados estatísticos para apoio à decisão;
PN 300.30.008 - Registo de documentos.
Não se dispõe de PN sintetizador sobre o tipo de utilização licenciada e suas condições, pelo que aplicando a escala de risco se opta pela conservação.";;;;;;;;;;;
;"450.10.213



";Licenciamento ou comunicação de ocupação de espaços públicos;"450.10.027
450.10.206
450.10.213";"Atribuição de licença ou autorização para usar o espaço público para diversos fins ou atividades.
Inicia com o pedido ou com comunicação prévia e termina com a indicação de libertação do espaço público.
Inclui análise do projeto, consulta de entidades, cálculo do valor da taxa devida, apresentação do comprovativo do seu pagamento e emissão de licença.




";"Ocupação de espaço e via pública para a instalação de arcas e máquinas de gelados#
Ocupação de espaço e via pública para a instalação de brinquedos mecânicos e equipamentos similares#
Ocupação de espaço e via pública para a instalação de contentor para resíduos#
Ocupação de espaço e via pública para a instalação de esplanada#
Ocupação de espaço e via pública para a instalação de floreira#
Ocupação de espaço e via pública para a instalação de suportes publicitários#
Ocupação de espaço e via pública para a instalação de toldos sem publicidade#
Ocupação temporária de espaço público para a realização de filmagens e sessões fotográficas#
Ocupação da via pública para a realização de atividades desportivas e de diversão (PN 450.10.027)#
Ocupação de espaço e via pública com estacionamento (PN 450.10.206)#
Ocupação de espaço em domínio público marítimo#
Utilização de espaço aéreo do domínio público com infraestruturas de terceiros (Licenciamento ou autorização)#
Utilização de espaço aéreo do domínio público com obras de arte de uso privativo (Licenciamento ou autorização)#";;;"Lei 72/2013#
Lei 5/2013#
DL 48/2011#
DL 92/2010#
Lei 106/2001#
DL 41/2003#
DL 251/98#";;PC;S;AL#;"PSP#
GNR#
APA#
AMN#
AP#";"Comunicar#
Comunicar#
Comunicar#
Comunicar#
Iniciar#";"150.20.300#
150.40.500#
300.30.008#
350.30.001#
500.10.001#
550.10.001#
550.10.002#
500.10.300#
500.10.301#
900.10.002#";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Realização de auditorias#
Segurança de espaços públicos e abertos ao público#
Ação de segurança a eventos de alto risco#
Realização de inspeção#
Realização de fiscalização#
Conceção e realização de atividades desportivas ou recreativas#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Suplementar#
Sucessão (antecessor)#
Sucessão (antecessor)#
Suplementar#
Suplementar#
Sucessão (antecessor)#";Elevada;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e dos PN 500.10.300 - Realização de inspeção e 500.10.301 - Realização de fiscalização (no que diz respeito à atuação da entidade licenciada)";data da caducidade da licença (sendo que no caso da licenças permanentes, deve considerar-se a data da cessação do exercício da atividade);CP;"Não se dispõe de PN sintetizador sobre o tipo de utilização licenciada e suas condições. A enumeração e tipificação dos casos é recuperável através das estatísticas.
Esta síntese não permite recuperar o particular e individual, mas apenas o geral.
A aplicação de um critério de amostragem aleatória sobre este PN permitirá conhecer em detalhe alguns casos e obter um subconjunto representativo de todas as características da população-alvo.
Toma ainda como base o facto da imprevisibilidade dos estudos nesta área.
A constituição de uma amostra significativa do universo de onde é retirada, mediante a aplicação de métodos estatísticos com uma margem de erro controlada, será suficiente para representar o universo.
A grelha para seleção da amostragem encontra-se no final desta página.
";;;;;;;;;;;
;450.10.214;Licenciamento ou comunicação de publicidade;;"Atribuição de licença ou autorização para afixação, inscrição  ou transmissão sonora de mensagens publicitárias.
Inicia com o pedido ou  com comunicação prévia e termina com a emissão da licença ou a autorização.
Inclui, no caso de sujeição a licença, consulta de entidades, no caso das unidades móveis publicitárias apresentação de seguro, cálculo da taxa devida e apresentação do comprovativo do seu pagamento.";"Distribuição de folhetos e panfletos publicitários#
Instalação de suporte publicitário aéreo como blimps, balões, zepelins, insufláveis e semelhantes#
Instalação de anúncios publicitários luminosos# 
Modalidades de licenciamento e de comunicação prévia#
Publicidade em domínio público hídrico#";;"A construção de infraestruturas para afixação de publicidade deve ser considerada em 450.10.204 – Licenciamento ou autorização de edificações ou em 450.10.213 – Licenciamento ou comunicação de ocupação do espaço público#

";"DL 48/2011#
DL 310/2002#
DL 330/90#
Lei 97/88#";;PC;S;AL#;"DGPC#
IP,SA#
IMT#
TP#
ICNF#
ANSR#
APA#
AP#
DGAM#";"Apreciar#
Apreciar#
Apreciar#
Apreciar#
Apreciar#
Apreciar#
Apreciar#
Iniciar#
Iniciar#";"150.20.300#
150.40.500#
300.30.008#
350.30.001#
500.10.001#
500.10.300#
500.10.301#";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Realização de auditorias#
Realização de inspeção#
Realização de fiscalização#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Suplementar#
Suplementar#
Suplementar#";Elevada;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e dos PN 500.10.300 - Realização de inspeção e  500.10.301 - Realização de fiscalização(no que diz respeito à atuação da entidade licenciada)";data da caducidade da licença;CP;"Não se dispõe de PN sintetizador sobre o tipo de utilização licenciada e suas condições. A enumeração e tipificação dos casos é recuperável através das estatísticas.
Esta síntese não permite recuperar o particular e individual, mas apenas o geral.
A aplicação de um critério de amostragem aleatória sobre este PN permitirá conhecer em detalhe alguns casos e obter um subconjunto representativo de todas as características da população-alvo.
Toma ainda como base o facto da imprevisibilidade dos estudos nesta área.
A constituição de uma amostra significativa do universo de onde é retirada, mediante a aplicação de métodos estatísticos com uma margem de erro controlada, será suficiente para representar o universo.
A grelha para seleção da amostragem encontra-se no final desta página.
";;;;;;;;;;;
;450.10.215;Licenciamento ou autorização especial de ruído;;"Atribuição de licença ou autorização para realizar atividade ruidosa.
Inicia com o pedido e termina com a emissão da licença.
Inclui indicação da localização da atividade ruidosa e do período de atividade, cálculo da taxa devida, quando aplicável, e apresentação do comprovativo do seu pagamento.
";" Atividade ruidosa temporária#
Utilização da média semanal dos valores diários de exposição para avaliar os níveis de ruído (exceto a avaliação diária), desde que não seja excedido o valor limite de exposição de 87 dB (A)#";;;"DL 278/2007#
DL 9/2007#";;PE;N;AL#;;;"150.20.300#
150.40.500#
300.30.008#
350.30.001#
500.10.001#
500.10.300#
500.10.301#
800.10.301#
900.10.002#";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Realização de auditorias#
Realização de inspeção#
Realização de fiscalização#
Monitorização de índices da qualidade ambiental#
Conceção e realização de atividades desportivas ou recreativas#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Suplementar#
Suplementar#
Suplementar#
Cruzada#
Sucessão (antecessor)#";Média;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e dos PN 500.10.300 - Realização de inspeção e 500.10.301 - Realização de fiscalização (no que diz respeito à atuação da entidade licenciada)";data do encerramento do processo;CP;"Não se dispõe de PN sintetizador sobre o tipo de utilização licenciada e suas condições. A enumeração e tipificação dos casos é recuperável através das estatísticas.
Esta síntese não permite recuperar o particular e individual, mas apenas o geral.
A aplicação de um critério de amostragem aleatória sobre este PN permitirá conhecer em detalhe alguns casos e obter um subconjunto representativo de todas as características da população-alvo.
Toma ainda como base o facto da imprevisibilidade dos estudos nesta área.
A constituição de uma amostra significativa do universo de onde é retirada, mediante a aplicação de métodos estatísticos com uma margem de erro controlada, será suficiente para representar o universo.
A grelha para seleção da amostragem encontra-se no final desta página.
";;;;;;;;;;;
;450.10.216;Licenciamento de farmácias;"450.10.216
450.10.217
450.10.218";"Permissão para instalação de farmácias.
Inicia com o pedido de abertura do procedimento concursal para a instalação de farmácia e termina com a comunicação de encerramento.
Inclui estudo de viabilidade de abertura de concurso, recolha de pareceres técnicos, decisão, publicação do aviso de abertura do procedimento concursal, constituição do júri, apresentação de candidaturas, seleção de candidatos, sorteio dos candidatos selecionados, notificação do candidato selecionado, definição da caução e comprovativo do seu pagamento, vistoria das instalações para abertura, alterações estatutárias e de títulos de propriedade.

";"Instalação de novas farmácias#
Instalação de posto farmacêutico móvel dependente de farmácia já existente (Anterior PN 450.10.217)#
Transferência de localização de farmácia (Anterior PN 450.10.218)#";;;"Portaria 352/2012#
DL 171/2012#
DL 307/2007#";;PE;S;INFARMED#;"AL#
ARS#";"Apreciar#
Apreciar#";"150.20.300#
150.40.500#
300.30.008#
350.30.001#
450.10.200#
500.10.001#
500.10.300#
500.10.301#";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Processamento de pedidos de informação prévia#
Realização de auditorias#
Realização de inspeção#
Realização de fiscalização#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Sucessão (sucessor)#
Suplementar#
Suplementar#
Suplementar#";Média;N;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e dos PN 500.10.300 - Realização de inspeção e 500.10.301 - Realização de fiscalização (no que diz respeito à atuação da entidade licenciada)";data do encerramento da farmácia;E;"Critério: Densidade informacional
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade licenciadora);
PN 300.30.008 - Registo de documentos (casos licenciados);
Registo de farmácias (atividade da farmácia).";"DL 171/2012 - Artº 19º A - Registo:
O INFARMED organiza e mantém um registo permanentemente atualizado de cada farmácia e das respetivas vicissitudes";;;;;;;;;;
;450.10.219;Licenciamento de inscrição de grafitos, afixações e picotagens ;;"Atribuição de licença para alterar as características originais de superfícies exteriores de edifícios, pavimentos, passeios, muros e de outras infraestruturas através de grafitos, afixações ou picotagens com caracter artístico, decorativo ou informativo.
Inicia com o pedido e termina com a emissão da licença.
Inclui análise preliminar do pedido, autorização do proprietário, quando devido, apreciação de projeto, cálculo da taxa devida e apresentação do comprovativo do seu pagamento.";Grafitos e afixações em infraestruturas, pavimentos, passeios e muros  em domínio público#;;A afixação e inscrição de mensagens publicitárias devem ser consideradas em 450.10.214 – Licenciamento ou comunicação de publicidade#;Lei 61/2013#;;PC;S;AL#;AP#;Iniciar#;"150.20.300#
150.40.500#
300.30.008#
350.30.001#
500.10.001#
500.10.300#
500.10.301#";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Realização de auditorias#
Realização de inspeção#
Realização de fiscalização#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Suplementar#
Suplementar#
Suplementar#";Reduzida;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
Prazo prescricional do procedimento contraordenacional
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e dos PN 500.10.300 - Realização de inspeção e 500.10.301 - Realização de fiscalização (no que diz respeito à atuação da entidade licenciada)";data do encerramento do processo;C;"Critério: Densidade informacional
Embora a informação relativa à atuação da entidade licenciadora e aos casos licenciados se encontre sintetizada em
PN 150.20.300 - Avaliação de atividades;
PN 150.40.500 - Recolha e tratamento de dados estatísticos para apoio à decisão;
PN 300.30.008 - Registo de documentos.
Não se dispõe de PN sintetizador sobre o projeto licenciado, pelo que aplicando a escala de risco se opta pela conservação.";;;;;;;;;;;
;450.10.220;Licenciamento para a realização de fogueiras e queimadas;;"Atribuição de licença para fazer fogueiras em espaços públicos ou em terrenos privados.
Inicia com o pedido e termina com a emissão da licença.
Inclui consulta de entidades, avaliação das condições meteorológicas, apresentação de informação relativa à estrutura de ocupação do solo, estado de secura dos combustíveis e localização de infraestruturas, cálculo da taxa devida e apresentação do comprovativo do seu pagamento.";"Fogueiras de Natal e dos santos populares#
Queima de sobrantes#
Queimadas para renovação de pastagens#";;;"DL 124/2006#
DL 17/2009#
DL 204/2012#
";;PE;N;AL#;;;"150.20.300#
150.40.500#
300.30.008#
350.30.001#
500.10.001#
500.10.301#";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Realização de auditorias#
Realização de fiscalização#";"Sintese (sintetizado)#
Sintese (sintetizado)#
Sintese (sintetizado)#
Cruzada#
Suplementar#
Suplementar#";Média;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], art. 70º, n.º1)
Prazo prescricional do procedimento contraordenacional
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 (no que diz respeito à atuação da Administração) e dos PN 500.10.300 e  500.10.301 (no que diz respeito à atuação da entidade licenciada)";data da caducidade da licença;E;"Densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade licenciadora) e em PN 300.30.008 - Registo de documentos (casos licenciados)";;;;;;;;;;;
