Ano do diploma;Tipo de diploma;N.º do diploma;Data do diploma;Título / âmbito do diploma;Link;;
1979;Circular PGR;12/79;11 de maio;Organização de processos administrativos. Instauração, tramitação e comunicações;http://www.cej.mj.pt/cej/recursos/ebooks/GestaoProcessual/Gestao_Processual.pdf;;
1979;DL;191-A/79;25 de junho;Revê o Estatuto da Aposentação;https://dre.pt/application/file/432719;;
1979;DL;463/79;30 de novembro;Institui o número fiscal de contribuinte;https://dre.pt/application/file/367297;;
1979;DL;448/79;13 de novembro;Aprova o Estatuto da Carreira Docente Universitária;https://dre.pt/application/file/367742;;
1979;DL;519-F/79;28 de dezembro;Regulamenta o exercício da actividade dos profissionais de informação turística;https://dre.pt/application/file/a/510085;;
1979;Lei;9/79;19 de março;Relativa às bases do ensino particular e cooperativo;https://dre.pt/application/file/383287;;
1979;Lei;14/79;16 de maio;Lei Eleitoral para a Assembleia da República;https://dre.pt/application/file/382556;;
1979;Lei;173/79;6 de junho;Introduz alterações ao Decreto-Lei n.º 111/76, de 7 de Fevereiro, que criou cursos especiais para regentes escolares, professores eventuais e professores de posto;https://dre.pt/application/file/383475;;
1980;Despacho;42/80;4 de setembro;Concessão de subsídios concedidos aos Encarregados de educação de qualquer menor deficiente para reeducação pedagógica ;http://www.seg-social.pt/documents/10152/21553/Desp_42_80/b6558c89-9122-4520-8934-825645c5f2b6/b6558c89-9122-4520-8934-825645c5f2b6;;
1980;DL;267/80;8 de agosto;Lei Eleitoral para a Assembleia Regional dos Açores;https://dre.pt/application/file/470504;;
1980;DL;464/80;13 de outubro ;Estabelece em novos moldes as condições de acesso e de atribuição da pensão social;https://dre.pt/application/file/462096;;
1981;Decreto Regulamentar;52/81;11 de novembro;Actualiza os valores das pensões de invalidez, velhice, sobrevivência e respectivos complementos e alarga o âmbito de aplicação de algumas das referidas prestações;https://dre.pt/application/file/568457;;
1981;Decreto Regulamentar ;14/81;7 de abril;Estabelece disposições relativas à atribuição de um subsídio de educação especial, instituído pelo Decreto-Lei n.º 170/80, de 29 de Maio;https://dre.pt/application/file/389102;;
1981;DL;185/81;1 de julho;Aprova o Estatuto da Carreira do Pessoal Docente do Ensino Superior Politécnico;https://dre.pt/application/file/578610;;
1981;Lei;37/81;3 de outubro;Lei da Nacionalidade;https://dre.pt/application/file/564082;;
1981;Portaria;968/81;12 de novembro;Autoriza a microfilmagem dos documentos que devem manter-se em arquivo no Instituto Nacional da Propriedade Industrial;https://dre.pt/application/file/568237;;
1982;DL;73/82;3 de março;Revoga o Decreto-Lei n.º 219/80, de 11 de Julho (conselhos regionais de cultura);https://dre.pt/application/file/599850;;
1982;DL;74/82;3 de março;Regulamenta o depósito legal;https://dre.pt/application/file/599842;;
1982;DL;143/82;26 de abril;Atribui ao Instituto Geográfico e Cadastral a competência exclusiva para a elaboração e conservação de toda a cartografia básica para a construção da Carta Cadastral do País e dota-o dos instrumentos jurídicos indispensáveis à consecução de tais objectivos;https://dre.pt/application/file/606603;;
1982;DL;401/82;23 de setembro;Institui o regime aplicável em matéria penal aos jovens com idade compreendida entre os 16 e os 21 anos;https://dre.pt/application/file/319824;;
1982;DL;433/82;27 de outubro;Institui o ilícito de mera ordenação social e respectivo processo (contraordenações);https://dre.pt/application/file/376339;;
1983;Decreto do Governo;33/83;11 de maio;Aprova a Convenção sobre os Aspectos Civis do Rapto Internacional de Crianças;https://dre.pt/application/file/450717;;
1983;DL;118/83;25 de fevereiro;Estabelece o funcionamento e o esquema de benefícios da Direcção-Geral de Proteção Social aos Funcionários e Agentes da Administração Pública (ADSE).;https://dre.pt/application/file/311483;;
1983;DL;283/83;21 de junho ;Estabelece os termos em que pode ser requerida a equivalência de habilitações estrangeiras de nível superior às correspondentes habilitações portuguesas;https://dre.pt/application/file/452586;;
1983;DL;321/83;5 de julho;Cria a Reserva Ecológica Nacional;https://dre.pt/application/file/453113;;
1984;Circular PGR;4/84;18 de maio;Organização de processos administrativos nos Tribunais de Trabalho. Excepcionalidade da dispensa;http://www.ministeriopublico.pt/iframe/circulares;;
1984;DL;224/84;6 de julho;Aprova o Código do Registo Predial;https://dre.pt/application/file/591243;;
1984;DL;394-B/84;26 de dezembro;Código do Imposto sobre o Valor Acrescentado (IVA);https://dre.pt/application/file/605467;;
1984;Lei;30/84;5 de setembro;Lei Quadro do Sistema de Informações da República Portuguesa;https://dre.pt/application/file/373729;;
1984;Lei;44/86;30 de setembro;Regime do estado de sítio e do estado de emergência, alterada pela Lei Orgânica 1/2012;https://dre.pt/application/dir/pdf1s/1986/09/22500/27792783.pdf;;
1985;DL;63/85;14  de março;Aprova o Código do Direito de Autor e dos Direitos Conexos;https://dre.pt/application/file/327000;;
1985;DL;446/85;5 de novembro;Altera a fórmula de cálculo de algumas pensões por acidentes de trabalho fixadas anteriormente a 1 de Outubro de 1979, concede o subsídio de Natal aos pensionistas e aclara o esquema de remição de pensões;https://dre.pt/application/file/171621;;
1985;Lei;21/85;30 de julho;Estatuto dos Magistrados Judiciais;https://dre.pt/application/file/393565;;
1986;DL;48/86;13 de março;Define um quadro legal que regule o relacionamento institucional das escolas militares de ensino superior com os estabelecimentos que integram o sistema universitário português;https://dre.pt/application/file/196824;;
1986;DL;172-B/86;30 de junho;Autoriza a emissão de uma nova série de certificados de aforro, denominada «série B», cuja administração fica a cargo da Junta do Crédito Público.;https://dre.pt/application/file/518746;;
1986;DL;243/86;20 de agosto;Aprova o Regulamento Geral de Higiene e Segurança do Trabalho nos Estabelecimentos Comerciais, de Escritório e Serviços;https://dre.pt/application/file/219029;;
1986;DL;262/86;2 de setembro;Aprova o Código das Sociedades Comerciais;https://dre.pt/application/file/220055;;
1986;DL;362/86;28 de outubro;Determina a obrigação do depósito legal na Biblioteca Nacional de um exemplar das teses de doutoramento e mestrado, bem como das dissertações destinadas às provas de aptidão científica e pedagógica das carreiras docentes do ensino superior politécnico e do ensino Universitário;https://dre.pt/application/file/222287;;
1986;DL;403/86;3 de dezembro;Aprova o Código do Registo Comercial;https://dre.pt/application/file/221460;;
1986;Lei;35/86;4 de setembro;Tribunais marítimos;https://dre.pt/application/file/220039;;
1986;Lei;46/86;14 de outubro;Lei de Bases do Sistema Educativo;https://dre.pt/pdf1sdip/1986/10/23700/30673081.pdf;;
1986;Lei;47/86;15 de outubro;Lei Orgânica do Ministério Público;https://dre.pt/application/file/222365;;
1987;DL;78/87;17 de fevereiro;Aprova o Código do Processo Penal. Revoga o Decreto-Lei n.º 16489, de 15 de Fevereiro de 1929;https://dre.pt/application/file/662662;;
1987;DL;387-A/87;29 de dezembro;Aprova o novo regime de júri em processo penal;https://dre.pt/application/file/670166;;
1987;DL;387-B/87;29 de dezembro ;Estabelece o regime de acesso ao direito e aos tribunais;https://dre.pt/application/file/670167;;
1987;Lei;6/87;6 de janeiro;Alarga o processo de formação em serviço dos docentes dos ensinos preparatório e secundário das escolas públicas aos docentes das escolas de ensino particular e cooperativo para efeitos de profissionalização;https://dre.pt/application/file/599670;;
1987;Lei;14/87;29 de abril;Lei Eleitoral para o Parlamento Europeu;https://dre.pt/application/file/a/530519;;
1987;Lei;11/87;7 de abril;Lei de Bases do Ambiente;http://dre.pt/pdf1sdip/1987/04/08100/13861397.pdf;;
1987;RCM;34/87;8 de julho;Aprova o esquema tipo de planos e relatórios anuais dos serviços e organismos da Administração Pública central;https://dre.pt/application/file/420119;;
1988;DL;106/88;31 de março;Aprova o Estatuto da Imprensa Regional;https://dre.pt/application/file/286210;;
1988;DL;272/88;3 de agosto;Equiparação a bolseiro de funcionários e agentes da Administração Pública;https://dre.pt/application/file/378061;;
1988;DL;442-A/88;30 de novembro;Aprova o Código do Imposto sobre o Rendimento das Pessoas Singulares (IRS);https://dre.pt/application/file/518927;;
1988;DL;442-B/88;30 de novembro;Aprova o Código do Imposto sobre o Rendimento das Pessoas Colectivas (IRC);https://dre.pt/application/file/518927;;
1988;DL;447/88;10 de dezembro;Regula a pré-arquivagem de documentação. Revoga o Decreto-Lei n.º 29/72, de 24 de Janeiro;https://dre.pt/application/file/356586;;
1988;DL;453/88;13 de dezembro;Revê o regime jurídico do Fundo de Regularização da Dívida Pública;https://dre.pt/application/file/356639;;
1988;Lei;97/88;17 de agosto;Afixação e inscrição de mensagens de publicidade e propaganda;http://dre.pt/pdf1sdip/1988/08/18900/33963398.pdf;;
1988;RCM;50/88;3 de dezembro;Aprova as instruções sobre a segurança de matérias classificadas (SEGNAC);https://dre.pt/application/file/357047;;
1989;Despacho Normativo;96/89;21 de outubro;Estabelece as Normas Reguladoras das Condições de Instalação e Funcionamento dos Centros de atividades de Tempos Livres com Fins Lucrativos;http://dre.pt/pdf1sdip/1989/10/24300/46494651.pdf;;
1989;DL;64/89;25 de fevereiro;Estabelece o regime de contraordenação no sistema de segurança social;http://dre.pt/pdf1sdip/1989/02/04700/08410845.pdf;;
1989;DL;139/89;28 de abril;Altera o Decreto-Lei n.º 357/75, de 8 de Julho, relativo à proteção ao relevo natural, solo arável e revestimento vegetal;https://dre.pt/pdf1sdip/1989/04/09800/17811782.pdf;;
1989;DL;215/1989;1 de julho;Aprova o Estatuto dos Benefícios Fiscais;https://dre.pt/application/file/620846;;
1989;DL;282/89;23 de agosto;Regula a concessão de equiparação a bolseiro fora do País;https://dre.pt/application/file/618427;;
1989;DL;286/89;29 de agosto;Aprova os planos curriculares dos ensinos básico e secundário;https://dre.pt/application/file/618228;;
1989;Resolução da Assembleia da República;23/89;21 de agosto;Aprova, para ratificação, a Convenção Europeia de Extradição, assinada em Estrasburgo em 27 de Abril de 1977, e os seus dois Protocolos Adicionais, assinados em Estrasburgo em 27 de Abril de 1977 e em 27 de Abril de 1978;https://dre.pt/application/file/618463;;
1989;RCM;37/89;24 de outubro;Aprova as normas para a segurança nacional, salvaguarda e defesa das matérias classificadas, segurança industrial, tecnológica e de investigação - SEGNAC 2;https://dre.pt/application/file/549331;;
1990;Decreto Regulamentar;2/90;12 de janeiro;Estabelece o regime das reintegrações e amortizações para efeitos do Imposto Sobre o Rendimento das Pessoas Colectiva;https://dre.pt/application/file/333709;;
1990;Decreto Regulamentar;41/90;29 de novembro;Regulamenta a composição, a competência e o fucionamento da junta médica da ADSE;http://dre.pt/pdf1sdip/1990/11/27600/49024905.pdf;;
1990;DL;291/90;20 de setembro ;Estabelece o regime de controlo metrológico de métodos e instrumentos de medição;https://dre.pt/application/file/a/557502;;
1990;DL;322/90;18 de outubro;Define e regulamenta a proteção na eventualidade da morte dos beneficiários do regime geral de segurança social (revoga a secção VII do capítulo V do Decreto n.º 45266, de 23 de Setembro de 1963, e o Regulamento Especial do Regime de Pensões de Sobrevivência, públicado no Diário do Governo, 2.ª série, n.º 21, de 26 de Janeiro de 1971);https://dre.pt/application/file/565490;;
1990;DL;324/90;19 de outubro;Altera o Decreto-Lei n.º 453/88, de 13 de Dezembro (Fundo de Regularização da Dívida Pública);https://dre.pt/application/file/565508;;
1990;DL;330/90;23 de outubro;Aprova o Código da Publicidade;https://dre.pt/pdf1sdip/1990/10/24500/43534357.pdf;;
1990;DL;335/90;29 de outubro;Reconhecimento, no âmbito do sistema de segurança social português, dos períodos contributivos verificados nas caixas de previdência de inscrição obrigatória dos territórios das ex-colónias portuguesas.;https://dre.pt/application/file/565910;;
1990;Lei;10/90;17 de março;Lei de Bases do Sistema de Transportes Terrestres;http://dre.pt/pdf1sdip/1990/03/06400/13061314.pdf;;
1990;Lei;48/90;24 de agosto;Lei de Bases da Saúde;https://dre.pt/application/file/574059;;
1990;Resolução da Assembleia da República; 28/90;23 de outubro;Aprova para ratificação a Carta Europeia de Autonomia Local, concluída em Estrasburgo, a 15 de Outubro;https://dre.pt/application/file/a/565346;;
1990;RCM;5/90;28 de fevereiro;Aprova as instruções sobre a segurança informática (SEGNAC 4);https://dre.pt/application/file/307523;;
1991;Decisão do Conselho (CEE);315/91;26 de junho;Institui um programa de opções específicas para fazer face ao afastamento e à insularidade da Madeira e dos Açores (Poseima).;http://eur-lex.europa.eu/legal-content/PT/TXT/PDF/?uri=CELEX:31991D0315&from=EN;;
1991;Despacho;7/SESS/1991;24 de janeiro;Estabelece orientações e regras que visam facilitar a aplicação, de forma harmonizada, do Dec.Lei 322/90, de 18-10, que reformulou globalmente as prestações por morte no âmbito dos regimes se segurança social.;http://www.seg-social.pt/documents/10152/1933503/Desp_7_SESS_91/fdbc91e0-148c-4cef-a121-98bdd21f5151?version=1.0;;
1991;DL;404/91;16 de outubro;"Estabelece o novo regime jurídico do trabalho em comissão de
serviço";http://dre.pt/pdf1sdip/1991/10/238A00/53865387.pdf;;
1991;DL;438/91;9 de novembro;Aprova o Código das Expropriações;https://dre.pt/pdf1sdip/1991/11/258A00/57465758.pdf;;
1991;DL;441/91;14 de novembro;Estabelece o regime jurídico do enquadramento da segurança, higiene e saúde no trabalho;https://dre.pt/application/file/316810;;
1991;DL;442/91;15 de novembro;Aprova o Código de Procedimento Administrativo;https://dre.pt/application/file/317017;;
1991;DL;448/91;29 de novembro;Aprova o regime jurídico dos loteamentos urbanos. Revoga o Decreto-Lei n.º 400/84, de 31 de Dezembro;https://dre.pt/application/file/308803;;
1991;Lei;53/91;26 de janeiro;Procede à abolição do registo e da taxa de televisão. Altera o Estatuto da RTP, E. P., aprovado pelo Decreto-Lei n.º 321/80, de 22 de Agosto, e revoga os Decretos-Leis n.os 401/79 e 38/88, respetivamente de 21 de Setembro e de 6 de Fevereiro;https://dre.pt/application/file/508174;;
1991;Lei;43/91;27 de julho;Lei Quadro do Planeamento;http://dre.pt/pdf1sdip/1991/07/171A00/37333734.pdf;;
1991;Lei;108/91;17 de agosto;Cria o Conselho Económico e Social;https://dre.pt/pdf1sdip/1991/08/188A00/41994202.pdf;;
1991;Lei;114/91;3 de setembro;Altera o Código do Direito de Autor e dos Direitos Conexos;https://dre.pt/application/file/305348;;
1992;Despacho Normativo ;75/92;20 de maio ;Estabelece normas reguladoras de cooperação entre os centros regionais de segurança social e as instituições particulares de solidariedade social. Revoga os Despachos Normativos n.os 12/88, de 12 de Março, e 118/84, de 8 de Junho;https://dre.pt/application/file/523116;;
1992;DL;90/92;21 de maio;Regulamento o funcionamento do Conselho Económico e Social;https://dre.pt/pdf1sdip/1992/05/117A00/23852389.pdf;;
1992;DL;121/92;2 de julho;Estabelece os princípios de gestão de documentos relativos a recursos humanos, recursos financeiros e recursos patrimoniais dos serviços da administração direta e indireta do Estado;https://dre.pt/application/file/291744;;
1992;DL;155/92;28 de julho;Estabelece o regime da administração financeira do Estado;https://dre.pt/application/file/275522;;
1992;DL;177/92;13 de agosto ;Estabelece o regime de prestação de assistência médica no estrangeiro aos beneficiários do Serviço Nacional de Saúde;https://dre.pt/application/file/283201;;
1992;DL;258/92;20 de novembro;Estabelece normas relativas ao processo de implantação de grandes superfícies comerciais;http://dre.pt/pdf1sdip/1992/11/269A00/53545358.pdf;;
1992;Lei;7/92;12 de maio;ei sobre Objecção de Consciência;https://dre.pt/application/file/527144;;
1992;Portaria;1005/92;23 de outubro;Aprova as normas técnicas de proteção dos animais utilizados para fins experimentais e outros fins científicos;https://dre.pt/application/file/220417;;
1992;Regulamento (CEE);2913/92;12 de outubro;Estabelece o Código Aduaneiro Comunitário (CAC);http://eur-lex.europa.eu/legal-content/PT/TXT/?uri=CELEX:31992R2913;;
1993;DL;15/93;22 de janeiro;Legislação de combate à droga;https://dre.pt/application/file/585108;;
1993;DL;16/93;23 de janeiro;Estabelece o regime geral dos arquivos e do património arquivístico;https://dre.pt/pdf1sdip/1993/01/019A00/02640270.pdf;;
1993;DL;234/93;2 de julho;Estabelece o Sistema Português da Qualidade;http://dre.pt/pdf1sdip/1993/07/153A00/36403645.pdf;;
1993;DL;236/93;3 de julho;Altera o Decreto-Lei n.º 453/88, de 13 de Dezembro (revê o regime jurídico do Fundo de Regularização da Dívida Pública);https://dre.pt/application/file/373536;;
1993;DL;383/93;18 de novembro ;Estabelece os requisitos a que devem obedecer o fabrico, a comercialização e a colocação em serviço dos instrumentos de pesagem de funcionamento não automático;https://dre.pt/application/file/a/676516;;
1993;ISO; 10957/1993;;Information and documentation - International standard music number (ISMN);http://www.iso.org/iso/iso_catalogue/catalogue_tc/catalogue_detail.htm?csnumber=18931;;
1993;Portaria;286/93;3 de dezembro;Fixa os valores limites e os valores guias no ambiente para o dióxido de enxofre, partículas em suspensão, dióxido de azoto e monóxido de carbono;https://dre.pt/application/file/634817;;
1993;Regulamento;s/nº;31 de agosto;"Regulamento Interno da Comissão Permanente de Concertação Social; Diário da República n.º 204/1993, 3º Suplemento, Série II de 1993-08-31";http://www.ces.pt/download/10/CPCS_Regulamento.pdf;;
1993;Regulamento (CEE);2454/93;2 de julho;Fixa determinadas disposições de aplicação do Regulamento (CEE) n° 2913/92 do Conselho que estabelece o Código Aduaneiro Comunitário;http://eur-lex.europa.eu/legal-content/PT/TXT/?uri=celex%3A31993R2454;;
1993;RCM;13/93;6 de março;Altera as instruções para a segurança nacional, salvaguarda e defesa das matérias classificadas (SEGNAC 1), aprovadas pela Resolução do Conselho de Ministros n.º 50/88, de 3 de Dezembro;https://dre.pt/application/file/629052;;
1994;Decreto Regulamentar;61/94;12 de outubro;Regulamenta o Decreto-Lei n.º 15/93, de 22 de Janeiro (revê a legislação de combate à droga);https://dre.pt/application/file/619224;;
1994;DL;114/94;3 de maio;Aprova o Código da Estrada;https://dre.pt/application/file/250679;;
1994;DL;244/94;26 de setembro;Regula o Registo Nacional de não Dadores;https://dre.pt/application/file/606446;;
1994;DL;252/94;20 de outubro;Transpõe para a ordem jurídica interna a Diretiva n.º 91/250/CEE, do Conselho, de 14 de Maio, relativa ao regime de proteção jurídica dos programas de computador;https://dre.pt/application/file/625908;;
1994;DL;317/94;24 de dezembro;Organiza o registo individual do condutor;https://dre.pt/application/file/575227;;
1994;Lei;14/94;11 de maio;Altera, por ratificação, o Decreto-Lei n.º 16/93, de 23 de Janeiro;https://dre.pt/application/file/255733;;
1994;Lei;36/94;29 de setembro;Medidas de combate à corrupção e criminalidade económica e financeira;https://dre.pt/application/file/609228;;
1994;RCM;16/94;22 de março;Aprova as instruções para a segurança das telecomunicações (SEGNAC 3);https://dre.pt/application/file/283037;;
1995;Aviso;302/95;18 de outubro;Torna público ter, por nota de 1 de Setembro de 1995 e nos termos do artigo 45.º da Convenção sobre os Aspectos Civis do Rapto Internacional de Crianças, o Ministério dos Negócios Estrangeiros do Reino dos Países Baixos notificado ter Portugal modificado a sua autoridade central, designada para Instituto de Reinserção Social;https://dre.pt/application/file/668995;;
1995;Decreto Regulamentar;23/95;23 de agosto;Aprova o Regulamento Geral dos Sistemas Públicos e Prediais de Distribuição de Água e de Drenagem de Águas Residuais;http://dre.pt/pdf1sdip/1995/08/194B00/52845319.pdf;;
1995;Decreto Regulamentar;34/95;16 de dezembro;Aprova o Regulamento das Condições Técnicas e de Segurança dos Recintos de Espetáculos e Divertimentos Públicos;https://dre.pt/application/file/634812;;
1995;Despacho;22/95;8 de setembro;Cria o Centro Nacional de Dadores de Células de Medula Óssea, Estaminais ou de Sangue do Cordão (CEDACE) como estrutura coordenadora nacional dos registos de dadores existentes nos centros de histocompatibilidade. O CEDACE funciona no centro de histocompatibilidade do sul.;http://ipst.pt/files/IPST/LEGISLACAO/Legislacao_Nacional/Legislacao_Transplantacao/Despacho_22_1995.pdf;;
1995;DL; 2/95;14 de janeiro;Altera o Decreto-Lei nº 453/88, de 13 de Dezembro (revê o regime jurídico do Fundo de Regularização da Dívida Pública);https://dre.pt/application/file/147318;;
1995;DL;15/95;24 de janeiro;Aprova normas referentes ao Instituto Nacional da Propriedade Industrial e ao exercício da actividade de agente da propriedade industrial e procurador autorizado;https://dre.pt/application/file/139335;;
1995;DL;48/95;15 de março;Aprova o Código Penal;https://dre.pt/application/file/185779;;
1995;DL;54/95;22 de março;Regulamento da Contribuição Especial, devida pela valorização de imóveis decorrente da realização da EXPO 98;https://dre.pt/application/file/166771;;
1995;DL;81/95;22 de abril;Prevê a criação de brigadas anticrime e de unidades mistas de coordenação integrando a Polícia Judiciária, a Guarda Nacional Repúblicana, a Polícia de Segurança Pública, o Serviço de Estrangeiros e Fronteiras e a Direcção-Geral das Alfândegas.;https://dre.pt/application/file/223512;;
1995;DL;131/95;6 de junho;Aprova o Código do Registo Civil;https://dre.pt/application/file/521173;;
1995;DL;149/95;24 de junho;Altera o regime jurídico do contrato de locação financeira;https://dre.pt/application/file/475419;;
1995;DL;193/95;28 de julho ;Estabelece os princípios e normas a que deve obedecer a produção cartográfica no território nacional;https://dre.pt/application/file/484691;;
1995;DL;198/95;29 de julho;Cria o cartão de identificação do utente do Serviço Nacional de Saúde;https://dre.pt/application/file/484513;;
1995;DL;207/95;14 de agosto;Aprova o Código do Notariado;https://dre.pt/application/file/478087;;
1995;DL;236/95;13 de setembro;Regula a situação dos contribuintes que estejam a regularizar as suas dívidas à Fazenda Nacional;https://dre.pt/pdf1sdip/1995/09/212A00/57545755.pdf;;
1995;DL;244/95;14 de setembro;Altera o Decreto-Lei n.º 433/82, de 27 de Outubro (institui o ilícito de mera ordenação social e respectivo processo);http://dre.pt/pdf1sdip/1995/09/213A00/57825801.pdf;;
1995;Lei;83/95;31 de agosto;Direito de participação procedimental e de ação popular;https://dre.pt/application/file/548499;;
1995;Lei;92/95;12 de setembro;Proteção aos animais;https://dre.pt/application/file/562301;;
1995;Portaria;1093/95;6 de setembro;Incumbe o Gabinete de Direito Europeu de organizar e manter actualizado o registo das cláusulas contratuais abusivas;https://dre.pt/application/file/551496;;
1996;DL;6/96;31 de janeiro;Altera o Código do Procedimento Administrativo;https://dre.pt/application/file/604770;;
1996;DL;48/96;15 de maio;Estabelece um novo regime dos horários de funcionamento dos estabelecimentos comerciais;https://dre.pt/application/file/468964;;
1996;DL;126/96;10 de agosto;Altera o n.º 2 do artigo 4.º e o n.º 4 do artigo 5.º do Decreto-Lei n.º 48/96, de 15 de Maio (estabelece o novo regime de horários de funcionamento dos estabelecimentos comerciais);https://dre.pt/application/file/405634;;
1996;DL;158/96;3 de setembro;Aprova a Lei Orgânica do Ministério das Finanças;https://dre.pt/application/file/241151;;
1996;DL;183/96;27 de setembro;Define os princípios a que deve obedecer a elaboração do plano e relatório anual de atividades dos serviços e organismos da Administração Pública;https://dre.pt/application/file/213763;;
1996;DL;190/96;9 de outubro;Regulamenta a elaboração do balanço social na Administração Pública;https://dre.pt/application/file/233034;;
1996;Lei;24/96;20 de março;Institui um novo enquadramento legal das participações de entes comunitários no capital de sociedades reprivatizadas, em processo de reprivatização ou a reprivatizar;https://dre.pt/application/file/425435;;
1996;Lei;31/96;14 de agosto;Televisão e rádio nas Regiões Autónomas;https://dre.pt/application/file/405814;;
1996;Lei;33/96;17 de agosto;Lei de Bases da Política Florestal;https://dre.pt/application/file/406244;;
1996;Portaria;732-A/96;11 de dezembro;Aprova o Regulamento para a Notificação de Substâncias Químicas e para a Classificação, Embalagem e Rotulagem de Substâncias Perigosas;https://dre.pt/application/file/403255;;
1997;Decreto;59/97;31 de outubro;Aprova, para ratificação, a Convenção para a Proteção do Meio Marinho do Atlântico Nordeste, adoptada em Paris, no âmbito da reunião ministerial das Comissões de Oslo e Paris, em 22 de Setembro de 1992;https://dre.pt/application/file/674567;;
1997;Decreto Regulamentar;5/97;31 de março;Aprova o Regulamento das Condições Técnicas e de Segurança dos Recintos com Diversões Aquáticas;https://dre.pt/application/file/527696;;
1997;Despacho MJ;248/96;7 de janeiro;"Aprova o Regulamento dos Serviços de Piquete e de Unidades de Prevenção ou Turnos de Funcionários da Polícia Judiciária, públicado em anexo. 
DESPACHO N.º 248/MJ/96 - DIÁRIO DA REPÚBLICA N.º 5/1997, SÉRIE II DE 1997-01-07, Pág. 182";https://dre.pt/web/guest/analisejuridica/-/aj/publicDetails/maximized?p_auth=SVWqvrH1&p_p_auth=3qCLvHzE&diplomaId=1199028&mode=pdt;;
1997;DL;73/97;3 de abril;Cria o número de telefone 112 como número nacional de emergência, de utilização gratuita, de acesso preferencial aos vários sistemas de emergência e cobrindo todo o território nacional.;https://dre.pt/application/file/526713;;
1997;DL;84/97;16 de abril;Transpõe para a ordem jurídica interna as Diretivas do Conselho n.º 90/679/CEE, de 26 de Novembro, e 93/88/CEE, de 12 de Outubro, e a Diretiva n.º 95/30/CE, da Comissão, de 30 de Junho, relativas à proteção da segurança e saúde dos trabalhadores contra os riscos resultantes da exposição a agentes biológicos durante o trabalho;https://dre.pt/application/file/468681;;
