Estado;Código;Título;Descrição;Notas de aplicação;Exemplos NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;;;
;900.10.500.02;Organização e participação em homenagens e cerimónias comemorativas: realização;"Concretização das ações necessárias à execução de atividades comemorativas.
Inicia com a operacionalização da decisão e termina com a conclusão da atividade.
Inclui, entre outras, a logística e organização do espaço.";;;;;;;;;;;;;;;;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;E;"Densidade informacional:
Informação sintetizada em
PN 150.20.300 - Avaliação de atividades
PN 300.30.008 - Registo de documentos e informação
PN 900.10.500.01 - Organização e participação em homenagens e cerimónias comemorativas: preparação";;;;
;900.10.501;Organização e participação em iniciativas de partilha e debate crítico;"Preparação e execução ou intervenção  em atividades de divulgação e troca de ideias técnicas, científicas, culturais, políticas, sociais, ambientais ou outras.
Inicia com a proposta ou o pedido de participação e termina com a conclusão da atividade..
Inclui, entre outras, o planeamento, a logística e organização do espaço ou materiais, a definição dos meios de divulgação e a produção.";Apresentações em público e outras atividades especializadas ou de natureza técnica ou académica sobre algum tema concreto#;;"A aquisição de bens ou serviços deve ser considerado em 300.10.005 – Transação e transmissão de bens móveis não culturais e contratação de serviços#
As questões de segurança devem ser consideradas em 550#10 - Segurança pública#
As campanhas de saúde com intervenção clínica devem ser consideradas em 700.20.101 – Realização de ações de promoção da saúde#
A divulgação, bem como a eventual publicação de atas deve ser considerada em 900.20.201 – Edição e publicação de conteúdos#";;;PC;S;AP#;AP#;Assessorar#;"150.20.101#
150.20.300#
500.10.001#
800.20.001#
800.20.002#
800.20.500#
900.20.001#
900.20.002#
900.20.200#
900.20.201#";"Planeamento estratégico de atividades#
Avaliação de atividades#
Realização de auditorias#
Realização de estudos de investigação básica#
Execução de projetos de investigação aplicada#
Desenvolvimento experimental e aplicacional#
Criação de imagem e identidade gráficas#
Criação de produtos e artigos promocionais#
Conceção de conteúdos institucionais para divulgação#
Edição e publicação de conteúdos#";"Sucessão (sucessor)#
Síntese (sintetizado)#
Suplementar#
Cruzada#
Cruzada#
Cruzada#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão(antecessor#
Sucessão(antecessor#";Reduzida;N;;;;;;;;;;
;900.10.501.01;Organização e participação em iniciativas de partilha e debate crítico: preparação;"Planeamento e programação  de iniciativas de partilha e debate crítico.
Inicia com a proposta e termina com a decisão relativa à execução da atividade.
Inclui o cronograma, a identificação dos intervenientes e a definição dos recursos a utilizar.";;;;;;;;;;;;;;;;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;C;"Densidade informacional:
Informação não recuperável noutro PN.";;;;
;900.10.501.02;Organização e participação em iniciativas de partilha e debate crítico: realização;"Concretização das ações necessárias à execução de iniciativas de partilha e debate crítico.
Inicia com a operacionalização da decisão e termina com a conclusão da atividade.
Inclui, entre outras, a logística, os convites e a organização do espaço.";;;;;;;;;;;;;;;;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;E;"Densidade informacional:
Informação sintetizada em
PN 150.20.300 - Avaliação de atividades
PN 900.10.501.01 - Organização e participação em iniciativas de partilha e debate crítico: preparação";;;;
;900.10.502;Organização e participação em iniciativas de prevenção e sensibilização;"Preparação e execução ou intervenção   em ações que pretendem esclarecer, alertar ou prevenir riscos com o objetivo de alterar determinados comportamentos de natureza social, cultural ou cívica.
Inicia com a proposta ou o pedido de participação e termina com a apreciação do relatório de execução da atividade.
Inclui definição dos materiais informativos, distribuição e afetação de recursos, logistica da ação.";Sessões de abordagem direta à população ou a públicos-alvo#;;A conceção dos materiais e conteúdos informativos deve ser considerada em 900.20.200 – Conceção de conteúdos institucionais para divulgação#;;;PC;S;AP#;AP#;Assessorar#;"150.20.103#
150.20.300#
300.10.005#
300.30.008#
500.10.001#
900.20.001#
900.20.002#
900.20.200#
900.20.201#";"Planeamento operacional de atividades#
Avaliação de atividades#
Transação e transmissão de bens móveis não culturais e contratação de serviços#
Registo de documentos e informação#
Realização de auditorias#
Criação de imagem e identidade gráficas#
Criação de produtos e artigos promocionais#
Conceção de conteúdos institucionais para divulgação#
Edição e publicação de conteúdos#";"Sucessão (sucessor)#
Síntese (sintetizado)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Suplementar#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão(antecessor)#
Sucessão(antecessor)#";Média;N;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;E;"Densidade informacional:
Informação sintetizada em
PN 150.20.300 - Avaliação de atividades
PN 300.30.008 - Registo de documentos e informação";;;;
;900.10.503;Organização e participação em iniciativas de promoção ou divulgação de produtos e serviços;"Preparação e execução ou intervenção em atividades que estimulam o interesse ou dão a conhecer modos de vida, produtos ou serviços.
Inicia com a proposta de realização ou o pedido de participação e termina com a apreciação do relatório de execução da atividade.
Inclui, entre outras, o planeamento, a seleção dos participantes, articulação entre entidades,  a logística e organização do espaço ou materiais, a definição dos meios de divulgação e a produção.";;;"A realização de ações de promoção da imagem de Portugal no estrangeiro, e de países estrangeiros em Portugal, deve ser considerada em 200.30.600 – Apoio à internacionalização e à promoção do país#
A aquisição de bens ou serviços deve ser considerado em 300.10.005 – Transação e transmissão de bens móveis não culturais e contratação de serviços#
O processamento de despesas e receitas deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#
A mera publicitação de iniciativas de terceiros deve ser considerada em 900.10.504 - Publicitação de iniciativas e atividades de terceiros#";"Lei 47/2014#
Lei 10/2013#
DL 67/2003#";;PC;S;AP#;AP#;Assessorar#;"150.20.103#
150.20.300#
300.10.005#
300.30.008#
500.10.001#
900.20.001#
900.20.002#
900.20.200#
900.20.201#";"Planeamento operacional de atividades#
Avaliação de atividades#
Transação e transmissão de bens móveis não culturais e contratação de serviços#
Registo de documentos e informação#
Realização de auditorias#
Criação de imagem e identidade gráficas#
Criação de produtos e artigos promocionais#
Conceção de conteúdos institucionais para divulgação#
Edição e publicação de conteúdos#";"Sucessão (sucessor)#
Síntese (sintetizado)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Sucessão(antecessor)#
Sucessão(antecessor)#
Suplementar#
Sucessão(antecessor)#
Sucessão(antecessor)#";Média;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;E;"Densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades
PN 300.30.008 - Registo de documentos e informação";;;;
;"900.10.504

";Publicitação de iniciativas e atividades de terceiros;"Divulgação de iniciativas e atividades de outras entidades.
Inicia com o pedido de publicitação e termina com a decisão sobre a  publicitação.
Inclui  a análise do pedido.";Quando não há qualquer intervenção no processo para além da publicitação da atividade ou iniciativa#;;"A aquisição de bens ou serviços deve ser considerado em 300.10.005 – Transação e transmissão de bens móveis não culturais e contratação de serviços#
A divulgação de atividades ou serviços de terceiros que envolva participação ativa da administração deve ser considerada em 900.10.503 – Organização e participação em iniciativas de promoção ou divulgação de produtos e serviços#";;;PC;S;AP#;AP#;Comunicar#;"150.20.101#
150.20.300#
300.10.005#
300.30.008#
900.20.200#
900.20.201#";"Planeamento operacional de atividades#
Avaliação de atividades#
Transação e transmissão de bens móveis não culturais e contratação de serviços#
Registo de documentos e informação#
Conceção de conteúdos institucionais para divulgação#
Edição e publicação de conteúdos#";"Sucessão (sucessor)#
Síntese (sintetizado)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Sucessão(antecessor)#
Sucessão(antecessor)#";Média;N;1;;Utilidade administrativa: a utilidade do PN esgota-se na comunicação do ato.;Data de encerramento do processo;E;"Densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades
PN 300.30.008 - Registo de documentos e informação";;;;
;900.10.505;Organização e participação em cerimónia religiosa;"Preparação e execução ou intervenção em iniciativas de cariz religioso.
Inicia com o pedido de organização ou de participação em ato espiritual ou religioso e termina com a realização ou participação no ato.
Inclui identificação do ato, programação, definição dos recursos a utilizar.";"Organização das celebrações espirituais e religiosas em estabelecimento prisional#
Cerimónias religiosas em centros educativos#
Cerimónias religiosas em  hospitais e outros estabelecimentos do Serviço Nacional de Saúde# Cerimónias religiosas em estabelecimentos das Forças Armadas e Forças de Segurança#
Procissões religiosas comemorativas dos padroeiros#";;As questões de segurança devem ser consideradas em 550.10 - Segurança pública#;"DL 253/2009#
DL 252/2009#
DL 251/2009#
Lei 16/2001#
Lei 67/98#

";;PE;N;"EP#
CE#
HH#
FA#
FS#
IES#";;;"150.10.700#
150.10.701#
150.20.300#
300.10.005#
500.10.001#";"Reunião de órgãos deliberativos#
Reunião de órgãos executivos#
Avaliação de atividades#
Transação e transmissão de bens móveis não culturais e contratação de serviços#
Realização de auditorias#";"Cruzada#
Cruzada#
Síntese (sintetizado)#
Sucessão (sucessor)#
Suplementar#
";Reduzida;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;E;"Densidade informacional:
Informação sintetizada no
PN 150.20. 300 - Avaliação de atividades";;;;
;900.20;Execução de atividades de comunicação institucional;"Compreende o conjunto de ações que visam a criação e promoção da imagem da instituição, bem como a administração estratégica dos contactos e do relacionamento entre a organização e os diferentes públicos que com ela se relacionam e interagem.
Considerar a criação de identidade/imagem gráfica, a atividade editorial que suporta a publicação de conteúdos institucionais, o tratamento de informação públicada nos meios de comunicação social e na internet, a preparação de informação destinada à comunicação social, à internet e à intranet e, ainda, a conceção e produção de campanhas publicitárias e artigos promocionais.
Compreende, ainda, o processamento de pedidos de informação/esclarecimento dirigidos por qualquer entidade, nacional ou estrangeira, aos serviços públicos (incluindo os pedidos apresentados por grupos parlamentares ou deputados).";"Mensagens de cortesia#
Convites institucionais (quando não incluídos no processo de organização de evento)#
Criação de logótipo e de linha gráfica (do organismo, da região, do produto, do programa, do serviço, do evento ou outros)#
Gestão de conteúdos para a internet e intranet#
Publicações, em papel ou suporte eletrónico, de estudos, relatórios, boletins ou folhetos informativos#
Comunicados e notas de imprensa, entrevistas aos meios de comunicação social#
Criação de spots publicitários para divulgação nos meios de comunicação social#
Cartazes#
Edição de reproduções de peças do património cultural#
Qualquer tipo de objeto promocional (canetas, camisolas, etc.)#
Resposta a pedidos de informação#
Bases de dados de contactos institucionais#";;"O processamento dos pedidos/requisições de acesso a documentos devem ser considerados em ""Administração de direitos, bens e serviços/ Utilização, exploração e rentabilidade"" (300.50).#
Não confundir com pedidos de parecer no âmbito dos processos de negócio em que o organismo participa, os quais devem ser considerados na área respetiva.#
Atividades como, por exemplo, edições para a divulgação de autores portugueses, devem ser consideradas em ""Dinamização e comunicação institucional/ Execução de atividades de dinamização da sociedade"" (900.10).#";;;;;;;;;;;;;;;;;;;;;;
;900.20.001;Criação de imagem e identidade gráficas;"Conceção e consolidação da imagem gráfica uniformizada a utilizar por uma instituição, de modo a permitir o seu reconhecimento.
Inicia com a decisão de criar ou de mudar a imagem e termina com a divulgação oficial dos objetos gráficos concebidos.
Inclui criação e apresentação de propostas de imagem gráfica e a seleção do objeto gráfico.";;;A aquisição de serviços e produtos deve ser considerada em 300.10.005 – Transação e transmissão de bens móveis não culturais e contratação de serviços#;;;PC;N;AP#;;;"300.10.005#
400.10.606#
500.10.001#
900.10.001#
900.10.002#
900.10.501#
900.10.502#
900.10.503#";"Transação e transmissão de bens móveis não culturais e contratação de serviços#
Registo de marcas e outros sinais distintivos de comércio#
Realização de auditorias#
Conceção e realização de atividades ou acontecimentos artísticos#
Conceção e realização de atividades desportivas ou recreativas#
Organização e participação em iniciativas de partilha e debate crítico#
Organização e participação em iniciativas de prevenção e sensibilização#
Organização e participação em iniciativas de promoção ou divulgação de produtos e serviços#";"Sucessão (antecessor)#
Sucessão (antecessor)#
Suplementar#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (sucessor)#";Reduzida;N;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).";Data de encerramento do processo;C;"Densidade informacional:
Informação não recuperável noutro PN.";;;;
