Estado;Código;Título;Descrição;Notas de aplicação;Exemplos NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Normalização Forma de contagem do prazo de cons. adm.;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;

;700.10.004;Registo de utilizadores de unidades de saúde;"Inscrição de utilizadores de unidades de saúde privadas ou de caráter social.
Inicia com a manifestação do interesse ou necessidade de utilização de uma unidade de saúde e termina com o fim do interesse ou necessidade.
Inclui identificação de utilizador, verificação do sistema de apoio à doença utilizado e registo de dados.";Atualização de dados para registo#;;O registo nacional de utente de saúde deve ser considerado em “Prestação de serviços de identificação e registo / Registo de dados de identificação e caracterização de entidades ou atos” (400.10)#;Lei 102/2009#;;PE;S;"UPCS#
INSA#
SMT#
HH#
";"ACES#
AL#";"Assessorar#
Iniciar#";"150.20.300#
400.10.040#
450.30.500#
500.10.301#
700.10.001#
700.10.006#
700.10.002#
700.10.003#

";"Avaliação de atividades#
Registo nacional de utentes#
Certificação de doença, aptidão ou incapacidade#
Realização de fiscalização#
Referenciação de utentes para consultas#
Registo clinico de utentes#
Referenciação para a rede de cuidados continuados integrados#
Referenciação de utentes para cirurgias#

";"Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Suplementar#
Cruzada#
Síntese (sintetizado)#
Cruzada#
Cruzada#

";Elevada;N;5;;"#Critério legal:
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social, artº 27).
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.301 (Realização de fiscalização).";Data de conclusão do procedimento;Data da última atualização do registo;E;"#Critério de densidade informacional:
A informação está sintetizada e é recuperável no PN 700.10.006 - Registo Clinico de utentes.";"Legal - O processo clínico/ficha clínica (PC/FC) é constituído pelos dados individuais e administrativos do trabalhador, anamnese profissional, o exame objectivo sistemático e a vigilância biológica quando adequada. Deve incluir também o rastreio dos efeitos precoces e reversíveis, bem como a análise comparada dos dados clínicos e pessoais com as exigências de trabalho, carga de trabalho e avaliação dos factores de risco em que o trabalhador está exposto. Este PC/FC está sujeito ao segredo profissional e de acordo com a alínea c), ponto 2, artigo 88º, Lei 102/2009 de 10 de Setembro, deverá, aquando da cessação do contrato de actividade de uma dada empresa ou do médico do trabalho, ser transmitido ao médico do trabalho da nova empresa. Este princípio da transmissão da informação clínica por cessação da actividade é do interesse do trabalhador e salvaguarda os seus direitos à informação, conforme o referem os artigos 101º e 103º do Código Deontológico da Ordem dos Médicos. Esta prática deve constar do manual de procedimentos no capítulo da gestão da informação.

Nota: Os PC/FC dos trabalhadores sujeitos ao risco de doença profissional devem ser guardados pelo um período de 40 anos e com a cessação da actividade do trabalhador devem ser remetidos para o serviço com competência para o reconhecimento das doenças profissionais na área da segurança social (n.º 5 do artigo 109º, Lei 102/2009 de 10 de Setembro).
";

;"700.10.005

";Referenciação de utilizadores expostos a agentes biológicos perigosos;"A identificação dos trabalhadores expostos a agentes biológicos perigosos, com a indicação da natureza e, se possível, do agente e do grau de exposição.
Inicia com a inscrição do trabalhador e termina com o registo exposição a agentes biológicos.
Inclui os resultados da vigilância da saúde de cada trabalhador com referência ao respetivo posto de trabalho ou função e o registo de acidentes ou incidentes.
";"Registos efetuados por entidades empregadoras que tenham trabalhadores que possam estar expostos a agentes suscetíveis de implicar riscos para o património genético#
Referenciação de trabalhadores que lidam com materiais insalubres e com agentes biológicos nocivos# ";;O registo nacional de utente de saúde deve ser considerado em “Prestação de serviços de identificação e registo / Registo de dados de identificação e caracterização de entidades ou atos” (400.10)#;"Diretiva (CE) 54/2000#
DL 84/97#
Lei 102/2009#";;PC;S;ACT#;"AP#
UPCS#";"Iniciar#
Assessorar#";"400.10.040#
250.20.001#
700.10.006#";"Registo nacional de utentes#
Registo biográfico de trabalhadores#
Registo clinico de utentes#";"Cruzada#
Síntese (sintetizado)#
Síntese (sintetizado)#";Reduzida;N;40;;"#Critério legal:
[Diretiva (CE) 2000/54/CE] e [DL 84/97], Proteção da segurança e da saúde dos trabalhadores contra os riscos da exposição a agentes biológicos, art. 19.º, n.º 4, ""O prazo de conservação dos registos é de 40 anos nos casos de exposições de que possam resultar infecções causadas por agentes biológicos susceptíveis de produzir infecções persistentes ou latentes, ou que, de acordo com os conhecimentos actuais, só sejam diagnosticáveis muitos anos depois com o aparecimento da doença, ou que tenham periodos de incubação muito longos, ou que provoquem doenças com crises de recrudescências, apesar do tratamento, ou com graves sequelas a longo prazo.""";Data de conclusão do procedimento;Data da última atualização do registo;E;"#Critério de densidade informacional:
A informação está sintetizada e é recuperável em:
PN 250.20.001- Registo biográfico de trabalhadores;
- PN 700.10.006 - Registo clinico de utentes. 
";;

;700.10.006 ;Registo clínico de utentes;"Inscrição de dados relativos à prestação de cuidados de saúde a utentes, relevantes para o conhecimento do seu quadro clinico. 
Inicia com o registo da inscrição do utente e termina com a informação relativa ao seu óbito.
Inclui integração de informação clinica, resumo médico com os dados clínicos mais importantes relativos aos medicamentos prescritos, às diferentes intervenções clinicas e cirúrgicas, bem como aos meios complementares de diagnóstico e terapêutica.
";"Registo da prestação de cuidados de saúde por parte de entidades públicas e privadas# 

";"EpSOS european patient smart onpen service# 

";"O registo de utentes no serviço nacional de saúde deve ser considerado em 400.10.040 – Registo nacional de utentes# 
O registo de utentes em unidades de súde deve ser considerado em 700.10.004 – Registo de utilizadores de unidades de saúde#";DL 433/82#;;PE;S;"UPCS#
HH#";SPMS# ;Comunicar# ;"500.10.001#
500.10.301#
450.10.073#
150.20.303#
800.10.001#
800.10.002#
150.20.300#
150.20.501#";"Realização de auditorias#
Realização de inspeção#
Licenciamento ou autorização de atividades de investigação científica e de desenvolvimento#
Monitorização de atividades#
Realização de estudos de investigação básica#
Execução de projetos de investigação aplicada#
Avaliação de atividades#
Análise e melhoria de serviços#";"Suplementar#
Suplementar#
Cruzada#
Suplementar#
Cruzada#
Cruzada#
Síntese (sintetizado)#
Síntese (sintetizado)#";Elevada;S;10;;"#Critério legal:
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social, artº 27).
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 (Realização de auditorias).";Data de extinção da entidade sobre que recai o procedimento;Data do óbito do utente;C;"#Critério de densidade informacional:
A informação sintetiza outros PN da classe de 700";"Relação ""Síntese (sintetiza)"" com todos os PN de 700 (informação retirada das colunas dos processos relacionados).";

;700.10.500;Registo de utilizadores em unidades de saúde animal ;"Inscrição de animais em hospitais e clinicas veterinárias. 
Inicia com a manifestação do interesse ou necessidade de utilização de uma unidade de saúde veterinária e termina com o fim do interesse ou necessidade.
Inclui identificação do animal e registo de dados.";Atualização dos dados de registo# ;;"O registo de animais deve ser considerado em 400.10.400 – Registo animal# 
";;;PE;N;"AL#
GNR#
PSP#";;;"150.20.300#
300.30.008#
700.10.501#";"Avaliação de atividades#
Registo de documentos e informação#
Referenciação de animais para consultas#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#";Média;S;5;;;Data de conclusão do procedimento;Data da última atualização do registo;E;"#Critério de densidade informacional:
A informação está sintetizada e é recuperável em:
PN 150.20.300 - Avaliação de atividades;
PN 300.30.008 - Registo de documentos e informação.";;

;700.10.501;"Referenciação de animais para consultas
";"Inscrição de animais para consultas e e outros cuidados de saúde. 
Inicia com a inscrição e temina com a notificação do agendamento do cuidado de saúde pretendido. 
Inclui identificação do animal, avaliação clinica da necessidade da consulta, verificação de disponibilidade e marcação de consulta.

";;;"A prestação de cuidados veterinários deve ser considerada em 700.20.800 – Prestação de cuidados curativos veterinários# 
A vacinação de animais deve ser considerada em 700.20.700 – Vacinação de animais#";DL 433/82#;;PE;N;"AL#
GNR#
PSP#";;;"150.20.300#
300.30.008#
700.10.500#
700.20.700#
700.20.800#";"Avaliação de atividades#
Registo de documentos e informação#
Registo de utilizadores em unidades de saúde animal#
Vacinação de animais#
Prestação de cuidados curativos animais#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#
Sucessão#
Sucessão#";Média;S;5;;"#Critério legal:
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social, artº 27).
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.301 (Realização de fiscalização).";Data de conclusão do procedimento;Data da realização da consulta ou cancelamento do registo;E;"#Critério de densidade informacional:
A informação está sintetizada e é recuperável em:
PN 150.20.300 - Avaliação de atividades;
PN 300.30.008 - Registo de documentos e informação.";;

;700.20;Serviços clínicos;"Compreende as atividades relacionadas com o diagnóstico, o tratamento, a reabilitação e o acompanhamento clínico do doente, no quadro da prestação de cuidados de saúde primários, secundários ou terciários.
Compreende, igualmente, os atos clínicos de caráter preventivo (consultas, rastreio, vacinação), bem como as dádivas de sangue e as colheitas de órgãos, tecidos e células.";"Inclui os atos clínicos realizados em contexto de emergência médica pré-hospitalar ou de urgência hospitalar, em regime de internamento ou de ambulatório#
Eventuais atos clínicos praticados fora das instituições de saúde (locais de trabalho, escolas, prisões, entre outros).#
Aplica-se não apenas aos atos médicos e de enfermagem, mas também aos realizados por outros profissionais de saúde quando intervenham no diagnóstico, tratamento e reabilitação de doentes.#";;"A intervenção médica em processos de avaliação e certificação de saúde ou incapacidade (por exemplo, juntas médicas para declaração de incapacidade, certificados médicos para pilotos e controladores de tráfego aéreo, entre outros) deve ser considerada em ""Reconhecimentos e permissões/ Emissão de comprovativos de factos ou atos"" (450.30).#";;;;;;;;;;;;;;;;;;;;;

;700.20.001;Imunização;"Prestação de cuidados de prevenção de saúde primária através de ações pelas quais se confere imunidade recorrendo a meios artificiais para prevenir doenças.
Inicia com o pedido ou com a verificação da necessidade de vacina e termina com a administração da mesma.
Inclui consulta do Plano Nacional de Vacinação, verificação das vacinas em falta ou necessárias e registo da imunização administrada.";"Administração de vacinas contempladas no Plano Nacional de Vacinação#
Administração de vacinas a imunodeprimidos#
Administração de vacinas a profissionais de risco#
Administração de vacinas a viajantes para áreas endémicas ou outras#";;A elaboração do Plano Nacional de Vacinação deve ser considerada em 150.10.100 – Definição de políticas setoriais#;"Despacho 11961/2014#
Despacho 17067/2011#
Circular Normativa DGS 04/2003#
Circular Normativa DGS 08/2005#
Lei 12/2005#
Lei 26/2016#
Lei 67/98#
Lei 103/2015#";"Circular Normativa DGS 04/DT/31 março 2003#
Circular Normativa DGS 08/DT /21 dezembro 2005#";PE;S;"HH#
UPCS#
SMT#";"ACES#
ARS-N#
ARS-C#
ARS-LVT#
ARS-Aln#
ARS-Alg#
DGS#";"Comunicar#
Decidir#
Decidir#
Decidir#
Decidir#
Decidir#
Decidir#";"150.10.600#
150.20.300#
150.40.500#
300.30.008#
400.10.040#
500.10.301#
700.10.006#
700.20.200#
700.20.300#
700.20.403#
800.10.607#
";"Avaliação de políticas e instrumentos de operacionalização#
Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Registo nacional de utentes#
Realização de fiscalização#
Registo clinico de utentes#
Prestação de cuidados de saúde personalizados#
Prestação de cuidados de emergência médica#
Atendimentos urgentes#
Realização de ações de observação em saúde e vigilância epidemiológica#







";"Sucessão (sucessor)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Suplementar#
Síntese(sintetizado)#
Síntese(sintetizado)#
Síntese(sintetizado)#
Síntese(sintetizado)#
Cruzada#
";Elevada;S;5;;"#Critério legal:
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social, artº 27).
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.301 (Realização de fiscalização).";Data de extinção da entidade sobre que recai o procedimento;"Data do falecimento
do utente";E;"#Critério de densidade informacional:
A informação está sintetizada e é recuperável em:
- PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão;
- PN 300.30.008 - Registo de documentos e informação (onde devem ser considerados os registos operacionais centralizados como o e-vacinas)
- PN 700.10.006 - Registo clínico de utentes.
";;

;700.20.100;Rastreio;"Prestação de cuidados de prevenção de saúde secundária praticados através de um conjunto de ações ou atividades de base comunitária e populacional programado em articulação com diversas autoridades de saúde e destinadas a detetar ou identificar precocemente doenças específicas junto de determinados grupos de população alvo.
Inicia com a informação da realização do rastreio e termina com a avaliação do mesmo.
Inclui realização de testes de saúde, análise dos resultados e eventual encaminhamento para consulta.";"Todo o tipo de rastreios#
Programas de saúde de base comunitária e populacional#";;"Os estudos epidemiológicos ou programas de controlo de qualidade/ganhos em saúde e os os Registos Oncológicos Regionais (ROR) devem ser considerados em 800.10.607 – Realização de ações de Observação em saúde e Vigilância Epidemiologica#

";"Recomendação (CE) 878/2003#
Lei 12/2005#
Lei 26/2016#
Lei 67/98#";"Recomendação Conselho Europeu (2003/878/EC)#
Plano Nacional de saúde
Programas  de prevenção (Cancro, Obesidade, Doenças Cardiovasculares)#
Lei 67/98 (3ª versão Lei 103/2015)#";PE;S;"UPCS#
HH#";"ACES#
ARS-N#
ARS-C#
ARS-LVT#
ARS-Aln#
ARS-Alg#";"Apreciar#
Decidir#
Decidir#
Decidir#
Decidir#
Decidir#";"150.10.600#
150.20.101#
150.20.501#
150.20.300#
150.40.500#
500.10.301#
700.20.200#
800.10.300#
800.10.600#
800.10.601#
800.10.607#";"Avaliação de políticas e instrumentos de operacionalização#
Planeamento estratégico de atividades#
Análise e melhoria de serviços#
Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Realização de fiscalização#
Prestação de cuidados de saúde personalizados#
Controlo ambiental de infraestruturas e equipamentos#
Realização de ensaios clínicos#
Realização de ensaios laboratoriais#
Realização de ações de Observação em saúde e Vigilância Epidemiológica#
";"Síntese(sintetizado)#
Sucessão (sucessor)#
Síntese(sintetizado)#
Síntese(sintetizado)#
Síntese(sintetizado)#
Suplementar#
Síntese(sintetizado)#
Cruzada#
Cruzada#
Cruzada#
Cruzada#";Elevada;S;5;;"#Critério legal:
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social, artº 27).
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.301 (Realização de fiscalização).";Data de conclusão do procedimento;Data de encerramento do processo documental;E;"#Critério de densidade informacional:
A informação está sintetizada e é recuperável nos PN 150.20.101 (Planeamento estratégico de atividades; 150.20.300 (Avaliação de atividades); 150.20.501 (Análise e melhoria de serviços); 150.40.500 (Recolha e tratamento de dados estatísticos de apoio à gestão); 800.10.600 (Realização de ensaios clínicos); 800.10.602 (Realização de ensaios laboratoriais).

";;

