Estado;Código;Título;Descrição;Notas de aplicação;Exemplos de NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Normalização Forma de contagem do prazo de cons. adm.;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;;;;;;;;;;;

;550.10.002.02;Ação de segurança a eventos de alto risco: realização e registo;"Inicia com a operacionalização e termina com a aprovação do relato da operação.
Inclui articulação das forças de segurança, emissão de alerta aquando da deteção de anomalias, elaboração e atualização do relato de operações.";;;;;;;;;;;550.10.002.01#;Ação de segurança a eventos de alto risco: preparação#;Síntese (sintetizado)#;;;10;;"#Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], art 70, nº 1) – 10 anos;
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social, art 27 – 5 anos;
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e dos PN  500.10.301 - Realização de fiscalização.";Data de conclusão do procedimento;Data de encerramento do processo;C;"#Critério de densidade informacional:
Sintetiza a informação de
PN 550.10.002.01 - Ação de segurança a eventos de alto risco: preparação.
A informação relativa à Ação de segurança a eventos de alto risco está sintetizada no relato da operação.
";;;;;;;;;;;;

;"550.10.004


";"Apoio de forças de segurança a diligências

";"Prestação de serviços de proteção e segurança requeridos por forças da ordem, autoridades públicas e entidades privadas.
Inicia com a requisição do serviço e termina com o relato da operação.
Inclui o planeamento das condições de segurança, autorização, indicação do pagamento do serviço, quando devido, e operacionalização.";"Operações de policiamento de espaço público e aberto ao público que decorram da requisição dos serviços de segurança por entidades públicas e privadas#
Requisição de forças da ordem para apoio de segurança a operações de investigação criminal (ex.: buscas)#
Saídas do recluso do estabelecimento prisional em caso de transferência, temporária ou definitiva, para estabelecimento ou unidade diferente daquele a que está afeto#
Deslocações do recluso para comparência em atos processuais, internamento hospitalar ou realização de ato médico no exterior, visitas íntimas, saídas para realização de atividades e saídas especiais#";;"O processamento da requisição de serviços de segurança por entidades públicas e privadas deve ser considerado em 300.10.005 – Transação e transmissão de bens móveis não culturais e contratação de serviços#
As diligências processuais devem ser consideradas no âmbito dos respetivos processos#";"Portaria 286/2013#
Despacho 9954/2013#
DL 51/2011#
Lei 115/2009#
DL 197/2008#
Lei 63/2007#
Lei 53/2007#
Lei 19/2004#
DL 13/2017#

";"Portaria 286/2013, art 4, c)#
Despacho 9954/2013, nº 3, f)#
DL 51/2011#
Lei 115/2009#
DL 197/2008#
Lei 63/2007, art 15 a 18#
Lei 53/2007, art 6#
Lei 19/2004#
DL 13/2017#

";PC;S;"FSS#
DGRSP#
PJ#
AL#
SEF#
FA#



";AP#;Iniciar#;"150.20.300#
150.30.001#
150.40.500#
300.10.005#
500.10.001#
500.10.301#
500.20.002#
500.20.003#
500.20.300#
500.30.001#
500.30.500#
600.10.500#
950.20.600#";"Avaliação de atividades#
Produção e intercâmbio de informação estratégica para segurança interna e defesa#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Transação e transmissão de bens móveis não culturais e contratação de serviços#
Realização de auditorias#
Realização de fiscalização#
Realização de inquérito#
Realização de sindicância#
Procedimento disciplinar#
Processamento de contraordenações#
Aplicação de medidas administrativas cautelares#
Processamento de inquérito-crime#
Processamento de avisos de exercício do direito de reunião em locais públicos#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Sucessão (antecessor)#
Cruzada#
Cruzada#
Sucessão (sucessor)#";Média;S;5;;"#Critério legal:
Prazo prescricional do procedimento contraordenacional [DL 433/82], Ilícito de mera ordenação social, artº 27 – 5 anos.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede de ação disciplinar (PN 500.20.002 - Realização de inquérito; PN 500.20.003 - Realização de sindicância) e PN 500.10.301 - Realização de fiscalização.";Data de conclusão do procedimento;Data de encerramento do processo;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade);
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão (operações efetuadas).";;;;;;;;;;;;

;"550.10.005

";"Segurança de infraestruturas estratégicas

";"Operações de segurança e proteção de infraestruturas críticas, de pontos sensíveis e espaços considerados potencialmente de elevado grau de ameaça e risco.
Inicia com a ordem de operação e termina com o relatório.
Inclui, no âmbito de cada ação, a planificação, a análise do grau de ameaça e a avaliação do risco.";Vigilância e proteção de infraestruturas rodoviárias, ferroviárias, aeroportuárias, portuárias, emissoras de radiações ionizantes e outras instalações críticas#;;"As ações de vigilância e proteção a edifícios públicos devem ser consideradas em 550.10.001 – Segurança de espaços públicos e abertos ao público#
As ações de segurança das instalações de órgãos de soberania devem ser consideradas em 550.10.006 – Segurança a órgãos de soberania e altas entidades#";"Lei 53/2007#
Lei 63/2007#";"Lei 53/2007, art 3, nº 2, j)#
Lei 63/2007#";PE;S;"FA#
FSS#";EDIE#;Iniciar#;"150.20.300#
150.40.500#
300.10.005#
500.10.001#
500.10.301#
500.20.002#
500.20.003#
500.20.300#
500.30.001#
550.10.009#
550.10.011#
550.20.001#
550.20.006#
550.20.501#
550.30.003#
550.30.005#
550.30.200#
550.30.400#
600.10.500#
";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Transação e transmissão de bens móveis não culturais e contratação de serviços#
Realização de auditorias#
Realização de fiscalização#
Realização de inquérito#
Realização de sindicância#
Procedimento disciplinar#
Processamento de contraordenações#
Vigilância da fronteira#
Cibersegurança#
Emissão de avisos e declaração de alertas#
Atendimento telefónico de emergência#
Atuação em estados de emergência#
Atuação em estado de sítio#
Extração e proteção de contingentes e Forças Nacionais destacadas#
Defesa do território das nações aliadas#
Vigilância dos espaços sob soberania e jurisdição nacional, da circulação e segurança das linhas de comunicação#
Processamento de inquérito-crime#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Sucessão (antecessor)#
Cruzada#
Cruzada#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Sucessão (antecessor)#
";Elevada;S;10;;"#Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória [Lei 98/97], artº 70, nº 1) – 10 anos;
Prazo prescricional do procedimento contraordenacional [DL 433/82], Ilícito de mera ordenação social, artº 27 – 5 anos;
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e dos PN 500.10.301 - Realização de fiscalização.";Data de conclusão do procedimento;Data de encerramento do processo;E;"#Critério de densidade informacional:
A informação sobre os que processos que indiciaram ilícitos criminais é recuperável em
PN 600.10.500 - Processamento de inquérito-crime;
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade);
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão (operações efetuadas).";;;;;;;;;;;;

;"550.10.006

";Segurança a órgãos de soberania e altas entidades;"Operações que visam garantir a segurança das instalações de órgãos de soberania, segurança pessoal de membros de órgãos de soberania e de altas entidades nacionais ou estrangeiras, e de outros cidadãos, quando sujeitos a situação de ameaça relevante.
Inicia com a ordem de operações e termina com a elaboração do relatório.
Inclui análise de grau de ameaça, avaliação de risco e alternativa de atuação.

";Todas as ações relacionadas com a garantia da segurança a órgãos de soberania#;;"As escalas devem ser consideradas em 150.20.101 – Planeamento estratégico de atividades#
O processamento de gratificações e montantes compensatórios devem ser considerados em 350.10.600 – Lançamento de receitas e de despesas#";"Lei 63/2007#
Lei 53/2007#";"Lei 63/2007, art 6 e art 43#
Lei 53/2007, art 3#";PE;S;FSS#;"SEF#
PR#
PM#
AR#
PGR#
Trb#
";"Iniciar#
Iniciar#
Iniciar#
Iniciar#
Iniciar#
Iniciar#";"150.20.300#
150.40.500#
500.10.001#
500.10.301#
500.20.002#
500.20.003#
500.20.300#
500.30.001#
600.10.500#";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Realização de auditorias#
Realização de fiscalização#
Realização de inquérito#
Realização de sindicância#
Procedimento disciplinar#
Processamento de contraordenações#
Processamento de inquérito-crime#";"Síntese (sintetizado)#
Cruzada#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Sucessão (antecessor)#
Sucessão (antecessor)#";Média;S;10;;"#Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória [Lei 98/97], art 70, nº 1 – 10 anos.
Prazo prescricional do procedimento contraordenacional [DL 433/82], Ilícito de mera ordenação social, art 27; Lei 50/2006 – 5 anos.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e dos PN  500.10.301 - Realização de fiscalização.";Data de conclusão do procedimento;Data de encerramento do processo;E;"#Critério de densidade informacional:
A informação sobre os que processos que indiciaram ilícitos criminais é recuperável em
PN 600.10.500 - Processamento de inquérito-crime;
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade);
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão (operações efetuadas).";;;;;;;;;;;;

;550.10.007;Prestação de escolta e guarda de honra;"Prestação de escolta e guarda de honra aos órgãos de soberania e de altas entidades, bem como à prestação de honras de Estado.
Inicia com o pedido e termina com o relatório da ação.
Inclui a realização da ação.
";"Prestação de escolta e guarda de honra a órgãos de soberania e de outras altas entidades que lhe sejam confiadas#
Prestação de honras de Estado#";;;"Portaria 123/2011#
Lei 63/2007#
";"Portaria 123/2011#
Lei 63/2007, art 43#
";PE;S;GNR#;PSP#;Assessorar#;"150.20.300#
150.40.500#
500.10.301#
500.20.002#
500.20.003#
600.10.500#
900.10.500#";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Realização de fiscalização#
Realização de inquérito#
Realização de sindicância#
Processamento de inquérito-crime#
Organização e participação em homenagens e cerimónias comemorativas#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#
Suplementar#
Suplementar#
Sucessão (antecessor)#
Cruzada#";Elevada;S;5;;"#Critério legal:
Prazo prescricional do procedimento contraordenacional [DL 433/82], Ilícito de mera ordenação social, artº 27 – 5 anos.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede de ação disciplinar (PN 500.20.002 - Realização de inquérito; PN 500.20.003 - Realização de sindicância) e de fiscalização (500.10.301 - Realização de fiscalização - base para as Inspeções Sem Aviso Prévio a Postos da GNR e Esquadras da PSP, que tendencialmente não se debruçam sobre os atos de gestão).";Data de conclusão do procedimento;Data de encerramento do processo;E;"#Critério de densidade informacional:
A informação sobre os que processos que indiciaram ilícitos criminais é recuperável em
PN 600.10.500 - Processamento de inquérito-crime;
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade);
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão (operações efetuadas).";;;;;;;;;;;;

;550.10.008;Controlo de pessoas nas fronteiras;"Operações de controlo das entradas e saídas de pessoas de território nacional através de fronteiras externas, que provenham de, ou se destinem a Estados que não sejam parte da Convenção de Aplicação, ou que utilizem um troço interno de um voo com origem ou destino em Estados que não sejam parte da Convenção, para verificação da conformidade das condições do movimento fronteiriço realizado, e de controlo sobre as zonas internacionais dos portos e dos aeroportos, nomeadamente autorizando ou recusando o acesso de passageiros a tais zonas.                                                     
Inicia com a apresentação dos documentos de viagem do cidadão cujo movimento está a ser controlado e termina com a autorização de entrada ou saída, através de aposição de carimbo de movimento quando aplicável ou com a recusa de entrada ou saída, no caso das fronteiras aéreas, e com o desembaraço dos navios, no caso das fronteiras marítimas.  
Integra a verificação da validade e autenticidade dos documentos de viagem, a verificação do visto e a conformidade dos fins para que foi atribuído e de outra documentação relevante, como sejam declarações dos progenitores autorizando a viagens a menores, comprovativo de meios de subsistência, e consultas às bases de dados de segurança. Em caso de irregularidades origina um relatório de ocorrência.
Inclui eventual cooperação com outras entidades, com elaboração de planos de atuação, ordens de operações e relatórios de ocorrências.
";"Vigilância e fiscalização nos postos de fronteira, incluindo a zona internacional dos portos e aeroportos#
Controlo de circulação de pessoas nas fronteiras externas#
Interceção de pessoas nos postos de fronteira, aéreos e marítimos, para verificação da conformidade das suas condições de entrada no país#
Impedimento de entrada ou saída do território nacional de pessoas que não satisfaçam os requisitos legais exigíveis para o efeito#
Controlo do desembarque de passageiros e tripulantes de embarcações e aeronaves#";;"A emissão de vistos deve ser considerada em 550.10.301 – Emissão de vistos#
A fiscalização da carga e mercadorias nas fronteiras deve ser considerada em 500.10.301 – Realização de fiscalização#
O patrulhamento das fronteiras deve ser considerado em 550.10.009 – Vigilância da fronteira#";"Lei 29/2012#
Lei 23/2007#
Decreto Regulamentar 84/2007#
Decreto 13/2007#
DL 252/2000#
DL 244/95#
DL 433/82#";;PE;S;SEF#;"PSP#
GNR#";"Executar#
Executar#";"150.20.103#
150.20.300#
500.30.001#
500.30.005#
500.30.006#
500.30.500#
550.10.009#
550.10.305#
550.10.306#
550.30.200#
550.30.400#
600.10.500#
600.40.300#


";"Planeamento operacional de atividades#
Avaliação de atividades#
Processamento de contraordenações#
Abandono voluntário do território nacional#
Afastamento coercivo do território nacional#
Aplicação de medidas administrativas cautelares#
Vigilância da fronteira#
Processamento de pedidos de asilo#
Readmissão de estrangeiros em situação ilegal#
Defesa do território das nações aliadas#
Vigilância dos espaços sob soberania e jurisdição nacional, da circulação e segurança das linhas de comunicação#
Processamento de inquérito-crime#
Expulsão judicial#
";"Sucessão (sucessor)#
Síntese (sintetizado)#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Sucessão (antecessor)#
Cruzada#
Cruzada#
Cruzada#
Sucessão (sucessor)#
Cruzada#
";Média;S;15;;"#Critério legal:
Prescrição do procedimento criminal ([DL 48/95], Código Penal, artº 118): em que estabelece como prazo maior 15 anos.
#Critério de utilidade administrativa:
Informação necessária para o processamento do PN 150.20.103- Planeamento operacional de atividades, dado que o controlo pode incidir, repetidamente, sobre os mesmos indivíduos, considerando no entanto o prazo de prescrição do ilícito criminal.
";Data de conclusão do procedimento;Data de encerramento do processo;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade).";;;;;;;;;;;;

