Estado;Código;Título;Descrição;Notas de aplicação;Exemplos NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Normalização Forma de contagem do prazo de cons. adm.;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;;;;;;;;;;;

;500.10.002;Fiscalização prévia do Tribunal de Contas;"Verificação da legalidade e do cabimento orçamental dos atos, contratos ou outros instrumentos geradores de despesa ou representativos de responsabilidades financeiras diretas ou indiretas e da observância dos limites e sublimites de endividamento e as respetivas finalidades, estabelecidas pela Assembleia da República.
Inicia com o pedido de visto prévio e termina com a notificação da decisão final.
Inclui verificação e análise dos contratos ou instrumentos submetidos à fiscalização e devolução dos documentos originais, quando devido, visto ou da declaração de conformidade.";;;Os processos de fiscalização concomitante e sucessiva devem ser considerados em 500.10.001 – Realização de auditorias#;"Lei 20/2015#
Resolução do Tribunal de Contas 14/2011#
Lei 98/97#";;PC;S;TContas#;AP#;Comunicar#;"150.20.300#
300.10.001#
300.10.002#
300.10.003#
300.10.004#
300.10.005#
300.20.001#
300.20.200#
300.20.400#
300.30.008#
350.40.401#
850.10.001#";"Avaliação de atividades#
Contratação de empreitadas de obras públicas#
Contratação de fornecimento de serviços públicos essenciais#
Transação e transmissão de bens imóveis#
Transação e transmissão de bens móveis culturais#
Transação e transmissão de bens móveis não culturais e contratação de serviços#
Constituição e acompanhamento de parcerias público-privadas#
Concessão de obras públicas#
Concessão de serviços e do uso ou exploração de bens do domínio público#
Registo de documentos e informação#
Contração e amortização de empréstimos#
Atribuição de subsídios à exploração de serviços públicos#";"Síntese (sintetizado)#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Síntese (sintetizado)#
Cruzada#
Cruzada#";Elevada;S;5;;"#Critério legal:
[Lei 98/97], artº 70 - Prazo prescricional  da responsabilidade financeira sancionatória.
Nota: A prescrição do procedimento interrompe-se com a citação do demandado em processo judicial.";Data de conclusão do procedimento;Data de encerramento do processo;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade);
PN 300.30.008 - Registo de documentos e informação (casos tratados).";;;;;;;;;;;;

;"500.10.300
";Realização de inspeção;"Ação de controlo para verificação do cumprimento das obrigações legais, regulamentares e técnicas não decorrentes de permissão ou autorização.  
Inicia com a preparação, programação e planeamento do procedimento de inspeção e termina com a comunicação / notificação do relatório final e respetivos anexos.
Inclui apuramento de factos determinados e dos responsáveis pela sua prática para efeitos de regularização da situação e para efetivação de responsabilidade disciplinar, contraordenacional ou criminal que ao caso couber.";Inspeções previstas na lei e nos regulamentos#;"Inspeção de elevadores e monta-cargas (Anterior PN 500.10.423 Inspeção de elevadores e monta-cargas)#
Inspeção a entidades de gestão coletiva do direito de autor e dos direitos conexos (Anterior PN 500.10.433 Inspeção a entidades de gestão coletiva do direito de autor e dos direitos conexos)#  
Inspeção a postos da GNR e esquadras da PSP (Anterior PN 500.10.436 Inspeção a postos da GNR e esquadras da PSP)#
Inspeção tributária, fiscal  e aduaneira (Anterior PN 500.10.436  Inspeção e fiscalização tributária, fiscal e aduaneira)#
Inspeção para verificação da manutenção das condições de segurança contra incêndios em edifícios (SCIE) (Anterior PN 500.10.442 Inspeção para verificação da manutenção das condições de segurança contra incêndios em edifícios (SCIE))#
Inspeção de veículos#
inspeção para atribuição de matrícula a veículos importados no estado de usado#
Inspeção de âmbito militar#
Inspeção de direito de autor#
Inspeção à sinalização do trânsito#
Inspeções no âmbito do ambiente, agricultura e pescas#";"O procedimento de auditoria deve ser considerado em 500.10.001 – Realização de auditorias#
O procedimento de fiscalização deve ser considerado em 500.10.301 – Realização de fiscalização#
O procedimento de monitorização deve ser considerado em 500.10.600 – Monitorização sistemática da conformidade#
O procedimento sancionatório na sequência do reconhecimento de ato ilícito e censurável que implique pagamento de coima deve ser considerado em 500.30.001 – Processamento de contraordenações#
";"DL 413/98#
Regulamento 189/2013#";;PC;S;ECI#;AP#;Comunicar#;"150.20.300#
500.10.001#
500.30.001#
500.30.002#
500.30.500#
600.10.500#
950.20.001#
";"Avaliação de atividades#
Realização de auditorias#
Processamento de contraordenações#
Aplicação de sanções administrativas inominadas#
Aplicação de medidas administrativas cautelares#
Processamento de inquérito-crime#
Processamento de petições, reclamações e sugestões#

";"Síntese (sintetizado)#
Suplementar#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (sucessor)#

";Elevada;S;;;;;;;;;;;;;;;;;;;

;"500.10.300.01
";Realização de inspeção: Preparação e execução;"Desenvolvimento de todas as fases do processo de inspeção, com exceção da elaboração do relatório final.
Inclui o planeamento da inspeção, a comunicação ao inspecionado, a recolha de elementos, a notificação das conclusões e  recomendações provisórias e as alegações produzidas no âmbito do procedimento do contraditório.";;;;;;;;;;;;;;;;10;;"#Critério legal:
[Lei 98/97], artº 70 - Prazo prescricional  da responsabilidade financeira reintegratória.
Nota: A prescrição do procedimento interrompe-se com a citação do demandado em processo jurisdicional.
Aplica-se complementarmente para os processos tributários - Critério legal - [DL 433/99], artº 27, nº 2.";Data de conclusão do procedimento;Data de encerramento do processo;E;"#Critério de densidade informacional:
Sintetizado no
PN 500.10.300.02 - Realização de inspeção: elaboração do relatório final.";;;;;;;;;;;;

;"500.10.300.02
";Realização de inspeção: elaboração do relatório final;Avaliação dos resultados da inspeção e elaboração do relatório final.;;;;;;;;;;;;;;;;10;;"#Critério legal:
[Lei 98/97], artº 70
Prazo prescricional  da responsabilidade financeira reintegratória.
Nota: A prescrição do procedimento interrompe-se com a citação do demandado em processo jurisdicional.
Aplica-se complementarmente para os processos tributários - Critério legal - [DL 433/99], artº 27, nº 2.";Data de conclusão do procedimento;Data de encerramento do processo;C;"#Critério de densidade informacional:
Não é recuperável noutro PN.                                           ";;;;;;;;;;;;

;500.10.301;"Realização de fiscalização




";"Verificação do cumprimento das disposições legais e regulamentares, nomeadamente as decorrentes de atos de permissão ou autorização, a que se encontram sujeitas as entidades privadas, públicas, singulares ou coletivas, realizada através de ações de vigilância ou controlo e executada no desenvolvimento das funções ou atribuições de determinadas entidades públicas ou em cumprimento de funções públicas.
Inicia na sequência de ações de planeamento ou rotina, denúncia, participação de irregularidades, reclamação ou solicitação de particular e termina com a elaboração de relatório.
Inclui participação da ocorrência caso sejam detetadas infrações às normas legais e regulamentares e a prestação de garantia, quando aplicável.

 

";"Acampamentos ocasionais (Anterior PN 500.10.403 – Fiscalização de acampamentos ocasionais#
Adelos, ourivesarias, casas de penhores, ferro-velho e outros locais suscetíveis de proporcionarem a prática de atos ilícitos criminais#
Alojamento de animais (Anterior PN 500.10.404 – Fiscalização de alojamento de animais)#
Aplicação de incentivos financeiros (Anterior PN 500.10.426 – Fiscalização de aplicação de incentivos financeiros)#
Apresentação das mercadorias às autoridades aduaneiras#
Apresentação de meios de transporte e respetiva carga às autoridades aduaneiras#
Arrumador de automóveis (Anterior PN 500.10.405 – Fiscalização de atividades de arrumador de automóveis)#
Atividade de entidades no âmbito do medicamento (Anterior PN 500.10.444 – Fiscalização da atividade de entidades no âmbito do medicamento)#  
Atividades de mergulho (Anterior PN 500.10.427 – Fiscalização de atividades de mergulho)#
Atividades pecuárias (Anterior PN 500.10.400 – Controlo de atividades pecuárias)#
Atribuição de destino aduaneiro#
Avaliação prévia de publicidade a produtos e serviços (Anterior PN 500.10.448 – Avaliação prévia de publicidade a produtos e serviços)#
Condições de higiene e salubridade (Anterior PN 500.10.449 – Fiscalização de condições de higiene e salubridade)#
Conservação de edifícios (Anterior PN 500.10.408 – Fiscalização de conservação de edifícios#
Controlo de dopagem (Anterior PN 500.10.424 – Controlo de dopagem)#
Controlo de velocidade (Sistema nacional de controlo de velocidade)#
Controlo metrológico dos instrumentos de medição  (Anterior PN 500.10.401 – Controlo metrológico)#
Descarga de efluentes e de rejeição de águas residuais (Anterior PN 500.10.409 – Fiscalização de descargas de efluentes e de rejeição de águas residuais)#
Dispositivos médicos (Anterior PN 500.10.447 – Fiscalização de dispositivos médicos)#
Empresas de segurança privada (Anterior PN 500.10.437 – Fiscalização a empresas de segurança privada)#
Entidades certificadoras integradas no Sistema de Certificação Eletrónica do Estado (Anterior PN 500.10.428 – Fiscalização de entidades certificadoras integradas no Sistema de Certificação Eletrónica do Estado)#
Entidades detentoras de informação classificada (Anterior PN 500.10.434 – Inspeção e fiscalização de entidades detentoras de informação classificada)#
Espaços de jogo e recreio (Anterior PN 500.10.431 – Fiscalização de espaços de jogo e recreio)#
Espetáculos tauromáquicos (Anterior PN 500.10.425 – Controlo de espetáculos tauromáquicos)#
Estabelecimentos de fabrico, armazenagem e comércio de armas, munições e produtos explosivos (Anterior PN 500.10.441 – Fiscalização dos estabelecimentos de fabrico, armazenagem e comércio de armas, munições e produtos explosivos)#
Exploração de máquinas de diversão (Anterior PN 500.10.411 – Fiscalização de exploração de máquinas de diversão)#
Exploração de pedreiras (Anterior PN 500.10.412 – Fiscalização de exploração de pedreiras)#
Exploração industrial (Anterior PN 500.10.410 – Fiscalização de exploração industrial)#
Feirante e vendedor ambulante (Anterior PN 500.10.406 – Fiscalização de atividades de feirante e vendedor ambulante)#
Fiscalização associada aos recintos de espetáculos de natureza artística#
Fiscalização do cumprimento das obrigações legais e dos requisitos de licenciamento das empresas gestoras#
Fiscalização tributária e aduaneira (Anterior PN 500.10.439 –  Inspeção e fiscalização tributária e aduaneira)#
Guarda-noturno (Anterior PN 500.10.407 – Fiscalização de atividades de guarda-noturno)#
Horário de funcionamento de estabelecimentos comerciais (Anterior PN 500.10.413 – Fiscalização de horário de funcionamento de estabelecimentos comerciais)#
Importação e exportação de diamantes em bruto (fiscalização)#
Leilões da atividade prestamista (Anterior PN 500.10.438 – Fiscalização de leilões da atividade prestamista)#
Medicamentos (Anterior PN 500.10.445 – Fiscalização de medicamentos)#
Observação de vias e sinalização de trânsito (Anterior PN 500.10.440 – Observação de vias e sinalização de trânsito)#
Ocupação de espaços públicos (Anterior PN 500.10.414 – Fiscalização de ocupação de espaços públicos)#
Operações urbanísticas (Anterior PN 500.10.415 – Fiscalização de operações urbanísticas)#
Permanência e atividades dos estrangeiros (Anterior PN 500.10.443 – Fiscalização de permanência e atividades dos estrangeiros em Portugal)#
Plataformas eletrónicas no âmbito da contratação pública (Anterior PN 500.10.429 – Fiscalização das plataformas eletrónicas no âmbito da contratação pública)#
Prédios devolutos (Anterior PN 500.10.402 – Controlo de prédios devolutos)#
Produtos cosméticos (Anterior PN 500.10.446 – Fiscalização de produtos cosméticos)#
Publicidade (Anterior PN 500.10.416 Fiscalização de publicidade)#
Realização de fogueiras (Anterior PN 500.10.417 – Fiscalização de realização de fogueiras)#
Ruído (Anterior PN 500.10.418 Fiscalização de ruído)#
Trânsito (Anterior PN 500.10.419 Fiscalização de trânsito)#
Transportes de aluguer em veículos ligeiros de passageiros (Anterior PN 500.10.420 – Fiscalização de transportes de aluguer em veículos ligeiros de passageiros)#
Utilização de detetores de metais (Anterior PN 500.10.430 Fiscalização da utilização de detectores de metais)#
Utilização de fogos e espaços (Anterior PN 500.10.421 – Fiscalização de utilização de fogos e espaços)#
Trabalhos arqueológicos (Anterior PN 500.10.432 – Fiscalização e acompanhamento de trabalhos arqueológicos)#
Fiscalização e vigilancia de locais suscetiveis de propiciarem a prática de atos ilicitos criminais#
Supervisão das entidades reconhecedoras de regantes#";;"O procedimento sancionatório na sequência do reconhecimento de ato ilícito e censurável que implique pagamento de coima deve ser considerado em 500.30.001 – Processamento de contraordenações#
O procedimento de auditoria deve ser considerado em 500.10.001 – Realização de auditorias#
O procedimento de inspeção deve ser considerado em 500.10.300 – Realização de inspeção#
O procedimento de monitorização deve ser considerado em 500.10.600 – Monitorização sistemática da conformidade#
A aferição de instrumentos de medida deve ser considerada em 500.10.303 – Controlo metrológico de instrumentos de medição#

";"Portaria 642/2015#
RCM 62/2015#
DL 112/2014#
Lei 75/2013#
DL 126-B/2011#
Portaria 340/2007#
Lei 19/2004#
DL 433/99#
Regulamento (CEE) 2913/92#
Regulamento (CEE) 2454/93#


";;PC;S;ECF#;AP#;Comunicar#;"150.20.300#
150.20.404#
650.20.306#
300.30.008#
350.10.400#
350.10.600#
350.30.001#
400.10.034#
500.10.001#
500.30.001#
500.30.002#
500.30.500#
600.10.500#
950.20.001#";"Avaliação de atividades#
Prestação de contas#
Prestação de cuidados alimentares e de higiene a institucionalizados#
Registo de documentos e informação#
Liquidação dos direitos e demais imposições aduaneiras#
Lançamento de receitas e de despesas#
Cobrança de receitas e pagamento de despesas#
Registo de infrações do condutor#
Realização de auditorias#
Processamento de contraordenações#
Aplicação de sanções administrativas inominadas#
Aplicação de medidas administrativas cautelares#
Processamento de inquérito-crime#
Processamento de petições, reclamações e sugestões#

";"Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#
Síntese (sintetizado)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Suplementar#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (sucessor)#";Elevada;S;10;;"#Critério legal:
[Lei 98/97], artº 70 - Prazo prescricional  da responsabilidade financeira reintegratória.
Nota: A prescrição do procedimento interrompe-se com a citação do demandado em processo jurisdicional.
Aplica-se complementarmente para os processos tributários - Critério legal - [DL 433/99], artº 27, nº 2.

Critério legal: [DL 433/99], CPPT, art 27º, n.º 2 ""Os arquivos [procedimentos administrativos e processos judiciais tributários instaurados] são obrigatoriamente mantidos durante 10 anos(...)"".";Data de conclusão do procedimento;Data de encerramento do processo;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade);
PN 300.30.008 - Registo de documentos e informação (casos tratados).";;;;;;;;;;;;

;500.10.302;Realização de visitas técnicas;"Verificação das condições de funcionamento de sistemas, programas e de operações em bens móveis e imóveis da qual não pode decorrer a aplicação de contraordenações.
Inicia com a seleção das entidades e termina com o envio do relatório da visita.
Inclui a decisão de efetuar a visita, agendamento da visita e a análise ao cumprimento das boas práticas.
";"Visitas técnicas aos museus#
Visitas a recintos museológicos para que possam integrar a rede portuguesa de museus#
Visitas técnicas a sistemas de arquivo e a bibliotecas#";;As auditorias devem ser consideradas em 500.10.001 – Realização de auditorias#;;Vários regimes jurídicos;PC;S;ECV#;AP#;Comunicar#;"150.20.300#
300.30.008#";"Avaliação de atividades#
Registo de documentos e informação#";"Síntese (sintetizado)#
Síntese (sintetizado)#";Média;N;5;;"#Critério legal:
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social, artº 27;
[Lei 50/2006] - Lei quadro das contraordenações ambientais, artº 40).

Nota: As occorrências que revelem inconformidades ou ilicitos são objeto de sanção administrativa ou de encaminhamento para investigação criminal, sendo suspensa a contagem do Prazo de conservação administrativa.";Data de conclusão do procedimento;Data de encerramento do processo;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade);
PN 300.30.008 - Registo de documentos e informação (casos tratados).";;;;;;;;;;;;

Harmonização;500.10.303;Controlo metrológico de instrumentos de medição;"Verificação da conformidade de um instrumento de medição, ou de um dispositivo complementar, com as normas ou outras especificações aplicáveis à sua categoria. 
Inicia com a entrega do pedido e termina com a comunicação do resultado.
Inclui realização e relato de ensaios, primeira verificação, verificação periódica, verificação extraordinária, elaboração do certificado de calibração ou do relatório de ensaio.
";"Aferição de pesos e de medidas#
Certificação de instrumentos de medição#
Aferição de instrumentos de medição nacionais e importados#
Revogação de instrumentos de medida#";;"O reconhecimento da qualificação das entidades para aprovação de modelos deve ser considerada em 450.10.444 – Reconhecimento de competência técnica a entidades#
A fiscalização ao uso dos instrumentos de medição deve ser considerada em 500.10.301 – Realização de fiscalização#
A definição do padrão de medida deve ser considerado em 800.10.610 – Materialização, manutenção e disseminação de unidades de medida#";"DL 291/90#
DL 383/93#
DL 192/2006#

";;PE;N;"ENMC#
AL#
IPQ#";;;"150.20.300#
300.30.008#
450.10.468#
800.10.610#
";"Avaliação de atividades#
Registo de documentos e informação#
Reconhecimento da qualidade, características e origem de bens,  produtos e serviços#
Materialização, manutenção e disseminação de unidades de medida#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Cruzada#";Elevada;S;5;;"#Critério de utilidade administrativa: 
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração) e dos PN  500.10.301 - Realização de inspeção (no que diz respeito à sua fiscalização).";Data de conclusão do procedimento;Data do término da validade do resultado do controlo ;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade);
PN 300.30.008 - Registo de documentos e informação (casos tratados).";;;;;;;;;;;;

;500.10.600;Monitorização sistemática da conformidade;"Ação específica de acompanhamento de atividades, funções ou sistemas, tendo em vista, de uma forma concomitante ao seu respetivo desenvolvimento, identificar os aspetos que devam ser corrigidos ou aperfeiçoados.
Inicia na sequência de planeamento ou por obrigação legal e termina com a elaboração do relatório ou registo de informação recolhida.
Inclui a comunicação da ação de monitorização a efetuar e a receção das comunicações obrigatórias, quando devido, bem como, nalguns casos, o registo do desaparecimento do objeto monitorizado, que origina o relatório final.
";"Comunicações obrigatórias por lei das entidades empregadoras#
Relatórios de autocontrolo#
Relatórios efetuados por força legal#
Relatórios de acompanhamento realizados no âmbito de processos inspetivos (não inclui o acompanhamento de recomendações efetuado até ao encerramento dos processos inspetivos originais)#
Descarga de efluentes e de rejeição de águas residuais (Anterior PN 500.10.409 Fiscalização  de descargas de efluentes e de rejeição de águas residuais)#
Controlo de eliminação de documentos (Anterior PN 500.10.601 Controlo da eliminação de documentos)#
Controlo da publicidade institucional do Estado (Anterior PN 500.10.602 Controlo da publicidade institucional do Estado)#
Controlo de boletins de alojamento (Anterior PN 500.10.603 Controlo de boletins de alojamento)#
Controlo de declarações de entrada (Anterior PN 500.10.604 Controlo de declarações de entrada)#
Controlo do mercado lícito de estupefacientes, substâncias psicotrópicas e suas preparações (Anterior PN 500.10.605 Controlo do mercado lícito de estupefacientes, substâncias psicotrópicas e suas preparações)#
Verificação do cumprimento dos requisitos nas entidades de gestão operacional da bolsa de terras#
Controlo de operações de resíduos#
Controlo de emissão de gases fluorados#
Controlo de emissão de compostos orgânicos voláteis (COVs)#
Controlo de policlorobifelinos (PCBs)#
Controlo de emissão de poluentes (PRTR)#
Controlo de emissão de poluentes atmosféricos#
Acompanhamento de recomendações decorrentes de relatórios realizados no âmbito de processos inspetivos#";;"O procedimento de auditoria deve ser considerado em 500.10.001 – Realização de auditorias#
O procedimento de fiscalização deve ser considerado em 500.10.301 – Realização de fiscalização#
O procedimento de inspeção deve ser considerado em 500.10.300 – Realização de inspeção#
O procedimento sancionatório na sequência do reconhecimento de ato ilícito e censurável que implique pagamento de coima deve ser considerado em 500.30.001 – Processamento de contraordenações#
O acompanhamento de recomendações efetuado até ao encerramento dos processos inspetivos deve ser considerado respetivamente em 500.10.001 - Realização de auditoria, no que diz respeito às auditorias, 500.10.300 - Realização de inspeção, no que diz respeito às inspeções, 500.20.004 - Realização de investigação técnica a acidentes e incidentes, no que diz respeito à investigação#";"DL 102/2010#
Despacho 3227/2010#
DL 226-A/2007#";;PC;S;ECM#;AP#;Comunicar#;"150.20.300#
300.30.008#
";"Avaliação de atividades#
Registo de documentos e informação#
";"Síntese (sintetizado)#
Síntese (sintetizado)#
";Elevada;N;5;;"#Critério legal:
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social, artº 27;
[Lei 50/2006] - Lei quadro das contraordenações ambientais, artº 40).

Nota: As occorrências que revelem inconformidades ou ilicitos são objeto de sanção administrativa ou de encaminhamento para investigação criminal, sendo suspensa a contagem do prazo de conservação administrativa.";Data de conclusão do procedimento;"Data de encerramento do processo.
Nota: Nalguns casos o processo encerra  com o desaparecimento do objeto monitorizado.";E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade);
PN 300.30.008 - Registo de documentos e informação (casos tratados).";;;;;;;;;;;;

;500.20;Apuramento de responsabilidades técnicas e disciplinares;"Compreende as averiguações técnicas e disciplinares, em que se incluem o processo disciplinar comum e processos disciplinares especiais, tendo em vista a responsabilização.
Compreende, igualmente, os designados ""processos de reabilitação"" (de pena disciplinar).";Trabalhadores, alunos e outras entidades sujeitas a ação disciplinar#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

